# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.126
metadata : {}


# id : NWRW1800000048.126.1.1
프랑스-영국, 유로터널 밀입국자 골머리

프랑스-영국,	프랑스/NNP+-/SO+영국/NNP+,/SP
인용해	인용/NNG+하/XSV+아/EC
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
지금까지	지금/NNG+까지/JX
이	이/MMD
곳에서	곳/NNG+에서/JKB
있었던	있/VA+었/EP+던/ETM
밀입국	밀입국/NNG
시도	시도/NNG
중	중/NNB
최대	최대/NNG
규모”라며,	규모/NNG+”/SS+이/VCP+라며/EC+,/SP
현장에서	현장/NNG+에서/JKB
약	약/MMA
200여명이	200/SN+여/XSN+명/NNB+이/JKS
경찰에	경찰/NNG+에/JKB
체포됐다고	체포/NNG+되/XSV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.126.9.1
한꺼번에 밀입국을 시도한 난민들은 대부분 리비아, 시리아 등 분쟁과 빈곤으로 얼룩진 아프리카와 중동 출신 이주자들이다.

한꺼번에	한꺼번에/MAG
밀입국을	밀입국/NNG+을/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
난민들은	난민/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
리비아,	리비아/NNP+,/SP
시리아	시리아/NNP
등	등/NNB
분쟁과	분쟁/NNG+과/JC
빈곤으로	빈곤/NNG+으로/JKB
얼룩진	얼룩지/VV+ㄴ/ETM
아프리카와	아프리카/NNP+와/JC
중동	중동/NNP
출신	출신/NNG
이주자들이다.	이주자/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.126.9.2
최근 몇년새 칼레 항만에는 임시천막촌 생활을 하면서 영국으로 불법이주를 시도하는 난민들이 급증하는 추세다.

최근	최근/MAG
몇년새	몇/NR+년/NNB+새/NNG
칼레	칼레/NNP
항만에는	항만/NNG+에/JKB+는/JX
임시천막촌	임시/NNG+천막촌/NNG
생활을	생활/NNG+을/JKO
하면서	하/VV+면서/EC
영국으로	영국/NNP+으로/JKB
불법이주를	불법/NNG+이주/NNG+를/JKO
시도하는	시도/NNG+하/XSV+는/ETM
난민들이	난민/NNG+들/XSN+이/JKS
급증하는	급증/NNG+하/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.126.9.3
난민들이 영국 밀입국을 시도하는 이유는 그런대로 영어 소통이 가능한데다 영국에서 일자리 얻기가 더 쉽다고 판단해서다.

난민들이	난민/NNG+들/XSN+이/JKS
영국	영국/NNP
밀입국을	밀입국/NNG+을/JKO
시도하는	시도/NNG+하/XSV+는/ETM
이유는	이유/NNG+는/JX
그런대로	그런대로/MAG
영어	영어/NNP
소통이	소통/NNG+이/JKS
가능한데다	가능/NNG+하/XSA+ㄴ/ETM+데/NNB+다/JX
영국에서	영국/NNP+에서/JKB
일자리	일자리/NNG
얻기가	얻/VV+기/ETN+가/JKS
더	더/MAG
쉽다고	쉽/VA+다고/EC
판단해서다.	판단/NNG+하/XSV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000048.126.9.4
그러나 영국과 프랑스는 불법이주 난민들을 수용하지 않고 서아프리카 등 제3국으로 되돌려 보낸다는 방침이다.

그러나	그러나/MAJ
영국과	영국/NNP+과/JC
프랑스는	프랑스/NNP+는/JX
불법이주	불법/NNG+이주/NNG
난민들을	난민/NNG+들/XSN+을/JKO
수용하지	수용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
서아프리카	서아프리카/NNP
등	등/NNB
제3국으로	제3국/NNG+으로/JKB
되돌려	되돌리/VV+어/EC
보낸다는	보내/VV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.126.10.1
유로터널 난민 밀입국 문제는 영국과 프랑스간 갈등으로까지 번지고 있다.

유로터널	유로터널/NNP
난민	난민/NNG
밀입국	밀입국/NNG
문제는	문제/NNG+는/JX
영국과	영국/NNP+과/JC
프랑스간	프랑스/NNP+간/NNB
갈등으로까지	갈등/NNG+으로/JKB+까지/JX
번지고	번지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.126.10.2
나타샤 부샤르 칼레 시장은 영국이 난민 문제에 제대로 대응하지 않으면 항구를 폐쇄해 버리겠다고 경고해 왔으며, 프랑스 내무부도 최근 양국간 정보 교류와 경비인력 및 장비 공유가 안되고 있다고 지적했다고 <프랑스24> 방송이 전했다.

나타샤	나타샤/NNP
부샤르	부샤르/NNP
칼레	칼레/NNP
시장은	시장/NNG+은/JX
영국이	영국/NNP+이/JKS
난민	난민/NNG
문제에	문제/NNG+에/JKB
제대로	제대로/MAG
대응하지	대응/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
항구를	항구/NNG+를/JKO
폐쇄해	폐쇄/NNG+하/XSV+아/EC
버리겠다고	버리/VX+겠/EP+다고/EC
경고해	경고/NNG+하/XSV+아/EC
왔으며,	오/VX+았/EP+으며/EC+,/SP
프랑스	프랑스/NNP
내무부도	내무부/NNG+도/JX
최근	최근/MAG
양국간	양국/NNG+간/NNB
정보	정보/NNG
교류와	교류/NNG+와/JC
경비인력	경비/NNG+인력/NNG
및	및/MAG
장비	장비/NNG
공유가	공유/NNG+가/JKS
안되고	안/MAG+되/XSV+고/EC
있다고	있/VX+다고/EC
지적했다고	지적/NNG+하/XSV+았/EP+다고/EC
<프랑스24>	</SS+프랑스24/NNP+>/SS
방송이	방송/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


