# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.392
metadata : {}


# id : NWRW1800000032.392.1.1
민주당 서울시장 후보 합동연설

민주당	민주당/NNP
# id : NWRW1800000032.392.8.2
서울시장을 누군가 팔아먹으려 한 것을 천정배가 막았다”고 말했다.

서울시장을	서울시장/NNG+을/JKO
누군가	누구/NP+이/VCP+ㄴ가/EF
팔아먹으려	팔아먹/VV+으려/EC
한	하/VX+ㄴ/ETM
것을	것/NNB+을/JKO
천정배가	천정배/NNP+가/JKS
막았다”고	막/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.8.3
자신이 최고위원회에서 당내 경선을 강력히 요구해 경선판을 마련했다는 점을 강조한 것이다.

자신이	자신/NNG+이/JKS
최고위원회에서	최고/NNG+위원회/NNG+에서/JKB
당내	당내/NNG
경선을	경선/NNG+을/JKO
강력히	강력히/MAG
요구해	요구/NNG+하/XSV+아/EC
경선판을	경선/NNG+판/NNG+을/JKO
마련했다는	마련/NNG+하/XSV+았/EP+다는/ETM
점을	점/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.392.8.4
그는 “서울시장 선거를 ‘복지 대 반복지 전선’으로 치러야 한다”고 강조했다.

그는	그/NP+는/JX
“서울시장	“/SS+서울시장/NNG
선거를	선거/NNG+를/JKO
‘복지	‘/SS+복지/NNG
대	대/NNB
반복지	반/XPN+복지/NNG
전선’으로	전선/NNG+’/SS+으로/JKB
치러야	치르/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.9.1
박영선 후보는 ‘새로운 인물론’을 폈다.

박영선	박영선/NNP
후보는	후보/NNG+는/JX
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
인물론’을	인물/NNG+론/XSN+’/SS+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.392.9.2
박 후보는 “이번 선거에서 민주당은 더 크고 새로운 당으로 탈바꿈하고 있다는 것을 만천하에 선포해야 한다”며 “새롭고 참신한 인물로 변화를 추동해낼 때 국민이 우리에게 희망을 발견하고 표를 줄 것”이라고 말했다.

박	박/NNP
후보는	후보/NNG+는/JX
“이번	“/SS+이번/NNG
선거에서	선거/NNG+에서/JKB
민주당은	민주당/NNP+은/JX
더	더/MAG
크고	크/VA+고/EC
새로운	새롭/VA+ㄴ/ETM
당으로	당/NNG+으로/JKB
탈바꿈하고	탈바꿈/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
만천하에	만천하/NNG+에/JKB
선포해야	선포/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“새롭고	“/SS+새롭/VA+고/EC
참신한	참신하/VA+ㄴ/ETM
인물로	인물/NNG+로/JKB
변화를	변화/NNG+를/JKO
추동해낼	추동/NNG+하/XSV+아/EC+내/VX+ㄹ/ETM
때	때/NNG
국민이	국민/NNG+이/JKS
우리에게	우리/NP+에게/JKB
희망을	희망/NNG+을/JKO
발견하고	발견/NNG+하/XSV+고/EC
표를	표/NNG+를/JKO
줄	주/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.9.3
박 의원은 “김대중의 기호 2번, 노무현의 기호 2번, 민주당의 기호 2번”이라며 자신의 기호가 2번임을 부각시켰다.

박	박/NNP
의원은	의원/NNG+은/JX
“김대중의	“/SS+김대중/NNP+의/JKG
기호	기호/NNG
2번,	2/SN+번/NNB+,/SP
노무현의	노무현/NNP+의/JKG
민주당의	민주당/NNP+의/JKG
2번”이라며	2/SN+번/NNB+”/SS+이/VCP+라며/EC
자신의	자신/NNG+의/JKG
기호가	기호/NNG+가/JKS
2번임을	2/SN+번/NNB+이/VCP+ㅁ/ETN+을/JKO
부각시켰다.	부각/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.392.10.1
추미애 후보는 “박원순 변호사님, 희망제작소 정말 훌륭하게 잘해 오셨지만, 박 변호사님이 안 계시면 희망제작, 그 소는 누가 키웁니까”라며 “제가 민주당을 살리는 서울시장이 되겠다”고 말했다.

추미애	추미애/NNP
후보는	후보/NNG+는/JX
“박원순	“/SS+박원순/NNP
변호사님,	변호사/NNG+님/XSN+,/SP
희망제작소	희망제작소/NNP
정말	정말/MAG
훌륭하게	훌륭하/VA+게/EC
잘해	잘/MAG+하/XSV+아/EC
오셨지만,	오/VX+시/EP+었/EP+지만/EC+,/SP
박	박/NNP
변호사님이	변호사/NNG+님/XSN+이/JKS
안	안/MAG
계시면	계시/VV+면/EC
희망제작,	희망/NNG+제작/NNG+,/SP
그	그/MMD
소는	소/NNG+는/JX
누가	누구/NP+가/JKS
키웁니까”라며	키우/VV+ㅂ니까/EF+”/SS+이/VCP+라며/EC
“제가	“/SS+제/NP+가/JKS
민주당을	민주당/NNP+을/JKO
살리는	살리/VV+는/ETM
서울시장이	서울시장/NNG+이/JKS
되겠다”고	되/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.10.2
그는 “민주당은 야당 가운데 유일하게 수권능력이 있는 정당인데, 서울시장 후보를 바깥에서 꿔온다는 것은 있을 수 없는 일”이라고 거듭 말했다.

그는	그/NP+는/JX
“민주당은	“/SS+민주당/NNP+은/JX
야당	야당/NNG
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
수권능력이	수권/NNG+능력/NNG+이/JKS
있는	있/VA+는/ETM
정당인데,	정당/NNG+이/VCP+ㄴ데/EC+,/SP
서울시장	서울시장/NNG
후보를	후보/NNG+를/JKO
바깥에서	바깥/NNG+에서/JKB
꿔온다는	꾸/VV+어/EC+오/VX+ㄴ다는/ETM
것은	것/NNB+은/JX
있을	있/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
거듭	거듭/MAG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.11.1
신계륜 후보는 ‘준비된 후보론’을 내세웠다.

신계륜	신계륜/NNP
후보는	후보/NNG+는/JX
‘준비된	‘/SS+준비/NNG+되/XSV+ㄴ/ETM
후보론’을	후보/NNG+론/XSN+’/SS+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.392.11.2
신 후보는 “나는 서울시 정무부시장의 경험이 있고, 2008년 이후 구체적으로 서울시장 출마를 준비해왔다”며 “준비된 시장후보 신계륜이 서울시를 바꾸겠다”고 말했다.

신	신/NNP
후보는	후보/NNG+는/JX
“나는	“/SS+나/NP+는/JX
서울시	서울시/NNP
정무부시장의	정무/NNG+부시장/NNG+의/JKG
경험이	경험/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
2008년	2008/SN+년/NNB
이후	이후/NNG
구체적으로	구체/NNG+적/XSN+으로/JKB
서울시장	서울시장/NNG
출마를	출마/NNG+를/JKO
준비해왔다”며	준비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“준비된	“/SS+준비/NNG+되/XSV+ㄴ/ETM
시장후보	시장/NNG+후보/NNG
신계륜이	신계륜/NNP+이/JKS
서울시를	서울시/NNP+를/JKO
바꾸겠다”고	바꾸/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.11.3
그는 청년 창업 지원 등으로 ‘경제 서울’을 만들고, 서울과 평양에 남북상품교역소를 설치하겠다고 공약했다.

그는	그/NP+는/JX
청년	청년/NNG
창업	창업/NNG
지원	지원/NNG
등으로	등/NNB+으로/JKB
‘경제	‘/SS+경제/NNG
서울’을	서울/NNP+’/SS+을/JKO
만들고,	만들/VV+고/EC+,/SP
서울과	서울/NNP+과/JC
평양에	평양/NNP+에/JKB
남북상품교역소를	남북/NNP+상품/NNG+교역소/NNG+를/JKO
설치하겠다고	설치/NNG+하/XSV+겠/EP+다고/EC
공약했다.	공약/NNG+하/XSV+았/EP+다/EF+./SF


