# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.408
metadata : {}


# id : NWRW1800000046.408.1.1
親盧의 반격… 비주류 70% 공천탈락說

親盧의	親盧/SH+의/JKG
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.408.5.2
'선출직 공직자 평가위원회'는 지난달 말부터 의정 활동 및 공약 이행(35%), 여론조사(35%), 선거 기여도(10%), 지역 활동(10%), 다면평가(10%) 등을 실시해왔다.

'선출직	'/SS+선출직/NNG
공직자	공직자/NNG
평가위원회'는	평가/NNG+위원회/NNG+'/SS+는/JX
지난달	지난달/NNG
말부터	말/NNB+부터/JX
의정	의정/NNG
활동	활동/NNG
및	및/MAG
공약	공약/NNG
이행(35%),	이행/NNG+(/SS+35/SN+%/SW+)/SS+,/SP
여론조사(35%),	여론/NNG+조사/NNG+(/SS+35/SN+%/SW+)/SS+,/SP
선거	선거/NNG
기여도(10%),	기여도/NNG+(/SS+10/SN+%/SW+)/SS+,/SP
지역	지역/NNG
활동(10%),	활동/NNG+(/SS+10/SN+%/SW+)/SS+,/SP
다면평가(10%)	다면/NNG+평가/NNG+(/SS+10/SN+%/SW+)/SS
등을	등/NNB+을/JKO
실시해왔다.	실시/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.408.6.1
그러나 탈당을 예고한 황주홍·유성엽 의원 등 전남·북도당위원장은 "엉터리 혁신안을 받아들일 수 없다"며 심사를 거부했고, 야당은 이들에 대한 징계에 착수했었다.

그러나	그러나/MAJ
탈당을	탈당/NNG+을/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
황주홍·유성엽	황주홍/NNP+·/SP+유성엽/NNP
의원	의원/NNG
등	등/NNB
전남·북도당위원장은	전남·북도/NNP+당/NNG+위원장/NNG+은/JX
"엉터리	"/SS+엉터리/NNG
혁신안을	혁신안/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
심사를	심사/NNG+를/JKO
거부했고,	거부/NNG+하/XSV+았/EP+고/EC+,/SP
야당은	야당/NNG+은/JX
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
징계에	징계/NNG+에/JKB
착수했었다.	착수/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.408.6.2
비주류 측은 탈락자 윤곽이 가려지는 24일 이후 호남을 중심으로 수십 명이 집단 탈당할 것으로 보고 있다.

비주류	비/XPN+주류/NNG
측은	측/NNB+은/JX
탈락자	탈락자/NNG
윤곽이	윤곽/NNG+이/JKS
가려지는	가려지/VV+는/ETM
24일	24/SN+일/NNB
이후	이후/NNG
호남을	호남/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
수십	수십/NR
명이	명/NNB+이/JKS
집단	집단/NNG
탈당할	탈당/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.408.7.1
그러나 평가위원장을 맡고 있는 조은 동국대 교수는 본지 통화에서 "떠도는 탈락 예상자 명단은 실제 우리 조사와 관계가 없다"고 '비노 70% 탈락설'을 부인했다.

그러나	그러나/MAJ
평가위원장을	평가/NNG+위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
조은	조은/NNP
동국대	동국대/NNP
교수는	교수/NNG+는/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"떠도는	"/SS+떠돌/VV+는/ETM
탈락	탈락/NNG
예상자	예상자/NNG
명단은	명단/NNG+은/JX
실제	실제/NNG
우리	우리/NP
조사와	조사/NNG+와/JKB
관계가	관계/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
'비노	'/SS+비/XPN+노/NNP
70%	70/SN+%/SW
탈락설'을	탈락설/NNG+'/SS+을/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.408.8.1
16일부터 시작되는 온라인 입당도 논란이다.

16일부터	16/SN+일/NNB+부터/JX
시작되는	시작/NNG+되/XSV+는/ETM
온라인	온라인/NNG
입당도	입당/NNG+도/JX
논란이다.	논란/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.408.8.2
문재인 대표는 지난 7월 스마트폰 세대를 겨냥해 온라인 입당 시스템 추진을 지시했다.

문재인	문재인/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
스마트폰	스마트폰/NNG
세대를	세대/NNG+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
온라인	온라인/NNG
입당	입당/NNG
시스템	시스템/NNG
추진을	추진/NNG+을/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.408.8.3
그러나 비노 진영은 "온라인 입당이 허용되면 친노 성향 네티즌들이 대거 당에 들어오면서, 기존의 전통적 당원들이 소외될 것"이라며 우려했다.

그러나	그러나/MAJ
비노	비/XPN+노/NNP
진영은	진영/NNG+은/JX
"온라인	"/SS+온라인/NNG
입당이	입당/NNG+이/JKS
허용되면	허용/NNG+되/XSV+면/EC
친노	친/XPN+노/NNP
성향	성향/NNG
네티즌들이	네티즌/NNG+들/XSN+이/JKS
대거	대거/MAG
당에	당/NNG+에/JKB
들어오면서,	들어오/VV+면서/EC+,/SP
기존의	기존/NNG+의/JKG
전통적	전통/NNG+적/XSN
당원들이	당원/NNG+들/XSN+이/JKS
소외될	소외/NNG+되/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.408.8.4
오프라인 경선에서는 패하고 온라인에서 역전시키는 '친노의 필승 법칙'이 굳어질 수 있다는 것이다.

오프라인	오프라인/NNG
경선에서는	경선/NNG+에서/JKB+는/JX
패하고	패/NNG+하/XSV+고/EC
온라인에서	온라인/NNG+에서/JKB
역전시키는	역전/NNG+시키/XSV+는/ETM
'친노의	'/SS+친/XPN+노/NNP+의/JKG
필승	필승/NNG
법칙'이	법칙/NNG+'/SS+이/JKS
굳어질	굳어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.408.8.5
한편 문병호·황주홍·유성엽 의원은 오는 17일 함께 1차 탈당할 계획이다.

한편	한편/MAG
문병호·황주홍·유성엽	문병호/NNP+·/SP+황주홍/NNP+·/SP+유성엽/NNP
의원은	의원/NNG+은/JX
오는	오/VV+는/ETM
17일	17/SN+일/NNB
함께	함께/MAG
1차	1/SN+차/NNB
탈당할	탈당/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


