# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.322
metadata : {}


# id : NWRW1800000021.322.1.1
[‘예술가의 맨얼굴’ 20선]위대한 창조자의 인간적 면모

[‘예술가의	[/SS+‘/SS+예술가/NNG+의/JKG
면모와	면모/NNG+와/JC
작품	작품/NNG
탄생에	탄생/NNG+에/JKB
얽힌	얽히/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
책들이다.	책/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.322.5.1
연인이나 아내 같은 주변 인물은 예술가들의 작품에 영감을 주기도 했지만 삶에 고통을 안기기도 했다.

연인이나	연인/NNG+이나/JC
아내	아내/NNG
같은	같/VA+은/ETM
주변	주변/NNG
인물은	인물/NNG+은/JX
예술가들의	예술가/NNG+들/XSN+의/JKG
작품에	작품/NNG+에/JKB
영감을	영감/NNG+을/JKO
주기도	주/VV+기/ETN+도/JX
했지만	하/VX+았/EP+지만/EC
삶에	삶/NNG+에/JKB
고통을	고통/NNG+을/JKO
안기기도	안기/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.322.5.2
‘화가의 빛이 된 아내’는 함께 작품 활동을 했던 김기창과 박래현, 화목한 가정을 꾸리길 원했던 박수근과 김복순, 이중섭과 일본인 아내 김남덕 등 한국 화가들과 그 아내들에 대한 이야기를 담았다.

‘화가의	‘/SS+화가/NNG+의/JKG
빛이	빛/NNG+이/JKC
된	되/VV+ㄴ/ETM
아내’는	아내/NNG+’/SS+는/JX
함께	함께/MAG
작품	작품/NNG
활동을	활동/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
김기창과	김기창/NNP+과/JC
박래현,	박래현/NNP+,/SP
화목한	화목/NNG+하/XSA+ㄴ/ETM
가정을	가정/NNG+을/JKO
꾸리길	꾸리/VV+기/ETN+ㄹ/JKO
원했던	원/NNG+하/XSV+았/EP+던/ETM
박수근과	박수근/NNP+과/JC
김복순,	김복순/NNP+,/SP
이중섭과	이중섭/NNP+과/JC
일본인	일본인/NNG
아내	아내/NNG
김남덕	김남덕/NNP
등	등/NNB
한국	한국/NNP
화가들과	화가/NNG+들/XSN+과/JC
그	그/MMD
아내들에	아내/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.5.3
‘음악가와 연인들’은 첫사랑의 언니와 불행한 결혼생활을 했던 하이든, 잘생긴 외모 때문에 귀부인들의 공략 대상이 됐던 리스트 등 유명 음악가 13인에게 사랑이 어떤 영향을 줬는지를 엮었다.

‘음악가와	‘/SS+음악가/NNG+와/JC
연인들’은	연인/NNG+들/XSN+’/SS+은/JX
첫사랑의	첫사랑/NNG+의/JKG
언니와	언니/NNG+와/JKB
불행한	불행/NNG+하/XSA+ㄴ/ETM
결혼생활을	결혼/NNG+생활/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
하이든,	하이든/NNP+,/SP
잘생긴	잘생기/VV+ㄴ/ETM
외모	외모/NNG
때문에	때문/NNB+에/JKB
귀부인들의	귀부인/NNG+들/XSN+의/JKG
공략	공략/NNG
대상이	대상/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
리스트	리스트/NNP
등	등/NNB
유명	유명/NNG
음악가	음악가/NNG
13인에게	13/SN+인/NNG+에게/JKB
사랑이	사랑/NNG+이/JKS
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
줬는지를	주/VV+었/EP+는지/EF+를/JKO
엮었다.	엮/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.322.6.1
예술 밖에서 예술가들의 내면을 더 충실히 관찰해낸 책도 있었다.

예술	예술/NNG
밖에서	밖/NNG+에서/JKB
예술가들의	예술가/NNG+들/XSN+의/JKG
내면을	내면/NNG+을/JKO
더	더/MAG
충실히	충실히/MAG
관찰해낸	관찰/NNG+하/XSV+아/EC+내/VX+ㄴ/ETM
책도	책/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.322.6.2
‘돈을 사랑한 예술가들’은 화가들에게 작품 활동은 숭고한 예술 이전에 돈을 벌기 위한 비즈니스이기도 했다는 점을 루벤스, 피카소, 미켈란젤로 같은 예술가들의 목소리로 전달했다.

‘돈을	‘/SS+돈/NNG+을/JKO
사랑한	사랑/NNG+하/XSV+ㄴ/ETM
예술가들’은	예술가/NNG+들/XSN+’/SS+은/JX
화가들에게	화가/NNG+들/XSN+에게/JKB
작품	작품/NNG
활동은	활동/NNG+은/JX
숭고한	숭고하/VA+ㄴ/ETM
예술	예술/NNG
이전에	이전/NNG+에/JKB
돈을	돈/NNG+을/JKO
벌기	벌/VV+기/ETN
위한	위하/VV+ㄴ/ETM
비즈니스이기도	비즈니스/NNG+이/VCP+기/ETN+도/JX
했다는	하/VX+았/EP+다는/ETM
점을	점/NNG+을/JKO
루벤스,	루벤스/NNP+,/SP
피카소,	피카소/NNP+,/SP
미켈란젤로	미켈란젤로/NNP
같은	같/VA+은/ETM
예술가들의	예술가/NNG+들/XSN+의/JKG
목소리로	목소리/NNG+로/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.6.3
‘예술, 정치를 만나다’는 예술가와 정치의 관계에 대한 책이다.

‘예술,	‘/SS+예술/NNG+,/SP
정치를	정치/NNG+를/JKO
만나다’는	만나/VV+다/EF+’/SS+는/JX
예술가와	예술가/NNG+와/JC
정치의	정치/NNG+의/JKG
관계에	관계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.322.6.4
바그너는 나치정권과 밀착 관계를 유지했지만 사르트르는 이와는 반대로 ‘반권력 예술주의’를 주창했다.

바그너는	바그너/NNP+는/JX
나치정권과	나치/NNP+정권/NNG+과/JKB
밀착	밀착/NNG
관계를	관계/NNG+를/JKO
유지했지만	유지/NNG+하/XSV+았/EP+지만/EC
사르트르는	사르트르/NNP+는/JX
이와는	이/NP+와/JKB+는/JX
반대로	반대/NNG+로/JKB
‘반권력	‘/SS+반/XPN+권력/NNG
예술주의’를	예술/NNG+주의/NNG+’/SS+를/JKO
주창했다.	주창/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.6.5
저자는 “예술이 권력의 호위를 얻어 권력의 꽃으로 전락하는 것을 경계해야 한다”고 말한다.

저자는	저자/NNG+는/JX
“예술이	“/SS+예술/NNG+이/JKS
권력의	권력/NNG+의/JKG
호위를	호위/NNG+를/JKO
얻어	얻/VV+어/EC
꽃으로	꽃/NNG+으로/JKB
전락하는	전락/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
경계해야	경계/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.322.6.6
‘예술가의 방’은 국내 작가 10인의 작업실을 저자가 직접 방문해 작가들을 인터뷰한 뒤 쓴 책이었다.

‘예술가의	‘/SS+예술가/NNG+의/JKG
방’은	방/NNG+’/SS+은/JX
국내	국내/NNG
작가	작가/NNG
10인의	10/SN+인/NNG+의/JKG
작업실을	작업실/NNG+을/JKO
저자가	저자/NNG+가/JKS
직접	직접/MAG
방문해	방문/NNG+하/XSV+아/EC
작가들을	작가/NNG+들/XSN+을/JKO
인터뷰한	인터뷰/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
쓴	쓰/VV+ㄴ/ETM
책이었다.	책/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.322.7.1
예술과 특별한 관계가 없는 분야의 전문가들이 예술가들의 생애에 관한 책을 쓰기도 했다.

예술과	예술/NNG+과/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
관계가	관계/NNG+가/JKS
없는	없/VA+는/ETM
분야의	분야/NNG+의/JKG
전문가들이	전문가/NNG+들/XSN+이/JKS
예술가들의	예술가/NNG+들/XSN+의/JKG
생애에	생애/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
책을	책/NNG+을/JKO
쓰기도	쓰/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.322.7.2
‘모차르트의 귀’는 법의학자인 저자가 모차르트, 슈베르트, 차이콥스키, 베토벤, 파가니니 등 작곡가들의 사인(死因)을 분석했다.

‘모차르트의	‘/SS+모차르트/NNP+의/JKG
귀’는	귀/NNG+’/SS+는/JX
법의학자인	법의학자/NNG+이/VCP+ㄴ/ETM
저자가	저자/NNG+가/JKS
모차르트,	모차르트/NNP+,/SP
슈베르트,	슈베르트/NNP+,/SP
차이콥스키,	차이콥스키/NNP+,/SP
베토벤,	베토벤/NNP+,/SP
파가니니	파가니니/NNP
등	등/NNB
작곡가들의	작곡가/NNG+들/XSN+의/JKG
사인(死因)을	사인/NNG+(/SS+死因/SH+)/SS+을/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.7.3
‘예술가들의 어린 시절’은 교육학 박사들로 구성된 필진이 윤이상, 피카소, 백남준 등 국내외 예술가의 성장 과정을 살펴본 책이다.

‘예술가들의	‘/SS+예술가/NNG+들/XSN+의/JKG
어린	어리/VA+ㄴ/ETM
시절’은	시절/NNG+’/SS+은/JX
교육학	교육학/NNG
박사들로	박사/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
필진이	필진/NNG+이/JKS
윤이상,	윤이상/NNP+,/SP
피카소,	피카소/NNP+,/SP
백남준	백남준/NNP
등	등/NNB
국내외	국내외/NNG
예술가의	예술가/NNG+의/JKG
성장	성장/NNG
과정을	과정/NNG+을/JKO
살펴본	살펴보/VV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.322.8.1
알림

알림	알리/VV+ㅁ/ETN


# id : NWRW1800000021.322.9.1
‘책 읽는 대한민국’ 시리즈는 ‘창간 90주년 기념-동아일보 속의 근대 100景’ 연재로 내년 2월까지 쉽니다.

‘책	‘/SS+책/NNG
읽는	읽/VV+는/ETM
대한민국’	대한민국/NNP+’/SS
시리즈는	시리즈/NNG+는/JX
‘창간	‘/SS+창간/NNG
90주년	90/SN+주년/NNB
기념-동아일보	기념/NNG+-/SO+동아일보/NNP
속의	속/NNG+의/JKG
근대	근대/NNG
100景’	100/SN+景/SH+’/SS
연재로	연재/NNG+로/JKB
내년	내년/NNG
2월까지	2/SN+월/NNB+까지/JX
쉽니다.	쉬/VV+ㅂ니다/EF+./SF


