# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.363
metadata : {}


# id : NWRW1800000022.363.1.1
"최우수 학생 뽑아 최고 수준으로 키워";에콜 폴리테크니크의 총장 자비에르 미셀 육군 소장

"최우수	"/SS+최/XPN+우수/NNG
없으면	없/VA+으면/EC
어떻게	어떻/VA+게/EC
국가가	국가/NNG+가/JKS
고등교육에	고등/NNG+교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우선순위를	우선순위/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
있느냐"며	있/VA+느냐/EF+"/SS+며/EC
"우리	"/SS+우리/NP
학교에는	학교/NNG+에/JKB+는/JX
매년	매년/MAG
그해	그해/NNG
최우수	최/XPN+우수/NNG
학생	학생/NNG
400명이	400/SN+명/NNB+이/JKS
들어온다"고	들어오/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.363.2.4
다음은 그와의 일문일답 요지.

다음은	다음/NNG+은/JX
그와의	그/NP+와/JKB+의/JKG
일문일답	일문일답/NNG
요지.	요지/NNG+./SF


# id : NWRW1800000022.363.3.1
―얼마나 우수한 학생이 들어오나.

―얼마나	―/SS+얼마나/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
학생이	학생/NNG+이/JKS
들어오나.	들어오/VV+나/EF+./SF


# id : NWRW1800000022.363.4.1
"해마다 고교 졸업생 80만명 중 과학 분야 대입자격시험(바칼로레아) 합격자가 13만명쯤 된다.

"해마다	"/SS+해/NNG+마다/JX
고교	고교/NNG
졸업생	졸업/NNG+생/XSN
80만명	80/SN+만/NR+명/NNB
중	중/NNB
과학	과학/NNG
분야	분야/NNG
대입자격시험(바칼로레아)	대입/NNG+자격시험/NNG+(/SS+바칼로레아/NNG+)/SS
합격자가	합격자/NNG+가/JKS
13만명쯤	13/SN+만/NR+명/NNB+쯤/XSN
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.363.4.2
이 중 1만5000명만 프레파(그랑제콜 진학반)에 들어간다.

이	이/MMD
중	중/NNB
1만5000명만	1/SN+만/NR+5000/SN+명/NNB+만/JX
프레파(그랑제콜	프레파/NNG+(/SS+그랑제콜/NNG
진학반)에	진학반/NNG+)/SS+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.363.4.3
그리고 2년 동안 프레파에서 그랑제콜 입시를 준비한 학생 중 400명만 우리 학교에 입학할 수 있다."

그리고	그리고/MAJ
2년	2/SN+년/NNB
동안	동안/NNG
프레파에서	프레파/NNG+에서/JKB
그랑제콜	그랑제콜/NNG
입시를	입시/NNG+를/JKO
준비한	준비/NNG+하/XSV+ㄴ/ETM
학생	학생/NNG
중	중/NNB
400명만	400/SN+명/NNB+만/JX
우리	우리/NP
학교에	학교/NNG+에/JKB
입학할	입학/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다."	있/VA+다/EF+./SF+"/SS


# id : NWRW1800000022.363.5.1
―외국 학생도 뽑나.

―외국	―/SS+외국/NNG
학생도	학생/NNG+도/JX
뽑나.	뽑/VV+나/EF+./SF


# id : NWRW1800000022.363.6.1
"매년 65~75명의 외국 학생을 별도로 선발한다.

"매년	"/SS+매년/MAG
65~75명의	65/SN+~/SO+75/SN+명/NNB+의/JKG
외국	외국/NNG
학생을	학생/NNG+을/JKO
별도로	별도/NNG+로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.363.6.2
중국 베이징대와 칭화대, 일본 도쿄대, 한국의 서울대와 카이스트 등 우리가 학력을 인정하는 대학에 한해 추천을 받아 서류 심사를 거친 뒤 별도 필기시험을 거쳐 뽑는다."

중국	중국/NNP
베이징대와	베이징대/NNP+와/JC
칭화대,	칭화대/NNP+,/SP
일본	일본/NNP
도쿄대,	도쿄대/NNP+,/SP
한국의	한국/NNP+의/JKG
서울대와	서울대/NNP+와/JC
카이스트	카이스트/NNP
등	등/NNB
우리가	우리/NP+가/JKS
학력을	학력/NNG+을/JKO
인정하는	인정/NNG+하/XSV+는/ETM
대학에	대학/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
서류	서류/NNG
심사를	심사/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
별도	별도/NNG
필기시험을	필기시험/NNG+을/JKO
거쳐	거치/VV+어/EC
뽑는다."	뽑/VV+는다/EF+./SF+"/SS


# id : NWRW1800000022.363.7.1
―졸업생은 어느 분야로 진출하나.

―졸업생은	―/SS+졸업/NNG+생/XSN+은/JX
어느	어느/MMD
분야로	분야/NNG+로/JKB
진출하나.	진출/NNG+하/XSV+나/EF+./SF


# id : NWRW1800000022.363.8.1
"25%는 기술 관료, 15%는 연구소, 60%는 기업으로 간다.

"25%는	"/SS+25/SN+%/SW+는/JX
기술	기술/NNG
관료,	관료/NNG+,/SP
15%는	15/SN+%/SW+는/JX
연구소,	연구소/NNG+,/SP
60%는	60/SN+%/SW+는/JX
기업으로	기업/NNG+으로/JKB
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.363.8.2
기업의 경우 TGV(초고속열차)를 만드는 알스톰, 에어버스 등 프랑스를 대표하는 대기업에 주로 취직한다."

기업의	기업/NNG+의/JKG
경우	경우/NNG
TGV(초고속열차)를	TGV/NNP+(/SS+초/XPN+고속/NNG+열차/NNG+)/SS+를/JKO
만드는	만들/VV+는/ETM
알스톰,	알스톰/NNP+,/SP
에어버스	에어버스/NNP
등	등/NNB
프랑스를	프랑스/NNP+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
대기업에	대/XPN+기업/NNG+에/JKB
주로	주로/MAG
취직한다."	취직/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000022.363.9.1
―왜 대학을 국방부 산하에 두나.

―왜	―/SS+왜/MAG
대학을	대학/NNG+을/JKO
국방부	국방부/NNG
산하에	산하/NNG+에/JKB
두나.	두/VV+나/EF+./SF


# id : NWRW1800000022.363.10.1
"사실 군사학교의 초기 분위기는 이제 거의 없다.

"사실	"/SS+사실/MAG
군사학교의	군사/NNG+학교/NNG+의/JKG
초기	초기/NNG
분위기는	분위기/NNG+는/JX
이제	이제/MAG
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.363.10.2
1학년 때 군 장교훈련을 받고, 체육활동을 군 장교들이 지도하는 것 외에는 전혀 없다.

1학년	1/SN+학년/NNG
때	때/NNG
군	군/NNG
장교훈련을	장교/NNG+훈련/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
체육활동을	체육/NNG+활동/NNG+을/JKO
장교들이	장교/NNG+들/XSN+이/JKS
지도하는	지도/NNG+하/XSV+는/ETM
것	것/NNB
외에는	외/NNB+에/JKB+는/JX
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.363.10.3
하지만 나폴레옹 황제 시절부터 내려오는 책임감 있는 과학 기술자 양성이란 학교 설립 목표를 존중하기 때문에 전통이 계속 이어지는 것이다."

하지만	하지만/MAJ
나폴레옹	나폴레옹/NNP
황제	황제/NNG
시절부터	시절/NNG+부터/JX
내려오는	내려오/VV+는/ETM
책임감	책임감/NNG
있는	있/VA+는/ETM
과학	과학/NNG
기술자	기술자/NNG
양성이란	양성/NNG+이/VCP+란/ETM
학교	학교/NNG
설립	설립/NNG
목표를	목표/NNG+를/JKO
존중하기	존중/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
전통이	전통/NNG+이/JKS
계속	계속/MAG
이어지는	이어지/VV+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000022.363.11.1
―학생들에게 국가가 월급을 주는데.

―학생들에게	―/SS+학생/NNG+들/XSN+에게/JKB
국가가	국가/NNG+가/JKS
월급을	월급/NNG+을/JKO
주는데.	주/VV+는데/EF+./SF


# id : NWRW1800000022.363.12.1
"학생들은 입학하면서부터 군 장교 대우를 받기 때문에 국가로부터 월 800유로(140만원) 정도의 급여를 졸업할 때까지 받는다.

"학생들은	"/SS+학생/NNG+들/XSN+은/JX
입학하면서부터	입학/NNG+하/XSV+면서/EC+부터/JX
군	군/NNG
장교	장교/NNG
대우를	대우/NNG+를/JKO
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
국가로부터	국가/NNG+로부터/JKB
월	월/NNG
800유로(140만원)	800/SN+유로/NNB+(/SS+140/SN+만/NR+원/NNB+)/SS
정도의	정도/NNG+의/JKG
급여를	급여/NNG+를/JKO
졸업할	졸업/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000022.363.12.2
학비는 공짜다.

학비는	학비/NNG+는/JX
공짜다.	공짜/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.363.12.3
외국 학생에겐 장학금 형태로 생활비를 지원해준다.

외국	외국/NNG
학생에겐	학생/NNG+에게/JKB+ㄴ/JX
장학금	장학금/NNG
형태로	형태/NNG+로/JKB
생활비를	생활비/NNG+를/JKO
지원해준다.	지원/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.363.12.4
대신 월급을 받는 프랑스 학생들은 졸업 후 10년 동안 국가에 봉사해야 하는 의무를 진다."

대신	대신/NNG
월급을	월급/NNG+을/JKO
받는	받/VV+는/ETM
프랑스	프랑스/NNP
학생들은	학생/NNG+들/XSN+은/JX
졸업	졸업/NNG
후	후/NNG
10년	10/SN+년/NNB
동안	동안/NNG
국가에	국가/NNG+에/JKB
봉사해야	봉사/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
의무를	의무/NNG+를/JKO
진다."	지/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000022.363.13.1
―예산은 어떻게 조달하나.

―예산은	―/SS+예산/NNG+은/JX
어떻게	어떻/VA+게/EC
조달하나.	조달/NNG+하/XSV+나/EF+./SF


# id : NWRW1800000022.363.14.1
"국가와 5년 단위 계약을 맺고 정부의 예산 지원을 받는다.

"국가와	"/SS+국가/NNG+와/JKB
5년	5/SN+년/NNB
단위	단위/NNG
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
정부의	정부/NNG+의/JKG
예산	예산/NNG
지원을	지원/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000022.363.14.2
세금 지원을 받는 대신 우리는 국가가 요구하는 높은 수준의 인력을 양성하는 의무를 진다.

세금	세금/NNG
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
대신	대신/NNG
우리는	우리/NP+는/JX
국가가	국가/NNG+가/JKS
요구하는	요구/NNG+하/XSV+는/ETM
높은	높/VA+은/ETM
수준의	수준/NNG+의/JKG
인력을	인력/NNG+을/JKO
양성하는	양성/NNG+하/XSV+는/ETM
의무를	의무/NNG+를/JKO
진다.	지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.363.14.3
전체 예산의 10% 정도는 기업들의 기부금으로 조달한다."

전체	전체/NNG
예산의	예산/NNG+의/JKG
10%	10/SN+%/SW
정도는	정도/NNG+는/JX
기업들의	기업/NNG+들/XSN+의/JKG
기부금으로	기부금/NNG+으로/JKB
조달한다."	조달/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


