# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.405
metadata : {}


# id : NWRW1800000028.405.1.1
김성호<전 국정원장> “기억하고 싶지 않다” /정세균 “독재부활…특검해야” /정두언 “폭로 상당부분 사실”

김성호<전	김성호/NNP+</SS+전/MMD
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.405.5.2
민본21 소속 주광덕 의원은 “의원들이 검찰이 국민적인 의혹이 큰 대포폰 사건 등도 청목회 수사처럼 동일한 잣대로 강력한 의지를 갖고 국민의 의혹이 풀릴 만큼 수사를 해야 한다고 입을 모았다”고 전했다.

민본21	민본/NNG+21/SN
소속	소속/NNG
주광덕	주광덕/NNP
의원은	의원/NNG+은/JX
“의원들이	“/SS+의원/NNG+들/XSN+이/JKS
검찰이	검찰/NNG+이/JKS
국민적인	국민/NNG+적/XSN+이/VCP+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
큰	크/VA+ㄴ/ETM
대포폰	대포/NNG+폰/NNG
사건	사건/NNG
등도	등/NNB+도/JX
청목회	청목회/NNP
수사처럼	수사/NNG+처럼/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
잣대로	잣대/NNG+로/JKB
강력한	강력/NNG+하/XSA+ㄴ/ETM
의지를	의지/NNG+를/JKO
갖고	갖/VV+고/EC
국민의	국민/NNG+의/JKG
풀릴	풀리/VV+ㄹ/ETM
만큼	만큼/NNB
수사를	수사/NNG+를/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
입을	입/NNG+을/JKO
모았다”고	모으/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


