# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.71
metadata : {}


# id : NWRW1800000025.71.1.1
대기업 임원수 줄이고 보수는 늘렸다

대기업	대/XPN+기업/NNG
13명으로	13/SN+명/NNB+으로/JKB
줄이면서	줄이/VV+면서/EC
임원	임원/NNG
보수	보수/NNG
총액은	총액/NNG+은/JX
60억	60/SN+억/NR
원에서	원/NNB+에서/JKB
70억	70/SN+억/NR
원으로	원/NNB+으로/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.71.4.2
동국제강도 12명이던 등기 이사를 11명으로 줄이면서 임원 보수 한도는 60억 원에서 70억 원으로 늘렸다.

동국제강도	동국제강/NNP+도/JX
12명이던	12/SN+명/NNB+이/VCP+던/ETM
등기	등기/NNG
이사를	이사/NNG+를/JKO
11명으로	11/SN+명/NNB+으로/JKB
줄이면서	줄이/VV+면서/EC
임원	임원/NNG
보수	보수/NNG
한도는	한도/NNG+는/JX
60억	60/SN+억/NR
원에서	원/NNB+에서/JKB
70억	70/SN+억/NR
원으로	원/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.71.4.3
KT도 지난해 45억 원에서 올해는 65억 원으로 상향 조정했다.

KT도	KT/SL+도/JX
지난해	지난해/NNG
45억	45/SN+억/NR
원에서	원/NNB+에서/JKB
올해는	올해/NNG+는/JX
65억	65/SN+억/NR
원으로	원/NNB+으로/JKB
상향	상향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.71.5.1
삼성그룹 계열사 중에는 삼성물산이 임원 보수 한도를 120억 원에서 150억 원으로 올리는 안건을 주총에 상정했다.

삼성그룹	삼성그룹/NNP
계열사	계열사/NNG
중에는	중/NNB+에/JKB+는/JX
삼성물산이	삼성물산/NNP+이/JKS
임원	임원/NNG
보수	보수/NNG
한도를	한도/NNG+를/JKO
120억	120/SN+억/NR
원에서	원/NNB+에서/JKB
150억	150/SN+억/NR
원으로	원/NNB+으로/JKB
올리는	올리/VV+는/ETM
안건을	안건/NNG+을/JKO
주총에	주총/NNG+에/JKB
상정했다.	상정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.71.5.2
SK㈜와 SKC도 각각 100억 원에서 120억 원으로 상향 조정할 예정이다.

SK㈜와	SK/SL+㈜/SW+와/JC
SKC도	SKC/SL+도/JX
각각	각각/MAG
100억	100/SN+억/NR
원에서	원/NNB+에서/JKB
120억	120/SN+억/NR
원으로	원/NNB+으로/JKB
상향	상향/NNG
조정할	조정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.71.5.3
LG생활건강도 30억 원에서 40억 원으로 올리기로 했다.

LG생활건강도	LG생활건강/NNP+도/JX
30억	30/SN+억/NR
원에서	원/NNB+에서/JKB
40억	40/SN+억/NR
원으로	원/NNB+으로/JKB
올리기로	올리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.71.6.1
일부 기업들은 보수 총액은 동결하면서 이사 수를 줄여 급여 수준을 높이고 있다.

일부	일부/NNG
기업들은	기업/NNG+들/XSN+은/JX
보수	보수/NNG
총액은	총액/NNG+은/JX
동결하면서	동결/NNG+하/XSV+면서/EC
이사	이사/NNG
수를	수/NNG+를/JKO
줄여	줄이/VV+어/EC
급여	급여/NNG
수준을	수준/NNG+을/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.71.6.2
삼성전자 주총에는 등기이사를 기존의 9명에서 7명으로 줄이는 안건이 상정돼 있다.

삼성전자	삼성전자/NNP
주총에는	주총/NNG+에/JKB+는/JX
등기이사를	등기/NNG+이사/NNG+를/JKO
기존의	기존/NNG+의/JKG
9명에서	9/SN+명/NNB+에서/JKB
7명으로	7/SN+명/NNB+으로/JKB
줄이는	줄이/VV+는/ETM
안건이	안건/NNG+이/JKS
상정돼	상정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.71.6.3
삼성전자는 사내이사와 사외이사를 각각 한 명씩 줄이면서 임원 보수 한도도 550억 원에서 520억 원으로 감축하기로 했다.

삼성전자는	삼성전자/NNP+는/JX
사내이사와	사내/NNG+이사/NNG+와/JC
사외이사를	사외/NNG+이사/NNG+를/JKO
각각	각각/MAG
한	한/MMN
명씩	명/NNB+씩/XSN
줄이면서	줄이/VV+면서/EC
임원	임원/NNG
보수	보수/NNG
한도도	한도/NNG+도/JX
550억	550/SN+억/NR
원에서	원/NNB+에서/JKB
520억	520/SN+억/NR
원으로	원/NNB+으로/JKB
감축하기로	감축/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.71.6.4
임원 보수 한도가 줄어들지만 이사 수도 줄기 때문에 1인당 받을 수 있는 보수 한도는 지난해보다 오히려 더 늘어난다.

임원	임원/NNG
보수	보수/NNG
한도가	한도/NNG+가/JKS
줄어들지만	줄어들/VV+지만/EC
이사	이사/NNG
수도	수/NNG+도/JX
줄기	줄/VV+기/ETN
때문에	때문/NNB+에/JKB
1인당	1/SN+인/NNG+당/XSN
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
한도는	한도/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
오히려	오히려/MAG
더	더/MAG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.71.6.5
삼성전자는 2008년 350억 원이던 임원 보수 한도를 지난해 550억 원으로 대폭 올린 바 있다.

삼성전자는	삼성전자/NNP+는/JX
2008년	2008/SN+년/NNB
350억	350/SN+억/NR
원이던	원/NNB+이/VCP+던/ETM
임원	임원/NNG
보수	보수/NNG
한도를	한도/NNG+를/JKO
지난해	지난해/NNG
550억	550/SN+억/NR
원으로	원/NNB+으로/JKB
대폭	대폭/MAG
올린	올리/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.71.7.1
삼성중공업은 임원 보수 한도를 100억 원으로 동결하면서 등기 이사 수를 7명에서 6명으로 줄이는 안건을 주총에 상정해 놓고 있다.

삼성중공업은	삼성중공업/NNP+은/JX
임원	임원/NNG
보수	보수/NNG
한도를	한도/NNG+를/JKO
100억	100/SN+억/NR
원으로	원/NNB+으로/JKB
동결하면서	동결/NNG+하/XSV+면서/EC
등기	등기/NNG
이사	이사/NNG
수를	수/NNG+를/JKO
7명에서	7/SN+명/NNB+에서/JKB
6명으로	6/SN+명/NNB+으로/JKB
줄이는	줄이/VV+는/ETM
안건을	안건/NNG+을/JKO
주총에	주총/NNG+에/JKB
상정해	상정/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.71.7.2
LG디스플레이도 임원 보수 한도는 85억 원으로 동결하고, 9명이던 등기 이사를 7명으로 줄이는 안건을 주총에서 통과시킬 계획이다.

LG디스플레이도	LG디스플레이/NNP+도/JX
임원	임원/NNG
보수	보수/NNG
한도는	한도/NNG+는/JX
85억	85/SN+억/NR
원으로	원/NNB+으로/JKB
동결하고,	동결/NNG+하/XSV+고/EC+,/SP
9명이던	9/SN+명/NNB+이/VCP+던/ETM
등기	등기/NNG
이사를	이사/NNG+를/JKO
7명으로	7/SN+명/NNB+으로/JKB
줄이는	줄이/VV+는/ETM
안건을	안건/NNG+을/JKO
주총에서	주총/NNG+에서/JKB
통과시킬	통과/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.71.7.3
이 밖에 대한통운, 태광산업, SK에너지 등이 사외이사 수를 줄였다.

이	이/NP
밖에	밖/NNG+에/JKB
대한통운,	대한통운/NNP+,/SP
태광산업,	태광산업/NNP+,/SP
SK에너지	SK에너지/NNP
등이	등/NNB+이/JKS
사외이사	사외/NNG+이사/NNG
수를	수/NNG+를/JKO
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.71.8.1
이에 대해 대부분의 기업들은 지난해 글로벌 경제 위기로 삭감하거나 동결된 임원들의 보수를 정상화하는 것이라고 주장한다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
대부분의	대/XPN+부분/NNG+의/JKG
기업들은	기업/NNG+들/XSN+은/JX
지난해	지난해/NNG
글로벌	글로벌/NNG
경제	경제/NNG
위기로	위기/NNG+로/JKB
삭감하거나	삭감/NNG+하/XSV+거나/EC
동결된	동결/NNG+되/XSV+ㄴ/ETM
임원들의	임원/NNG+들/XSN+의/JKG
보수를	보수/NNG+를/JKO
정상화하는	정상/NNG+화/XSN+하/XSV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.71.8.2
하지만 기업 성과가 좋아진 것은 모든 임직원이 노력한 결과인데 일부 임원들이 지나치게 많은 보수를 가져가는 것 아니냐는 지적도 있다.

하지만	하지만/MAJ
기업	기업/NNG
성과가	성과/NNG+가/JKS
좋아진	좋/VA+아/EC+지/VX+ㄴ/ETM
것은	것/NNB+은/JX
모든	모든/MMN
임직원이	임직원/NNG+이/JKS
노력한	노력/NNG+하/XSV+ㄴ/ETM
결과인데	결과/NNG+이/VCP+ㄴ데/EC
일부	일부/NNG
임원들이	임원/NNG+들/XSN+이/JKS
지나치게	지나치/VA+게/EC
많은	많/VA+은/ETM
보수를	보수/NNG+를/JKO
가져가는	가져가/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.71.9.1
이만우 고려대 경영학과 교수는 “경영 성과가 좋아서 보수 한도를 늘린다고는 하지만 최근의 경영 성과는 투자를 안 하거나 고용을 줄여서 거둔 측면이 있는 것도 사실”이라며 “이사 보수 한도를 늘리는 게 바람직해 보이지만은 않는다”고 말했다.

이만우	이만우/NNP
고려대	고려대/NNP
경영학과	경영학과/NNG
교수는	교수/NNG+는/JX
“경영	“/SS+경영/NNG
성과가	성과/NNG+가/JKS
좋아서	좋/VA+아서/EC
보수	보수/NNG
한도를	한도/NNG+를/JKO
늘린다고는	늘리/VV+ㄴ다고/EC+는/JX
하지만	하/VX+지만/EC
최근의	최근/NNG+의/JKG
경영	경영/NNG
성과는	성과/NNG+는/JX
투자를	투자/NNG+를/JKO
안	안/MAG
하거나	하/VV+거나/EC
고용을	고용/NNG+을/JKO
줄여서	줄이/VV+어서/EC
거둔	거두/VV+ㄴ/ETM
측면이	측면/NNG+이/JKS
있는	있/VA+는/ETM
것도	것/NNB+도/JX
사실”이라며	사실/NNG+”/SS+이/VCP+라며/EC
“이사	“/SS+이사/NNG
늘리는	늘리/VV+는/ETM
게	거/NNB+이/JKS
바람직해	바람직하/VA+아/EC
보이지만은	보이/VV+지/EC+만/JX+은/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


