# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.275
metadata : {}


# id : NWRW1800000033.275.1.1
[횡설수설] 이웃집 사이코패스

[횡설수설]	[/SS+횡설수설/NNG+]/SS
뛰어난	뛰어나/VA+ㄴ/ETM
언변으로	언변/NNG+으로/JKB
스스로를	스스로/NNG+를/JKO
변호했다.	변호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.275.3.1
▷연쇄살인범 유영철과 강호순은 한국의 사이코패스다.

▷연쇄살인범	▷/SW+연쇄/NNG+살인범/NNG
유영철과	유영철/NNP+과/JC
강호순은	강호순/NNP+은/JX
한국의	한국/NNP+의/JKG
사이코패스다.	사이코패스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.275.3.2
유는 2003, 2004년 노인과 여성 등 20명을 잔혹하게 살해했다.

유는	유/NNP+는/JX
2003,	2003/SN+,/SP
2004년	2004/SN+년/NNB
노인과	노인/NNG+과/JC
여성	여성/NNG
등	등/NNB
20명을	20/SN+명/NNB+을/JKO
잔혹하게	잔혹/NNG+하/XSA+게/EC
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.275.3.3
자신의 손에 알맞게 제작된 손망치를 이용해 살해하고 증거를 없애기 위해 시신을 토막 내거나 불을 냈다.

자신의	자신/NNG+의/JKG
손에	손/NNG+에/JKB
알맞게	알맞/VA+게/EC
제작된	제작/NNG+되/XSV+ㄴ/ETM
손망치를	손/NNG+망치/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
살해하고	살해/NNG+하/XSV+고/EC
증거를	증거/NNG+를/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+아/EC
시신을	시신/NNG+을/JKO
토막	토막/NNG
내거나	내/VV+거나/EC
불을	불/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.275.3.4
이 사건은 영화 ‘추격자’의 모티브가 됐다.

이	이/MMD
사건은	사건/NNG+은/JX
영화	영화/NNG
‘추격자’의	‘/SS+추격자/NNP+’/SS+의/JKG
모티브가	모티브/NNG+가/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.275.3.5
강은 2005년 10월 집에 불을 질러 장모와 아내를 살해하고 뒤이어 군포 여대생을 포함해 7명의 여성을 살해했다.

강은	강/NNP+은/JX
2005년	2005/SN+년/NNB
10월	10/SN+월/NNB
집에	집/NNG+에/JKB
불을	불/NNG+을/JKO
질러	지르/VV+어/EC
장모와	장모/NNG+와/JC
아내를	아내/NNG+를/JKO
살해하고	살해/NNG+하/XSV+고/EC
뒤이어	뒤잇/VV+어/EC
군포	군포/NNP
여대생을	여대/NNG+생/XSN+을/JKO
포함해	포함/NNG+하/XSV+아/EC
7명의	7/SN+명/NNB+의/JKG
여성을	여성/NNG+을/JKO
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.275.3.6
이들은 범죄에 대한 반성 없이 사형 집행을 기다리고 있다.

이들은	이/NP+들/XSN+은/JX
범죄에	범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반성	반성/NNG
없이	없이/MAG
사형	사형/NNG
집행을	집행/NNG+을/JKO
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.275.4.1
▷사이코패스는 정신병이 아니다.

▷사이코패스는	▷/SW+사이코패스/NNG+는/JX
정신병이	정신병/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.275.4.2
망상 환각 환청으로 인해 분열을 겪고 행위의 결과에 대한 인식이 없는 정신병 환자와는 달리 사이코패스는 반(反)사회적 성격장애다.

망상	망상/NNG
환각	환각/NNG
환청으로	환청/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
분열을	분열/NNG+을/JKO
겪고	겪/VV+고/EC
행위의	행위/NNG+의/JKG
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
없는	없/VA+는/ETM
정신병	정신병/NNG
환자와는	환자/NNG+와/JKB+는/JX
달리	달리/MAG
사이코패스는	사이코패스/NNG+는/JX
반(反)사회적	반/XPN+(/SS+反/SH+)/SS+사회/NNG+적/XSN
성격장애다.	성격/NNG+장애/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.275.4.3
사이코패스의 가장 중요한 특징은 다른 사람의 고통에 냉담하다는 것이다.

사이코패스의	사이코패스/NNG+의/JKG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
특징은	특징/NNG+은/JX
다른	다른/MMD
사람의	사람/NNG+의/JKG
고통에	고통/NNG+에/JKB
냉담하다는	냉담/NNG+하/XSA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.275.4.4
거짓말탐지기를 통과하는 유일한 범죄형이 사이코패스다.

거짓말탐지기를	거짓말/NNG+탐지기/NNG+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
범죄형이	범죄/NNG+형/XSN+이/JKS
사이코패스다.	사이코패스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.275.4.5
인구의 4%가 이런 성향을 갖고 태어난다는 통계도 있다.

인구의	인구/NNG+의/JKG
4%가	4/SN+%/SW+가/JKS
이런	이런/MMD
성향을	성향/NNG+을/JKO
갖고	갖/VV+고/EC
태어난다는	태어나/VV+ㄴ다는/ETM
통계도	통계/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.275.4.6
가족의 보살핌과 교육의 영향으로 이런 성향이 드러나지 않지만 살다 보면 주변에서 이런 성격을 가진 사람을 만나는 일이 왕왕 일어난다.

가족의	가족/NNG+의/JKG
보살핌과	보살핌/NNG+과/JC
교육의	교육/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
이런	이런/MMD
성향이	성향/NNG+이/JKS
드러나지	드러나/VV+지/EC
않지만	않/VX+지만/EC
살다	살/VV+다/EC
보면	보/VX+면/EC
주변에서	주변/NNG+에서/JKB
성격을	성격/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람을	사람/NNG+을/JKO
만나는	만나/VV+는/ETM
일이	일/NNG+이/JKS
왕왕	왕왕/MAG
일어난다.	일어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.275.5.1
▷수원 20대 여성을 살해한 오원춘이 사이코패스 검사(PCL)에서 유영철(34점)보다 낮은 점수(22점)를 받았다고 한다.

▷수원	▷/SW+수원/NNP
20대	20/SN+대/NNB
여성을	여성/NNG+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
오원춘이	오원춘/NNP+이/JKS
사이코패스	사이코패스/NNG
검사(PCL)에서	검사/NNG+(/SS+PCL/SL+)/SS+에서/JKB
유영철(34점)보다	유영철/NNP+(/SS+34/SN+점/NNB+)/SS+보다/JKB
낮은	낮/VA+은/ETM
점수(22점)를	점수/NNG+(/SS+22/SN+점/NNB+)/SS+를/JKO
받았다고	받/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.275.5.2
오가 소심한 성격에 범행이 우발적이었으며 얼굴을 가리고 시신을 훼손했다는 점에서 사이코패스가 아니라는 견해도 있다.

오가	오/NNP+가/JKS
소심한	소심하/VA+ㄴ/ETM
성격에	성격/NNG+에/JKB
범행이	범행/NNG+이/JKS
우발적이었으며	우발/NNG+적/XSN+이/VCP+었/EP+으며/EC
얼굴을	얼굴/NNG+을/JKO
가리고	가리/VV+고/EC
시신을	시신/NNG+을/JKO
훼손했다는	훼손/NNG+하/XSV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
사이코패스가	사이코패스/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
견해도	견해/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.275.5.3
그러나 경희대 범죄심리학과 이수정 교수는 “일반적 재소자와 비교할 때 22점도 낮은 점수가 아니다”라며 전봇대 뒤에 숨어 있었다거나, 시신을 잔혹하게 훼손하고 유기를 위해 검은 봉투를 산 행위도 오가 나름대로는 머리를 쓴 것이라고 말했다.

그러나	그러나/MAJ
경희대	경희대/NNP
범죄심리학과	범죄/NNG+심리학과/NNG
이수정	이수정/NNP
교수는	교수/NNG+는/JX
“일반적	“/SS+일반/NNG+적/XSN
재소자와	재소자/NNG+와/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
때	때/NNG
22점도	22/SN+점/NNB+도/JX
낮은	낮/VA+은/ETM
점수가	점수/NNG+가/JKS
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
전봇대	전봇대/NNG
뒤에	뒤/NNG+에/JKB
숨어	숨/VV+어/EC
있었다거나,	있/VX+었/EP+다/EF+거나/JX+,/SP
시신을	시신/NNG+을/JKO
잔혹하게	잔혹/NNG+하/XSA+게/EC
훼손하고	훼손/NNG+하/XSV+고/EC
유기를	유기/NNG+를/JKO
위해	위하/VV+아/EC
검은	검/VA+은/ETM
봉투를	봉투/NNG+를/JKO
산	사/VV+ㄴ/ETM
행위도	행위/NNG+도/JX
오가	오/NNP+가/JKS
나름대로는	나름/NNB+대로/JX+는/JX
머리를	머리/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.275.5.4
오는 지능지수와 교육 수준이 낮은 변형 사이코패스일 가능성이 크다.

오는	오/NNP+는/JX
지능지수와	지능/NNG+지수/NNG+와/JC
교육	교육/NNG
수준이	수준/NNG+이/JKS
낮은	낮/VA+은/ETM
변형	변형/NNG
사이코패스일	사이코패스/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


