# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.254
metadata : {}


# id : NWRW1800000033.254.1.1
우승컵 안은 서울, 새로운 도전 시작

우승컵	우승컵/NNG
부문	부문/NNG
모두	모두/MAG
리그	리그/NNG
최소(스플릿	최소/NNG+(/SS+스플릿/NNG
시스템	시스템/NNG
가동	가동/NNG
후	후/NNG
경기에	경기/NNG+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
상주	상주/NNP
상무	상무/NNP
제외)를	제외/NNG+)/SS+를/JKO
기록	기록/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.254.5.4
서울이 남은 경기에서 반칙이 없는 깨끗한 경기를 한다면 12월 3일 열리는 K리그 시상식에서 페어플레이 상은 서울의 몫이 될 가능성이 크다.

서울이	서울/NNP+이/JKS
남은	남/VV+은/ETM
경기에서	경기/NNG+에서/JKB
반칙이	반칙/NNG+이/JKS
없는	없/VA+는/ETM
깨끗한	깨끗하/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
한다면	하/VV+ㄴ다면/EC
12월	12/SN+월/NNB
3일	3/SN+일/NNB
열리는	열리/VV+는/ETM
K리그	K/SL+리그/NNG
시상식에서	시상식/NNG+에서/JKB
페어플레이	페어플레이/NNG
상은	상/NNG+은/JX
서울의	서울/NNP+의/JKG
몫이	몫/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.254.6.1
다음 시즌 준비도 게을리 할 수 없다.

다음	다음/NNG
시즌	시즌/NNG
준비도	준비/NNG+도/JX
게을리	게을리/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.254.6.2
서울은 올 시즌 우승으로 2013 아시아축구연맹(AFC) 챔피언스리그 출전권을 얻었다.

서울은	서울/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
우승으로	우승/NNG+으로/JKB
2013	2013/SN
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그	챔피언스리그/NNG
출전권을	출전/NNG+권/XSN+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.254.6.3
올 시즌 서울은 AFC 챔피언스리그에 출전하지 않아 K리그에 집중할 수 있었다.

올	올/NNG
시즌	시즌/NNG
서울은	서울/NNP+은/JX
AFC	AFC/SL
챔피언스리그에	챔피언스리그/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
않아	않/VX+아/EC
K리그에	K/SL+리그/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.254.6.4
이는 리그 막판까지 꾸준한 체력을 유지할 수 있는 원동력이 됐다.

이는	이/NP+는/JX
리그	리그/NNG
막판까지	막판/NNG+까지/JX
꾸준한	꾸준하/VA+ㄴ/ETM
체력을	체력/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
원동력이	원동력/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.254.6.5
그러나 서울이 다음 시즌에 AFC 챔피언스리그와 K리그에서 동시에 좋은 성적을 내기 위해서는 선수들의 체력 관리에 더 신경을 써야 한다.

그러나	그러나/MAJ
서울이	서울/NNP+이/JKS
다음	다음/NNG
시즌에	시즌/NNG+에/JKB
AFC	AFC/SL
챔피언스리그와	챔피언스리그/NNG+와/JKB
K리그에서	K/SL+리그/NNG+에서/JKB
동시에	동시/NNG+에/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내기	내/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
선수들의	선수/NNG+들/XSN+의/JKG
체력	체력/NNG
관리에	관리/NNG+에/JKB
더	더/MAG
신경을	신경/NNG+을/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.254.6.6
이런 점들을 해결하기 위해서는 장기적으로 신인 선수를 육성하고 체계적인 선수단 관리를 통해 선수 층을 두껍게 만들어야 한다.

이런	이런/MMD
점들을	점/NNG+들/XSN+을/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
장기적으로	장기/NNG+적/XSN+으로/JKB
신인	신인/NNG
선수를	선수/NNG+를/JKO
육성하고	육성/NNG+하/XSV+고/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
선수단	선수단/NNG
관리를	관리/NNG+를/JKO
통해	통하/VV+아/EC
선수	선수/NNG
층을	층/NNG+을/JKO
두껍게	두껍/VA+게/EC
만들어야	만들/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.254.7.1
라이벌 수원전 ‘무승 징크스’를 극복하는 것 또한 서울이 해결해야 할 과제다.

라이벌	라이벌/NNG
수원전	수원전/NNG
‘무승	‘/SS+무/XPN+승/NNG
징크스’를	징크스/NNG+’/SS+를/JKO
극복하는	극복/NNG+하/XSV+는/ETM
것	것/NNB
또한	또한/MAG
서울이	서울/NNP+이/JKS
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
과제다.	과제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.254.7.2
서울은 올 시즌 수원과의 정규리그 맞대결에서 1무 3패로 열세를 보였다.

서울은	서울/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
수원과의	수원/NNP+과/JKB+의/JKG
정규리그	정규/NNG+리그/NNG
맞대결에서	맞대결/NNG+에서/JKB
1무	1/SN+무/NNB
3패로	3/SN+패/NNB+로/JKB
열세를	열세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.254.7.3
한준희 KBS 해설위원은 “서울은 수원과의 미드필더 싸움에서 밀렸다.

한준희	한준희/NNP
KBS	KBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“서울은	“/SS+서울/NNP+은/JX
수원과의	수원/NNP+과/JKB+의/JKG
미드필더	미드필더/NNG
싸움에서	싸움/NNG+에서/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.254.7.4
수원은 공격수가 중원까지 내려와 수비진과 함께 서울 미드필더를 압박해 공격수에게 볼이 연결되지 못하게 했다”고 분석했다.

수원은	수원/NNP+은/JX
공격수가	공격수/NNG+가/JKS
중원까지	중원/NNG+까지/JX
내려와	내려오/VV+아/EC
수비진과	수비진/NNG+과/JKB
함께	함께/MAG
서울	서울/NNP
미드필더를	미드필더/NNG+를/JKO
압박해	압박/NNG+하/XSV+아/EC
공격수에게	공격수/NNG+에게/JKB
볼이	볼/NNG+이/JKS
연결되지	연결/NNG+되/XSV+지/EC
못하게	못하/VX+게/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.254.7.5
압박 수비에 시달린 서울 미드필더가 정확한 패스를 하지 못해 주 득점원인 데얀이 완벽한 기회에서 슈팅을 시도할 수 없었다는 얘기다.

압박	압박/NNG
수비에	수비/NNG+에/JKB
시달린	시달리/VV+ㄴ/ETM
서울	서울/NNP
미드필더가	미드필더/NNG+가/JKS
정확한	정확/NNG+하/XSA+ㄴ/ETM
패스를	패스/NNG+를/JKO
하지	하/VV+지/EC
못해	못하/VX+아/EC
주	주/MMA
득점원인	득점원/NNG+이/VCP+ㄴ/ETM
데얀이	데얀/NNP+이/JKS
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
기회에서	기회/NNG+에서/JKB
슈팅을	슈팅/NNG+을/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다는	없/VA+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.254.7.6
한 위원은 “압박을 벗어날 수 있는 미드필더 자원을 확보하고 공수 전환 속도를 높여 빠른 역습을 하는 것이 필요하다”고 지적했다.

한	한/NNP
위원은	위원/NNG+은/JX
“압박을	“/SS+압박/NNG+을/JKO
벗어날	벗어나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
미드필더	미드필더/NNG
자원을	자원/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
공수	공수/NNG
전환	전환/NNG
속도를	속도/NNG+를/JKO
높여	높이/VV+어/EC
빠른	빠르/VA+ㄴ/ETM
역습을	역습/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.254.7.7
서울 선수들도 올 시즌 옥에 티로 남은 수원전 무승을 극복해야 한다는 것을 알고 있다.

서울	서울/NNP
선수들도	선수/NNG+들/XSN+도/JX
올	올/NNG
시즌	시즌/NNG
옥에	옥/NNG+에/JKB
티로	티/NNG+로/JKB
남은	남/VV+은/ETM
수원전	수원전/NNG
무승을	무/XPN+승/NNG+을/JKO
극복해야	극복/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.254.7.8
주장 하대성은 “수원을 한 번도 못 이긴 것이 너무 아쉽다.

주장	주장/NNG
하대성은	하대성/NNP+은/JX
“수원을	“/SS+수원/NNP+을/JKO
한	한/MMN
번도	번/NNB+도/JX
못	못/MAG
이긴	이기/VV+ㄴ/ETM
것이	것/NNB+이/JKS
너무	너무/MAG
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000033.254.7.9
다음 시즌에는 반드시 복수를 하겠다”고 의지를 불태웠다.

다음	다음/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
반드시	반드시/MAG
복수를	복수/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
의지를	의지/NNG+를/JKO
불태웠다.	불태우/VV+었/EP+다/EF+./SF


