# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.374
metadata : {}


# id : NWRW1800000044.374.1.1
문체부장관 후보 김종덕 교수 지명 자리 빈 지 16일만에…정치색 없는 ‘영상·디자인 전문가’

문체부장관	문체부/NNG+장관/NNG
활동도	활동/NNG+도/JX
활발한	활발하/VA+ㄴ/ETM
편이었지만,	편/NNB+이/VCP+었/EP+지만/EC+,/SP
박	박/NNP
대통령과	대통령/NNG+과/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
인연은	인연/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.374.9.2
학계나 업계에서도 특별한 이념적, 정치적 색깔을 드러내지 않았던 광고미디어 전문가라는 평가를 내놓고 있다.

학계나	학계/NNG+나/JC
업계에서도	업계/NNG+에서/JKB+도/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
이념적,	이념/NNG+적/XSN+,/SP
정치적	정치/NNG+적/XSN
색깔을	색깔/NNG+을/JKO
드러내지	드러내/VV+지/EC
않았던	않/VX+았/EP+던/ETM
광고미디어	광고/NNG+미디어/NNG
전문가라는	전문가/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.374.9.3
다만 학계에서는 영상, 디자인 전공 출신으로 첫 문체부 장관 후보자가 됐다는 점에 주목하고 있다.

다만	다만/MAG
학계에서는	학계/NNG+에서/JKB+는/JX
영상,	영상/NNG+,/SP
디자인	디자인/NNG
전공	전공/NNG
출신으로	출신/NNG+으로/JKB
첫	첫/MMN
문체부	문체부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
됐다는	되/VV+었/EP+다는/ETM
점에	점/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.374.9.4
문화계에선 박 대통령이 영상과 게임 등 콘텐츠산업 육성을 고려해 김 후보자를 지명했다는 분석이 나오지만, 한편에선 단순한 ‘산업’이 아닌 문화계 전반을 이끌어갈 비전이 있는지는 의문이라는 지적도 제기된다.

문화계에선	문화/NNG+계/XSN+에서/JKB+ㄴ/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
영상과	영상/NNG+과/JC
게임	게임/NNG
등	등/NNB
콘텐츠산업	콘텐츠/NNG+산업/NNG
육성을	육성/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
김	김/NNP
후보자를	후보자/NNG+를/JKO
지명했다는	지명/NNG+하/XSV+았/EP+다는/ETM
분석이	분석/NNG+이/JKS
나오지만,	나오/VV+지만/EC+,/SP
한편에선	한편/NNG+에서/JKB+ㄴ/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
‘산업’이	‘/SS+산업/NNG+’/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
문화계	문화/NNG+계/XSN
전반을	전반/NNG+을/JKO
이끌어갈	이끌/VV+어/EC+가/VX+ㄹ/ETM
비전이	비전/NNG+이/JKS
있는지는	있/VA+는지/EF+는/JX
의문이라는	의문/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.374.10.1
박 대통령은 4일 김 후보자에 대한 인사청문 요청안을 국회에 보낼 예정이다.

박	박/NNP
대통령은	대통령/NNG+은/JX
4일	4/SN+일/NNB
김	김/NNP
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인사청문	인사/NNG+청문/NNG
요청안을	요청안/NNG+을/JKO
국회에	국회/NNG+에/JKB
보낼	보내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.374.10.2
후보자 지명 후 인사청문 요청안이 국회에 제출되려면 4일 정도가 걸렀지만, 이번엔 박 대통령 휴가 기간 중 후보자를 미리 내정해 청문회 준비를 미리 했기 때문인 것으로 보인다.

후보자	후보자/NNG
지명	지명/NNG
후	후/NNG
인사청문	인사/NNG+청문/NNG
요청안이	요청안/NNG+이/JKS
국회에	국회/NNG+에/JKB
제출되려면	제출/NNG+되/XSV+려면/EC
4일	4/SN+일/NNB
정도가	정도/NNG+가/JKS
걸렀지만,	걸리/VV+었/EP+지만/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
박	박/NNP
대통령	대통령/NNG
휴가	휴가/NNG
기간	기간/NNG
중	중/NNB
후보자를	후보자/NNG+를/JKO
미리	미리/MAG
내정해	내정/NNG+하/XSV+아/EC
청문회	청문회/NNG
준비를	준비/NNG+를/JKO
했기	하/VV+았/EP+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.374.11.1
한편, 박 대통령은 이날 해양수산부 차관에 김영석(55) 청와대 해양수산비서관을 임명했다.

한편,	한편/MAG+,/SP
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
해양수산부	해양/NNG+수산부/NNG
차관에	차관/NNG+에/JKB
김영석(55)	김영석/NNP+(/SS+55/SN+)/SS
청와대	청와대/NNP
해양수산비서관을	해양/NNG+수산/NNG+비서관/NNG+을/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.374.11.2
충남 아산 출신인 김 차관은 천안고와 경북대 행정학과를 졸업하고, 해수부 해양정책국장과 부산지방해양항만청장 등 해양항만 분야 주요 보직을 두루 거쳤다.

충남	충남/NNP
아산	아산/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
김	김/NNP
차관은	차관/NNG+은/JX
천안고와	천안고/NNP+와/JC
경북대	경북대/NNP
행정학과를	행정학과/NNG+를/JKO
졸업하고,	졸업/NNG+하/XSV+고/EC+,/SP
해수부	해수부/NNG
해양정책국장과	해양/NNG+정책국장/NNG+과/JC
부산지방해양항만청장	부산지방해양항만청장/NNG
등	등/NNB
해양항만	해양/NNG+항만/NNG
분야	분야/NNG
주요	주요/NNG
보직을	보직/NNG+을/JKO
두루	두루/MAG
거쳤다.	거치/VV+었/EP+다/EF+./SF


