# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.222
metadata : {}


# id : NWRW1800000052.222.1.1
알바 ‘수습임금’ 10% 삭감 안 된다

알바	알바/NNG
만료로	만료/NNG+로/JKB
폐기됐다”며	폐기/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“20대	“/SS+20/SN+대/NNB
국회에서	국회/NNG+에서/JKB
조속히	조속히/MAG
논의해	논의/NNG+하/XSV+아/EC
처리되기를	처리/NNG+되/XSV+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.222.7.1
최저임금법 5조는 1년 이상 고용할 경우 수습기간 3개월간 최저임금의 10%를 깎을 수 있도록 돼 있다.

최저임금법	최저/NNG+임금법/NNG
5조는	5/SN+조/NNB+는/JX
1년	1/SN+년/NNB
이상	이상/NNG
고용할	고용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
수습기간	수습/NNG+기간/NNG
3개월간	3/SN+개월/NNB+간/XSN
최저임금의	최저/NNG+임금/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
깎을	깎/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.222.7.2
올해 최저임금은 시간당 6030원으로 이 규정을 적용하면 사업주는 시간당 5427원만 지급하면 된다는 뜻이다.

올해	올해/NNG
최저임금은	최저/NNG+임금/NNG+은/JX
시간당	시간/NNG+당/XSN
6030원으로	6030/SN+원/NNB+으로/JKB
이	이/MMD
규정을	규정/NNG+을/JKO
적용하면	적용/NNG+하/XSV+면/EC
사업주는	사업주/NNG+는/JX
5427원만	5427/SN+원/NNB+만/JX
지급하면	지급/NNG+하/XSV+면/EC
된다는	되/VV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.222.7.3
이번 개정안은 1년 이상 근로계약을 체결했더라도 패스트푸드 종업원, 주유원 같은 단순노무 노동자의 최저임금은 감액 대상에서 제외했다.

이번	이번/NNG
개정안은	개정안/NNG+은/JX
1년	1/SN+년/NNB
이상	이상/NNG
근로계약을	근로/NNG+계약/NNG+을/JKO
체결했더라도	체결/NNG+하/XSV+았/EP+더라도/EC
패스트푸드	패스트푸드/NNG
종업원,	종업원/NNG+,/SP
주유원	주유원/NNG
같은	같/VA+은/ETM
단순노무	단순/NNG+노무/NNG
노동자의	노동자/NNG+의/JKG
최저임금은	최저/NNG+임금/NNG+은/JX
감액	감액/NNG
대상에서	대상/NNG+에서/JKB
제외했다.	제외/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.222.7.4
이런 단순노무 업무는 청소년들이 많이 하는데, 사업주들이 청소년과 근로계약서를 작성할 때 일을 시작하는 날짜만 적고 계약기간 종료일은 공란으로 남겨두는 편법으로 ‘1년 이상 고용’ 조건을 충족한 뒤 수습임금 규정을 적용해 임금을 깎는다는 비판을 받아왔다.

이런	이런/MMD
단순노무	단순/NNG+노무/NNG
업무는	업무/NNG+는/JX
청소년들이	청소년/NNG+들/XSN+이/JKS
많이	많이/MAG
하는데,	하/VV+는데/EC+,/SP
사업주들이	사업주/NNG+들/XSN+이/JKS
청소년과	청소년/NNG+과/JKB
근로계약서를	근로/NNG+계약서/NNG+를/JKO
작성할	작성/NNG+하/XSV+ㄹ/ETM
때	때/NNG
일을	일/NNG+을/JKO
시작하는	시작/NNG+하/XSV+는/ETM
날짜만	날짜/NNG+만/JX
적고	적/VV+고/EC
계약기간	계약/NNG+기간/NNG
종료일은	종료일/NNG+은/JX
공란으로	공란/NNG+으로/JKB
남겨두는	남기/VV+어/EC+두/VX+는/ETM
편법으로	편법/NNG+으로/JKB
‘1년	‘/SS+1/SN+년/NNB
이상	이상/NNG
고용’	고용/NNG+’/SS
조건을	조건/NNG+을/JKO
충족한	충족/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수습임금	수습/NNG+임금/NNG
규정을	규정/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
임금을	임금/NNG+을/JKO
깎는다는	깎/VV+는다는/ETM
비판을	비판/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.222.8.1
최저임금법 위반 행위에 대한 처벌도 과태료를 도입해 실효성을 높이기로 했다.

최저임금법	최저/NNG+임금법/NNG
위반	위반/NNG
행위에	행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
처벌도	처벌/NNG+도/JX
과태료를	과태료/NNG+를/JKO
도입해	도입/NNG+하/XSV+아/EC
실효성을	실효/NNG+성/XSN+을/JKO
높이기로	높이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.222.8.2
현행법은 최저임금을 위반하면 3년 이하의 징역이나 2천만원 이하의 벌금에 처하도록 돼 있다.

현행법은	현행법/NNG+은/JX
최저임금을	최저/NNG+임금/NNG+을/JKO
위반하면	위반/NNG+하/XSV+면/EC
3년	3/SN+년/NNB
이하의	이하/NNG+의/JKG
징역이나	징역/NNG+이나/JC
2천만원	2/SN+천만/NR+원/NNB
벌금에	벌금/NNG+에/JKB
처하도록	처하/VV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.222.8.3
그러나 2013년 최저임금법 위반 건수는 6081건이었지만 형사처벌된 경우는 12건에 그쳤다.

그러나	그러나/MAJ
2013년	2013/SN+년/NNB
최저임금법	최저/NNG+임금법/NNG
위반	위반/NNG
건수는	건수/NNG+는/JX
6081건이었지만	6081/SN+건/NNB+이/VCP+었/EP+지만/EC
형사처벌된	형사/NNG+처벌/NNG+되/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
12건에	12/SN+건/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.222.8.4
개정안은 형사처벌 규정을 없애는 대신 최저임금을 위반한 사업주에게 고용부가 2천만원 이하의 과태료를 즉시 부과할 수 있도록 했다.

개정안은	개정안/NNG+은/JX
형사처벌	형사/NNG+처벌/NNG
규정을	규정/NNG+을/JKO
없애는	없애/VV+는/ETM
대신	대신/NNG
최저임금을	최저/NNG+임금/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
사업주에게	사업주/NNG+에게/JKB
고용부가	고용부/NNG+가/JKS
2천만원	2/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
과태료를	과태료/NNG+를/JKO
즉시	즉시/MAG
부과할	부과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


