# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.54
metadata : {}


# id : NWRW1800000030.54.1.1
[만물상] 이준 열사 기념관

[만물상]	[/SS+만물상/NNG+]/SS
현지에서 1972년부터 사업을 하던 교민 이기항·송창주씨 부부가 사재 20만달러를 들여 건물을 사들였다.

현지에서	현지/NNG+에서/JKB
1972년부터	1972/SN+년/NNB+부터/JX
사업을	사업/NNG+을/JKO
하던	하/VV+던/ETM
교민	교민/NNG
이기항·송창주씨	이기항/NNP+·/SP+송창주/NNP+씨/NNB
부부가	부부/NNG+가/JKS
사재	사재/NNG
20만달러를	20/SN+만/NR+달러/NNB+를/JKO
들여	들이/VV+어/EC
건물을	건물/NNG+을/JKO
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.4.3
이씨 부부는 "헤이그시청에 한국 역사 유적지로 보존해야 한다는 청원서를 내고 직접 구입했다"고 했다.

이씨	이/NNP+씨/NNB
부부는	부부/NNG+는/JX
"헤이그시청에	"/SS+헤이그시청/NNP+에/JKB
한국	한국/NNP
역사	역사/NNG
유적지로	유적지/NNG+로/JKB
보존해야	보존/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
청원서를	청원서/NNG+를/JKO
내고	내/VV+고/EC
직접	직접/MAG
구입했다"고	구입/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.54.4.4
1995년 전경련이 낸 4억원을 보태 개보수를 거친 뒤 이준 열사 기념관이 문을 열었다.

1995년	1995/SN+년/NNB
전경련이	전경련/NNP+이/JKS
낸	내/VV+ㄴ/ETM
4억원을	4/SN+억/NR+원/NNB+을/JKO
보태	보태/VV+어/EC
개보수를	개보수/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
이준	이준/NNP
열사	열사/NNG
기념관이	기념관/NNG+이/JKS
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.5.1
▶이씨 부부는 네덜란드·일본·러시아 문서보관소를 뒤져 수집한 관련 자료를 기념관에 모았다.

▶이씨	▶/SW+이/NNP+씨/NNB
부부는	부부/NNG+는/JX
네덜란드·일본·러시아	네덜란드/NNP+·/SP+일본/NNP+·/SP+러시아/NNP
문서보관소를	문서/NNG+보관소/NNG+를/JKO
뒤져	뒤지/VV+어/EC
수집한	수집/NNG+하/XSV+ㄴ/ETM
관련	관련/NNG
자료를	자료/NNG+를/JKO
기념관에	기념관/NNG+에/JKB
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.54.5.2
이준 열사가 묵었던 방을 보존하고, 특사들의 유품과 사진, 고종의 신임장, 을사늑약을 비판한 외국 신문을 전시해 왔다.

이준	이준/NNP
열사가	열사/NNG+가/JKS
묵었던	묵/VV+었/EP+던/ETM
방을	방/NNG+을/JKO
보존하고,	보존/NNG+하/XSV+고/EC+,/SP
특사들의	특사/NNG+들/XSN+의/JKG
유품과	유품/NNG+과/JC
사진,	사진/NNG+,/SP
고종의	고종/NNP+의/JKG
신임장,	신임장/NNG+,/SP
을사늑약을	을사늑약/NNG+을/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
외국	외국/NNG
신문을	신문/NNG+을/JKO
전시해	전시/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.54.5.3
어느 일본인 관람객이 평화 메시지와 함께 기증한 1000마리 종이학도 있다.

어느	어느/MMD
일본인	일본인/NNG
관람객이	관람객/NNG+이/JKS
평화	평화/NNG
메시지와	메시지/NNG+와/JKB
함께	함께/MAG
기증한	기증/NNG+하/XSV+ㄴ/ETM
1000마리	1000/SN+마리/NNB
종이학도	종이학/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.54.5.4
기념관엔 해마다 2000여명이 찾아온다.

기념관엔	기념관/NNG+에/JKB+ㄴ/JX
해마다	해마다/MAG
2000여명이	2000/SN+여/XSN+명/NNB+이/JKS
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.54.6.1
▶이씨 부부는 2006년부터 정부로부터 지원금을 받기 전까지 입장료 수입으로만 버텼다.

▶이씨	▶/SW+이/NNP+씨/NNB
부부는	부부/NNG+는/JX
2006년부터	2006/SN+년/NNB+부터/JX
정부로부터	정부/NNG+로부터/JKB
지원금을	지원금/NNG+을/JKO
받기	받/VV+기/ETN
전까지	전/NNG+까지/JX
입장료	입장료/NNG
수입으로만	수입/NNG+으로/JKB+만/JX
버텼다.	버티/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.6.2
300년 된 건물이라 곳곳에 물이 새서 유지비가 많이 든다.

300년	300/SN+년/NNB
된	되/VV+ㄴ/ETM
건물이라	건물/NNG+이/VCP+라/EC
곳곳에	곳곳/NNG+에/JKB
물이	물/NNG+이/JKS
새서	새/VV+어서/EC
유지비가	유지비/NNG+가/JKS
많이	많이/MAG
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.54.6.3
이씨 부부가 모자라는 운영비를 계속 대왔지만 이제 일흔다섯, 일흔두 살에 접어든 노부부가 더 관리할 여력이 없다고 한다.

이씨	이/NNP+씨/NNB
부부가	부부/NNG+가/JKS
모자라는	모자라/VV+는/ETM
운영비를	운영비/NNG+를/JKO
계속	계속/MAG
대왔지만	대/VV+어/EC+오/VX+았/EP+지만/EC
이제	이제/MAG
일흔다섯,	일흔다섯/NR+,/SP
일흔두	일흔두/MMN
살에	살/NNB+에/JKB
접어든	접어들/VV+ㄴ/ETM
노부부가	노/XPN+부부/NNG+가/JKS
더	더/MAG
관리할	관리/NNG+하/XSV+ㄹ/ETM
여력이	여력/NNG+이/JKS
없다고	없/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.54.6.4
부부는 "1층을 폐허처럼 방치해 이곳 사람들 보기에 부끄럽다. 정부나 대기업이 매입하면 여든 살까지라도 이곳 구석에서 일하고 싶다"고 호소했다.

부부는	부부/NNG+는/JX
"1층을	"/SS+1/SN+층/NNG+을/JKO
폐허처럼	폐허/NNG+처럼/JKB
방치해	방치/NNG+하/XSV+아/EC
이곳	이곳/NP
사람들	사람/NNG+들/XSN
보기에	보/VV+기에/EC
부끄럽다.	부끄럽/VA+다/EF+./SF
정부나	정부/NNG+나/JC
대기업이	대/XPN+기업/NNG+이/JKS
매입하면	매입/NNG+하/XSV+면/EC
여든	여든/NR
살까지라도	살/NNB+까지/JX+이/VCP+라도/EC
구석에서	구석/NNG+에서/JKB
일하고	일/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.54.6.5
나라가 할 일을 16년 동안 대신한 노부부가 허리를 펴고 살도록 우리 사회가 나설 때다.

나라가	나라/NNG+가/JKS
할	하/VV+ㄹ/ETM
일을	일/NNG+을/JKO
16년	16/SN+년/NNB
동안	동안/NNG
대신한	대신/NNG+하/XSV+ㄴ/ETM
노부부가	노/XPN+부부/NNG+가/JKS
허리를	허리/NNG+를/JKO
펴고	펴/VV+고/EC
살도록	살/VV+도록/EC
우리	우리/NP
사회가	사회/NNG+가/JKS
나설	나서/VV+ㄹ/ETM
때다.	때/NNG+이/VCP+다/EF+./SF


