# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.27
metadata : {}


# id : NWRW1800000041.27.1.1
‘3가지 근육’으로 힘찬 기지개

‘3가지	‘/SS+3/SN+가지/NNB
체계를	체계/NNG+를/JKO
구축해	구축/NNG+하/XSV+아/EC
앞으로	앞/NNG+으로/JKB
중소기업	중소기업/NNG
대출을	대출/NNG+을/JKO
기존의	기존/NNG+의/JKG
담보	담보/NNG
중심에서	중심/NNG+에서/JKB
중심의	중심/NNG+의/JKG
투·융자로	투·융자/NNG+로/JKB
전환한다는	전환/NNG+하/XSV+ㄴ다는/ETM
목표를	목표/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.7.1
부품·소재산업, 중소벤처기업, 연구개발(R&D)기업 등 신산업 분야의 기술력 보유 기업에 총 16조4000억 원을 공급하는 등 창의적인 중소기업이 성장·발전할 수 있는 생태계 조성에 집중할 계획이다.

부품·소재산업,	부품/NNG+·/SP+소재/NNG+산업/NNG+,/SP
중소벤처기업,	중소/NNG+벤처/NNG+기업/NNG+,/SP
연구개발(R&D)기업	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+기업/NNG
등	등/NNB
신산업	신/XPN+산업/NNG
분야의	분야/NNG+의/JKG
기술력	기술력/NNG
보유	보유/NNG
기업에	기업/NNG+에/JKB
총	총/MMA
16조4000억	16/SN+조/NR+4000/SN+억/NR
원을	원/NNB+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
중소기업이	중소기업/NNG+이/JKS
성장·발전할	성장/NNG+·/SP+발전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
생태계	생태/NNG+계/XSN
조성에	조성/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.27.8.1
신상품인 지식재산권 담보대출 규모도 빠르게 불어나고 있다.

신상품인	신/XPN+상품/NNG+이/VCP+ㄴ/ETM
지식재산권	지식/NNG+재산/NNG+권/XSN
담보대출	담보/NNG+대출/NNG
규모도	규모/NNG+도/JX
빠르게	빠르/VA+게/EC
불어나고	불어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.8.2
지난달 말 기준으로 ‘IP사업화자금대출’을 통해 34개 기업에 모두 213억 원을 지원했다.

지난달	지난달/NNG
말	말/NNB
기준으로	기준/NNG+으로/JKB
‘IP사업화자금대출’을	‘/SS+IP/SL+사업/NNG+화/XSN+자금/NNG+대출/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
34개	34/SN+개/NNB
기업에	기업/NNG+에/JKB
모두	모두/MAG
213억	213/SN+억/NR
원을	원/NNB+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.27.8.3
초기 창업기업 등 기술력은 우수하나 상대적으로 신용등급이 낮아 기술 사업화에 어려움을 겪고 있는 업체에 대한 금융지원을 강화하기 위해 서울대 기술지주회사, 경기·광주·부산·포항 테크노파크 등과 잇따라 업무협약을 체결했다.

초기	초기/NNG
창업기업	창업/NNG+기업/NNG
등	등/NNB
기술력은	기술력/NNG+은/JX
우수하나	우수/NNG+하/XSV+나/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
신용등급이	신용/NNG+등급/NNG+이/JKS
낮아	낮/VA+아/EC
기술	기술/NNG
사업화에	사업/NNG+화/XSN+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
업체에	업체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융지원을	금융/NNG+지원/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
서울대	서울대/NNP
기술지주회사,	기술/NNG+지주/NNG+회사/NNG+,/SP
경기·광주·부산·포항	경기/NNP+·/SP+광주/NNP+·/SP+부산/NNP+·/SP+포항/NNP
테크노파크	테크노파크/NNP
등과	등/NNB+과/JKB
잇따라	잇따르/VV+아/EC
업무협약을	업무/NNG+협약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.27.8.4
향후 특허청, IBK캐피탈과 공동으로 300억 원 규모의 IP 전문 펀드를 조성해 우수 기업에 대한 투자를 병행할 계획이다.

향후	향후/NNG
특허청,	특허청/NNG+,/SP
IBK캐피탈과	IBK캐피탈/NNP+과/JKB
공동으로	공동/NNG+으로/JKB
300억	300/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
IP	IP/SL
전문	전문/NNG
펀드를	펀드/NNG+를/JKO
조성해	조성/NNG+하/XSV+아/EC
우수	우수/NNG
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자를	투자/NNG+를/JKO
병행할	병행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.27.9.1
문화콘텐츠산업 지원에도 공을 들이고 있다.

문화콘텐츠산업	문화/NNG+콘텐츠/NNG+산업/NNG
지원에도	지원/NNG+에/JKB+도/JX
공을	공/NNG+을/JKO
들이고	들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.9.2
문화 융성 및 창조경제 실현을 위해 부가가치가 높고 고용창출 효과가 큰 문화콘텐츠산업에 대한 금융 지원을 강화하고 있는 것.

문화	문화/NNG
융성	융성/NNG
및	및/MAG
창조경제	창조/NNG+경제/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+아/EC
부가가치가	부가/NNG+가치/NNG+가/JKS
높고	높/VA+고/EC
고용창출	고용/NNG+창출/NNG
효과가	효과/NNG+가/JKS
큰	크/VA+ㄴ/ETM
문화콘텐츠산업에	문화/NNG+콘텐츠/NNG+산업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융	금융/NNG
지원을	지원/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.27.9.3
기업은행 관계자는 “올해부터 3년 동안 7500억 원을 문화콘텐츠산업에 공급할 계획”이라며 “단기 수익보다는 장기적인 비전을 갖고 우수 문화콘텐츠 중소기업을 발굴해 육성할 것”이라고 말했다.

기업은행	기업은행/NNP
관계자는	관계자/NNG+는/JX
“올해부터	“/SS+올해/NNG+부터/JX
3년	3/SN+년/NNB
동안	동안/NNG
7500억	7500/SN+억/NR
원을	원/NNB+을/JKO
문화콘텐츠산업에	문화/NNG+콘텐츠/NNG+산업/NNG+에/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“단기	“/SS+단기/NNG
수익보다는	수익/NNG+보다/JKB+는/JX
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
비전을	비전/NNG+을/JKO
갖고	갖/VV+고/EC
우수	우수/NNG
문화콘텐츠	문화/NNG+콘텐츠/NNG
중소기업을	중소기업/NNG+을/JKO
발굴해	발굴/NNG+하/XSV+아/EC
육성할	육성/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.27.10.1
○ 2분기 영업익 1년새 45% 급증

○	○/SW
2분기	2/SN+분기/NNG
영업익	영업익/NNG
1년새	1/SN+년/NNB+새/NNG
45%	45/SN+%/SW
급증	급증/NNG


# id : NWRW1800000041.27.11.1
핵심 사업에서 성과가 나타나면서 실적에서도 어닝서프라이즈를 이어가고 있다.

핵심	핵심/NNG
사업에서	사업/NNG+에서/JKB
성과가	성과/NNG+가/JKS
나타나면서	나타나/VV+면서/EC
실적에서도	실적/NNG+에서/JKB+도/JX
어닝서프라이즈를	어닝서프라이즈/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.11.2
기업은행은 연결기준 2분기(4∼6월) 영업이익이 3790억 원으로 전년 대비 45% 증가했다.

기업은행은	기업은행/NNP+은/JX
연결기준	연결/NNG+기준/NNG
2분기(4∼6월)	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS
영업이익이	영업/NNG+이익/NNG+이/JKS
3790억	3790/SN+억/NR
원으로	원/NNB+으로/JKB
전년	전년/NNG
대비	대비/NNG
45%	45/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.27.11.3
상반기 순이익도 6195억 원으로 작년 상반기(1∼6월·4680억 원)보다 32.4% 늘었다.

상반기	상반기/NNG
순이익도	순이익/NNG+도/JX
6195억	6195/SN+억/NR
원으로	원/NNB+으로/JKB
작년	작년/NNG
상반기(1∼6월·4680억	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+·/SP+4680/SN+억/NR
원)보다	원/NNB+)/SS+보다/JKB
32.4%	32/SN+./SP+4/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.27.11.4
올해 말에는 연간 순이익이 1조 원을 회복할 것으로 예상된다.

올해	올해/NNG
말에는	말/NNB+에/JKB+는/JX
연간	연간/NNG
순이익이	순이익/NNG+이/JKS
1조	1/SN+조/NR
원을	원/NNB+을/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.27.12.1
이철호 한국투자증권 연구원은 “순이자마진(NIM)이 전 분기보다 상승하고 대손비용, 판관비도 안정됐다”며 “중소기업 중심의 대출 수요가 견고하게 살아나는 데다 새 행장의 효율 중심 경영방침으로 올해 다시 순이익 1조 원 클럽에 재가입할 것”이라고 말했다.

이철호	이철호/NNP
한국투자증권	한국투자증권/NNP
연구원은	연구원/NNG+은/JX
“순이자마진(NIM)이	“/SS+순이자/NNG+마진/NNG+(/SS+NIM/SL+)/SS+이/JKS
전	전/MMD
분기보다	분기/NNG+보다/JKB
상승하고	상승/NNG+하/XSV+고/EC
대손비용,	대손/NNG+비용/NNG+,/SP
판관비도	판관비/NNG+도/JX
안정됐다”며	안정/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“중소기업	“/SS+중소기업/NNG
중심의	중심/NNG+의/JKG
대출	대출/NNG
수요가	수요/NNG+가/JKS
견고하게	견고하/VA+게/EC
살아나는	살아나/VV+는/ETM
데다	데/NNB+다/JX
새	새/MMA
행장의	행장/NNG+의/JKG
효율	효율/NNG
중심	중심/NNG
경영방침으로	경영/NNG+방침/NNG+으로/JKB
올해	올해/NNG
다시	다시/MAG
순이익	순이익/NNG
1조	1/SN+조/NR
원	원/NNB
클럽에	클럽/NNG+에/JKB
재가입할	재/XPN+가입/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.27.13.1
정부의 세법개정안에 따라 주식 배당소득의 원천 징수율이 14%에서 9%로 인하됨에 따라 배당주로서의 매력도 높아졌다.

정부의	정부/NNG+의/JKG
세법개정안에	세법/NNG+개정안/NNG+에/JKB
따라	따르/VV+아/EC
주식	주식/NNG
배당소득의	배당/NNG+소득/NNG+의/JKG
원천	원천/NNG
징수율이	징수/NNG+율/XSN+이/JKS
14%에서	14/SN+%/SW+에서/JKB
9%로	9/SN+%/SW+로/JKB
인하됨에	인하/NNG+되/XSV+ㅁ/ETN+에/JKB
배당주로서의	배당주/NNG+로서/JKB+의/JKG
매력도	매력/NNG+도/JX
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.27.13.2
한국투자증권에 따르면 배당 성향은 전년과 같은 연결기준 29%로 다른 은행의 2배 수준이다.

한국투자증권에	한국투자증권/NNP+에/JKB
따르면	따르/VV+면/EC
배당	배당/NNG
성향은	성향/NNG+은/JX
전년과	전년/NNG+과/JKB
같은	같/VA+은/ETM
연결기준	연결/NNG+기준/NNG
29%로	29/SN+%/SW+로/JKB
다른	다른/MMD
은행의	은행/NNG+의/JKG
2배	2/SN+배/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.27.13.3
주가 상승과 함께 안정적인 배당수익도 함께 노려볼 수 있다.

주가	주가/NNG
상승과	상승/NNG+과/JKB
함께	함께/MAG
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
배당수익도	배당/NNG+수익/NNG+도/JX
노려볼	노려보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.27.14.1
김수현 신한금융투자 연구원은 “정부의 배당 요구가 강한 데다, 대주주가 기획재정부여서 기업은행의 배당 확대는 세수로 이어질 수 있다”면서 “그런 점에서 배당이 늘어날 가능성이 높다”고 전망했다.

김수현	김수현/NNP
신한금융투자	신한금융투자/NNP
연구원은	연구원/NNG+은/JX
“정부의	“/SS+정부/NNG+의/JKG
배당	배당/NNG
요구가	요구/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
대주주가	대/XPN+주주/NNG+가/JKS
기획재정부여서	기획/NNG+재정부/NNG+이/VCP+어서/EC
기업은행의	기업은행/NNP+의/JKG
확대는	확대/NNG+는/JX
세수로	세수/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다/EF+”/SS+면서/EC
“그런	“/SS+그런/MMD
점에서	점/NNG+에서/JKB
배당이	배당/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


