# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.398
metadata : {}


# id : NWRW1800000022.398.1.1
[세종시 논란 가열] 親朴 "칼 맞으면서 정권 만들어 놨더니…" 親李 "표 때문이었다고, 차라리 솔직해져라";與 세종시 內戰 親朴, 마치 야당처럼 정운찬 총리 벌떼공격

[세종시	[/SS+세종시/NNP
'여론수렴	'/SS+여론/NNG+수렴/NNG
특위'에	특위/NNG+'/SS+에/JKB
불참하겠다는	불참/NNG+하/XSV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
공식화했다.	공식/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.2.3
또 국회 대정부질문에서는 야당(野黨) 이상으로 정운찬 국무총리를 공격했다.

또	또/MAG
국회	국회/NNG
대정부질문에서는	대정부/NNG+질문/NNG+에서/JKB+는/JX
야당(野黨)	야당/NNG+(/SS+野黨/SH+)/SS
이상으로	이상/NNG+으로/JKB
정운찬	정운찬/NNP
국무총리를	국무총리/NNG+를/JKO
공격했다.	공격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.2.4
주류측 역시 가능하면 싸움을 피해보자는 그동안의 입장이 바뀐 듯 이날부터는 적극 공세로 전환했다.

주류측	주류/NNG+측/NNB
역시	역시/MAG
가능하면	가능/NNG+하/XSA+면/EC
싸움을	싸움/NNG+을/JKO
피해보자는	피하/VV+아/EC+보/VX+자는/ETM
그동안의	그동안/NNG+의/JKG
입장이	입장/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
듯	듯/NNB
이날부터는	이날/NNG+부터/JX+는/JX
적극	적극/NNG
공세로	공세/NNG+로/JKB
전환했다.	전환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.3.1
한나라당은 세종시 문제를 당 차원에서 논의하기 위해 정몽준 대표 직속으로 '세종시 여론수렴 특위'를 구성한다고 발표했다.

한나라당은	한나라당/NNP+은/JX
세종시	세종시/NNP
문제를	문제/NNG+를/JKO
당	당/NNG
차원에서	차원/NNG+에서/JKB
논의하기	논의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
정몽준	정몽준/NNP
대표	대표/NNG
직속으로	직속/NNG+으로/JKB
'세종시	'/SS+세종시/NNP
여론수렴	여론/NNG+수렴/NNG
특위'를	특위/NNG+'/SS+를/JKO
구성한다고	구성/NNG+하/XSV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.3.2
하지만 박 전 대표는 9일 국회 본회의에 참석하기에 앞서 "친박계도 특위에 참여하는가"라는 기자들 질문에 "제가 얘기할 사항이 아니고 당에서 알아서 할 일"이라고 말했다.

하지만	하지만/MAJ
박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
9일	9/SN+일/NNB
국회	국회/NNG
본회의에	본회의/NNG+에/JKB
참석하기에	참석/NNG+하/XSV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
"친박계도	"/SS+친/XPN+박/NNP+계/XSN+도/JX
특위에	특위/NNG+에/JKB
참여하는가"라는	참여/NNG+하/XSV+는가/EF+"/SS+이/VCP+라는/ETM
기자들	기자/NNG+들/XSN
질문에	질문/NNG+에/JKB
"제가	"/SS+제/NP+가/JKS
얘기할	얘기/NNG+하/XSV+ㄹ/ETM
사항이	사항/NNG+이/JKC
아니고	아니/VCN+고/EC
당에서	당/NNG+에서/JKB
알아서	알/VV+아서/EC
할	하/VV+ㄹ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.3.3
박 전 대표는 전날 정몽준 대표와의 전화통화에서도 "나와 의논할 사안이 아니다"라고 밝힌 바 있다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
전날	전날/NNG
정몽준	정몽준/NNP
대표와의	대표/NNG+와/JKB+의/JKG
전화통화에서도	전화/NNG+통화/NNG+에서/JKB+도/JX
"나와	"/SS+나/NP+와/JKB
의논할	의논/NNG+하/XSV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.398.4.1
박 전 대표의 대변인 격인 이정현 의원은 이날 친박 진영의 입장에 대해 "국민과의 약속은 지켜야 한다는 것이 명확한 우리 입장"이라며 "특위에 참여할 생각이 없다는 것이 대다수 의원들의 의견"이라고 말했다.

박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
대변인	대변인/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
이정현	이정현/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
친박	친/XPN+박/NNP
진영의	진영/NNG+의/JKG
입장에	입장/NNG+에/JKB
대해	대하/VV+아/EC
"국민과의	"/SS+국민/NNG+과/JKB+의/JKG
약속은	약속/NNG+은/JX
지켜야	지키/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이	것/NNB+이/JKS
명확한	명확하/VA+ㄴ/ETM
우리	우리/NP
입장"이라며	입장/NNG+"/SS+이/VCP+라며/EC
"특위에	"/SS+특위/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
생각이	생각/NNG+이/JKS
없다는	없/VA+다는/ETM
대다수	대/XPN+다수/NNG
의원들의	의원/NNG+들/XSN+의/JKG
의견"이라고	의견/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.4.2
친박 진영이 세종시 계획 수정 논의에 대해 사실상 거부 의사를 공식화한 것이다.

친박	친/XPN+박/NNP
진영이	진영/NNG+이/JKS
세종시	세종시/NNP
계획	계획/NNG
수정	수정/NNG
논의에	논의/NNG+에/JKB
대해	대하/VV+아/EC
사실상	사실/NNG+상/XSN
거부	거부/NNG
의사를	의사/NNG+를/JKO
공식화한	공식/NNG+화/XSN+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.398.5.1
친이(親李) 주류 진영도 이날부터 공격에 나섰다.

친이(親李)	친/XPN+이/NNP+(/SS+親李/SH+)/SS
주류	주류/NNG
진영도	진영/NNG+도/JX
이날부터	이날/NNG+부터/JX
공격에	공격/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.398.5.2
친이계의 핵심인 정두언 의원은 대정부 질문에서 "과거 일들은 솔직히 모두 표 때문이었다"며 "올바른 국가 지도자라면 표 때문에 벌어진 잘못을 시인하고, 유권자가 아니라 역사 앞에서 국민과 나라의 장래를 생각해야 한다"고 말했다.

친이계의	친/XPN+이/NNP+계/XSN+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
정두언	정두언/NNP
의원은	의원/NNG+은/JX
대정부	대정부/NNG
질문에서	질문/NNG+에서/JKB
"과거	"/SS+과거/NNG
일들은	일/NNG+들/XSN+은/JX
솔직히	솔직히/MAG
모두	모두/MAG
표	표/NNG
때문이었다"며	때문/NNB+이/VCP+었/EP+다/EF+"/SS+며/EC
"올바른	"/SS+올바르/VA+ㄴ/ETM
국가	국가/NNG
지도자라면	지도자/NNG+이/VCP+라면/EC
때문에	때문/NNB+에/JKB
벌어진	벌어지/VV+ㄴ/ETM
잘못을	잘못/NNG+을/JKO
시인하고,	시인/NNG+하/XSV+고/EC+,/SP
유권자가	유권자/NNG+가/JKC
아니라	아니/VCN+라/EC
역사	역사/NNG
앞에서	앞/NNG+에서/JKB
국민과	국민/NNG+과/JC
나라의	나라/NNG+의/JKG
장래를	장래/NNG+를/JKO
생각해야	생각/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.5.3
박 전 대표를 직접 거명하지는 않았지만 2005년 박근혜 대표 당시 세종시법을 통과시킨 일을 겨냥한 것이었다.

박	박/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
직접	직접/MAG
거명하지는	거명/NNG+하/XSV+지/EC+는/JX
않았지만	않/VX+았/EP+지만/EC
2005년	2005/SN+년/NNB
박근혜	박근혜/NNP
대표	대표/NNG
당시	당시/NNG
세종시법을	세종시/NNP+법/NNG+을/JKO
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
일을	일/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.398.5.4
세종시법 통과 당시 박 전 대표 지도부에서 대변인을 했던 전여옥 당 전략기획위원장도 "2005년 당시 (충청표가 떨어질 것이라는) 위기의식 때문에 '세종시에 일단 합의하고 정권을 잡으면 되돌리자'는 선택을 했었다"며 "나라를 위해 어떻게 하는 게 좋은지는 상식선에서 생각하면 답이 분명하다"고 가세했다.

세종시법	세종시/NNP+법/NNG
통과	통과/NNG
당시	당시/NNG
박	박/NNP
전	전/MMD
대표	대표/NNG
지도부에서	지도부/NNG+에서/JKB
대변인을	대변인/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
전여옥	전여옥/NNP
당	당/NNG
전략기획위원장도	전략/NNG+기획/NNG+위원장/NNG+도/JX
"2005년	"/SS+2005/SN+년/NNB
(충청표가	(/SS+충청/NNP+표/NNG+가/JKS
떨어질	떨어지/VV+ㄹ/ETM
것이라는)	것/NNB+이/VCP+라는/ETM+)/SS
위기의식	위기의식/NNG
때문에	때문/NNB+에/JKB
'세종시에	'/SS+세종시/NNP+에/JKB
일단	일단/MAG
합의하고	합의/NNG+하/XSV+고/EC
정권을	정권/NNG+을/JKO
잡으면	잡/VV+으면/EC
되돌리자'는	되돌리/VV+자/EF+'/SS+는/ETM
선택을	선택/NNG+을/JKO
했었다"며	하/VV+았었/EP+다/EF+"/SS+며/EC
"나라를	"/SS+나라/NNG+를/JKO
위해	위하/VV+아/EC
어떻게	어떻/VA+게/EC
하는	하/VV+는/ETM
게	거/NNB+이/JKS
좋은지는	좋/VA+은지/EC+는/JX
상식선에서	상식선/NNG+에서/JKB
생각하면	생각/NNG+하/XSV+면/EC
답이	답/NNG+이/JKS
분명하다"고	분명/MAG+하/XSA+다/EF+"/SS+고/JKQ
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.6.1
한나라당 내 주류 진영이나 비주류 진영 모두 지난주까지는 "당내 분란으로 비치는 상황은 어떻게든 피해보자"는 의원들이 다수였다.

한나라당	한나라당/NNP
내	내/NNB
주류	주류/NNG
진영이나	진영/NNG+이나/JC
비주류	비/XPN+주류/NNG
진영	진영/NNG
모두	모두/MAG
지난주까지는	지난주/NNG+까지/JX+는/JX
"당내	"/SS+당내/NNG
분란으로	분란/NNG+으로/JKB
비치는	비치/VV+는/ETM
상황은	상황/NNG+은/JX
어떻게든	어떻/VA+게/EC+든/JX
피해보자"는	피하/VV+아/EC+보/VX+자/EF+"/SS+는/ETM
의원들이	의원/NNG+들/XSN+이/JKS
다수였다.	다수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.398.6.2
하지만 여론수렴특위 구성이 눈앞에 닥치자 더 이상 피해갈 방법이 없어지면서 충돌 양상을 보이게 됐다.

하지만	하지만/MAJ
여론수렴특위	여론/NNG+수렴/NNG+특위/NNG
구성이	구성/NNG+이/JKS
눈앞에	눈앞/NNG+에/JKB
닥치자	닥치/VV+자/EC
더	더/MAG
이상	이상/NNG
피해갈	피하/VV+아/EC+가/VV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없어지면서	없어지/VV+면서/EC
충돌	충돌/NNG
양상을	양상/NNG+을/JKO
보이게	보이/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.398.7.1
우선 친박 진영으로서는 이 기구에 참여하는 자체가 곤혹스럽다는 것이다.

우선	우선/MAG
친박	친/XPN+박/NNP
진영으로서는	진영/NNG+으로서/JKB+는/JX
이	이/MMD
기구에	기구/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
자체가	자체/NNG+가/JKS
곤혹스럽다는	곤혹/NNG+스럽/XSA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.398.7.2
한 친박계 의원은 박 전 대표가 당내 논의 참여에도 소극적인 이유에 대해 "박 전 대표가 최근 몇몇 의원과 함께 식사를 하는 자리에서 '수정에 반대해 놓고 수정안을 만드는 기구에 참여하는 것은 자기모순'이라고 말하더라"고 전했다.

한	한/MMN
친박계	친/XPN+박/NNP+계/XSN
의원은	의원/NNG+은/JX
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
당내	당내/NNG
논의	논의/NNG
참여에도	참여/NNG+에/JKB+도/JX
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
"박	"/SS+박/NNP
최근	최근/NNG
몇몇	몇몇/NR
의원과	의원/NNG+과/JKB
함께	함께/MAG
식사를	식사/NNG+를/JKO
하는	하/VV+는/ETM
자리에서	자리/NNG+에서/JKB
'수정에	'/SS+수정/NNG+에/JKB
반대해	반대/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
수정안을	수정안/NNG+을/JKO
만드는	만들/VV+는/ETM
기구에	기구/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
자기모순'이라고	자기모순/NNG+'/SS+이라고/JKQ
말하더라"고	말/NNG+하/XSV+더라/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.7.3
이미 '원안 고수' 입장을 밝힌 박 전 대표로서는 '원안 수정'을 전제로 만들어진 논의기구에 참여하는 자체만으로도 원칙이 깨진다고 생각한다는 것이다.

이미	이미/MAG
'원안	'/SS+원안/NNG
고수'	고수/NNG+'/SS
입장을	입장/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
박	박/NNP
전	전/MMD
대표로서는	대표/NNG+로서/JKB+는/JX
수정'을	수정/NNG+'/SS+을/JKO
전제로	전제/NNG+로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
논의기구에	논의/NNG+기구/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
자체만으로도	자체/NNG+만/JX+으로/JKB+도/JX
원칙이	원칙/NNG+이/JKS
깨진다고	깨지/VV+ㄴ다고/EC
생각한다는	생각/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.398.8.1
친박 의원들은 이런 입장 정리 때문인지 세종시 수정을 주도하고 있는 정운찬 총리에 대해 이날 국회 대정부질문에서 마치 야당 의원들 같은 모습을 보였다.

친박	친/XPN+박/NNP
의원들은	의원/NNG+들/XSN+은/JX
이런	이런/MMD
입장	입장/NNG
정리	정리/NNG
때문인지	때문/NNB+이/VCP+ㄴ지/EC
세종시	세종시/NNP
수정을	수정/NNG+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
정운찬	정운찬/NNP
총리에	총리/NNG+에/JKB
대해	대하/VV+아/EC
이날	이날/NNG
국회	국회/NNG
대정부질문에서	대정부/NNG+질문/NNG+에서/JKB
마치	마치/MAG
야당	야당/NNG
의원들	의원/NNG+들/XSN
같은	같/VA+은/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.398.8.2
한선교 의원은 "세종시 문제를 제기한 것이 박 전 대표의 이미지를 '무조건적 반대론자'나 '표만 생각하는 정치인'으로 만들려는 의도가 아니냐"고 했다.

한선교	한선교/NNP
의원은	의원/NNG+은/JX
"세종시	"/SS+세종시/NNP
문제를	문제/NNG+를/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
'무조건적	'/SS+무/XPN+조건/NNG+적/XSN
반대론자'나	반대론자/NNG+'/SS+나/JC
'표만	'/SS+표/NNG+만/JX
생각하는	생각/NNG+하/XSV+는/ETM
정치인'으로	정치인/NNG+'/SS+으로/JKB
만들려는	만들/VV+려는/ETM
의도가	의도/NNG+가/JKC
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.8.3
이정현 의원은 정 총리에게 "이 정권을 만들기 위해서 얼굴에 칼 맞고 희생한 사람이 누구인데, 누가 어디서 잘 먹고 잘살고 편하게 지내다가 정권 만들어놓으니까 나와서 이러느냐"고 말했다.

이정현	이정현/NNP
의원은	의원/NNG+은/JX
정	정/NNP
총리에게	총리/NNG+에게/JKB
"이	"/SS+이/MMD
정권을	정권/NNG+을/JKO
만들기	만들/VV+기/ETN
위해서	위하/VV+아서/EC
얼굴에	얼굴/NNG+에/JKB
칼	칼/NNG
맞고	맞/VV+고/EC
희생한	희생/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
누구인데,	누구/NP+이/VCP+ㄴ데/EC+,/SP
누가	누구/NP+가/JKS
어디서	어디/NP+서/JKB
잘	잘/MAG
먹고	먹/VV+고/EC
잘살고	잘살/VV+고/EC
편하게	편하/VA+게/EC
지내다가	지내/VV+다가/EC
정권	정권/NNG
만들어놓으니까	만들/VV+어/EC+놓/VX+으니까/EC
나와서	나오/VV+아서/EC
이러느냐"고	이러/VV+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.9.1
주류측 의원들도 이날 "논의기구에 참여하지도 못하겠다는 태도는 너무한 것 아니냐"며 불쾌한 모습을 드러냈다.

주류측	주류/NNG+측/NNB
의원들도	의원/NNG+들/XSN+도/JX
이날	이날/NNG
"논의기구에	"/SS+논의/NNG+기구/NNG+에/JKB
참여하지도	참여/NNG+하/XSV+지/EC+도/JX
못하겠다는	못하/VX+겠/EP+다는/ETM
태도는	태도/NNG+는/JX
너무한	너무/MAG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
불쾌한	불쾌/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.398.9.2
이명박 대선캠프 출신인 김용태 의원은 기자와의 통화와 언론 인터뷰 등에서 박 전 대표의 '원안+α' 방침을 "정치적 사익(私益) 추구"라며 "(박 전 대표가) 국민에 대한 약속과 신뢰를 말하지만, 이는 솔직하지 못하다.

이명박	이명박/NNP
대선캠프	대선/NNG+캠프/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
김용태	김용태/NNP
의원은	의원/NNG+은/JX
기자와의	기자/NNG+와/JKB+의/JKG
통화와	통화/NNG+와/JC
언론	언론/NNG
인터뷰	인터뷰/NNG
등에서	등/NNB+에서/JKB
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
'원안+α'	'/SS+원안/NNG++/SW+α/SL+'/SS
방침을	방침/NNG+을/JKO
"정치적	"/SS+정치/NNG+적/XSN
사익(私益)	사익/NNG+(/SS+私益/SH+)/SS
추구"라며	추구/NNG+"/SS+이/VCP+라며/EC
"(박	"/SS+(/SS+박/NNP
대표가)	대표/NNG+가/JKS+)/SS
국민에	국민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
약속과	약속/NNG+과/JC
신뢰를	신뢰/NNG+를/JKO
말하지만,	말/NNG+하/XSV+지만/EC+,/SP
이는	이/NP+는/JX
솔직하지	솔직하/VA+지/EC
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000022.398.9.3
2006년 지방선거, 2007년 대통령선거 때 충청표를 잡으려고 세종시에 찬성했었고, 지금도 유력 대권 후보로서 차기 대권을 의식해 지역주의에 기대고 있다"고 했다.

2006년	2006/SN+년/NNB
지방선거,	지방/NNG+선거/NNG+,/SP
2007년	2007/SN+년/NNB
대통령선거	대통령/NNG+선거/NNG
때	때/NNG
충청표를	충청/NNP+표/NNG+를/JKO
잡으려고	잡/VV+으려고/EC
세종시에	세종시/NNP+에/JKB
찬성했었고,	찬성/NNG+하/XSV+았었/EP+고/EC+,/SP
지금도	지금/NNG+도/JX
유력	유력/NNG
대권	대권/NNG
후보로서	후보/NNG+로서/JKB
차기	차기/NNG
대권을	대권/NNG+을/JKO
의식해	의식/NNG+하/XSV+아/EC
지역주의에	지역주의/NNG+에/JKB
기대고	기대/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


