# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.22
metadata : {}


# id : NWRW1800000041.22.1.1
유플릭스 무비 “폭발적 인기에 연내 20만 가입자 돌파 예상”

유플릭스	유플릭스/NNP
아직	아직/MAG
넷플릭스와	넷플릭스/NNP+와/JKB
같은	같/VA+은/ETM
무제한	무/XPN+제한/NNG
동영상	동영상/NNG
서비스가	서비스/NNG+가/JKS
없어	없/VA+어/EC
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
‘음지’를	‘/SS+음지/NNG+’/SS+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
실정이었다.	실정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.22.6.1
하지만 참고할 만한 사업 모델이 없었다.

하지만	하지만/MAJ
참고할	참고/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
사업	사업/NNG
모델이	모델/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.22.6.2
미디어사업팀 최연수 과장은 “미국 넷플릭스가 거의 유일한 참고 자료인데 국내에서는 접속 자체가 불가능했다”고 말했다.

미디어사업팀	미디어/NNG+사업/NNG+팀/NNG
최연수	최연수/NNP
과장은	과장/NNG+은/JX
“미국	“/SS+미국/NNP
넷플릭스가	넷플릭스/NNP+가/JKS
거의	거의/MAG
유일한	유일/NNG+하/XSA+ㄴ/ETM
참고	참고/NNG
자료인데	자료/NNG+이/VCP+ㄴ데/EC
국내에서는	국내/NNG+에서/JKB+는/JX
접속	접속/NNG
자체가	자체/NNG+가/JKS
불가능했다”고	불/XPN+가능/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.22.6.3
어쩔 수 없이 다른 국가에서 접속하는 것으로 위장하는 ‘편법’을 써 넷플릭스의 장단점을 분석해 서비스를 설계했다.

어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
다른	다른/MMD
국가에서	국가/NNG+에서/JKB
접속하는	접속/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
위장하는	위장/NNG+하/XSV+는/ETM
‘편법’을	‘/SS+편법/NNG+’/SS+을/JKO
써	쓰/VV+어/EC
넷플릭스의	넷플릭스/NNP+의/JKG
장단점을	장단점/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
서비스를	서비스/NNG+를/JKO
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.22.7.1
영화 배급사를 설득하는 과정 역시 쉽지 않았다.

영화	영화/NNG
배급사를	배급사/NNG+를/JKO
설득하는	설득/NNG+하/XSV+는/ETM
과정	과정/NNG
역시	역시/MAG
쉽지	쉽/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.22.7.2
무엇보다 “불법 웹하드 천국인 한국에서 잘되겠느냐”는 반응이 많았다.

무엇보다	무엇/NP+보다/JKB
“불법	“/SS+불법/NNG
웹하드	웹/NNG+하드/NNG
천국인	천국/NNG+이/VCP+ㄴ/ETM
한국에서	한국/NNP+에서/JKB
잘되겠느냐”는	잘/MAG+되/XSV+겠/EP+느냐/EF+”/SS+는/ETM
반응이	반응/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.22.7.3
안정적인 롱텀에볼루션(LTE) 망과 웹하드에 비해 크게 비싸지 않은 가격 경쟁력을 내세우며 설득한 끝에 100여 개 영화 배급사와 제휴를 맺었다.

안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
롱텀에볼루션(LTE)	롱텀에볼루션/NNG+(/SS+LTE/SL+)/SS
망과	망/NNG+과/JC
웹하드에	웹/NNG+하드/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
비싸지	비싸/VA+지/EC
않은	않/VX+은/ETM
가격	가격/NNG
경쟁력을	경쟁력/NNG+을/JKO
내세우며	내세우/VV+며/EC
설득한	설득/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
100여	100/SN+여/XSN
개	개/NNB
영화	영화/NNG
배급사와	배급사/NNG+와/JKB
제휴를	제휴/NNG+를/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.22.8.1
주제별 추천, 2시간 단위로 다른 콘텐츠를 송출하는 ‘유플릭스 온 에어(On Air)’ 등 한국인의 영화 감상 행태에 맞춘 사용자 인터페이스(UI)는 치열한 분석 끝에 나온 서비스다.

주제별	주제/NNG+별/XSN
추천,	추천/NNG+,/SP
2시간	2/SN+시간/NNB
단위로	단위/NNG+로/JKB
다른	다른/MMD
콘텐츠를	콘텐츠/NNG+를/JKO
송출하는	송출/NNG+하/XSV+는/ETM
‘유플릭스	‘/SS+유플릭스/NNP
온	온/NNG
에어(On	에어/NNG+(/SS+On/SL
Air)’	Air/SL+)/SS+’/SS
등	등/NNB
한국인의	한국인/NNG+의/JKG
영화	영화/NNG
감상	감상/NNG
행태에	행태/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
사용자	사용자/NNG
인터페이스(UI)는	인터페이스/NNG+(/SS+UI/SL+)/SS+는/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
분석	분석/NNG
끝에	끝/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
서비스다.	서비스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.22.8.2
또 ‘장르 편식’이 심한 특성에 맞춰 134개의 장르로 구분했다.

또	또/MAG
‘장르	‘/SS+장르/NNG
편식’이	편식/NNG+’/SS+이/JKS
심한	심하/VA+ㄴ/ETM
특성에	특성/NNG+에/JKB
맞춰	맞추/VV+어/EC
134개의	134/SN+개/NNB+의/JKG
장르로	장르/NNG+로/JKB
구분했다.	구분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.22.8.3
조다영 미디어기술개발팀 대리는 “영화 마니아, 바쁜 직장인, 개봉작을 놓친 학생, 추억 속 고전 영화를 꺼내 보고 싶은 사람 등 누구나 이용할 수 있는 ‘국민 영화’ 서비스로 만드는 것이 목표”라고 말했다.

조다영	조다영/NNP
미디어기술개발팀	미디어/NNG+기술/NNG+개발/NNG+팀/NNG
대리는	대리/NNG+는/JX
“영화	“/SS+영화/NNG
마니아,	마니아/NNG+,/SP
바쁜	바쁘/VA+ㄴ/ETM
직장인,	직장인/NNG+,/SP
개봉작을	개봉작/NNG+을/JKO
놓친	놓치/VV+ㄴ/ETM
학생,	학생/NNG+,/SP
추억	추억/NNG
속	속/NNG
고전	고전/NNG
영화를	영화/NNG+를/JKO
꺼내	꺼내/VV+어/EC
보고	보/VX+고/EC
싶은	싶/VX+은/ETM
사람	사람/NNG
등	등/NNB
누구나	누구/NP+나/JX
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘국민	‘/SS+국민/NNG
영화’	영화/NNG+’/SS
서비스로	서비스/NNG+로/JKB
만드는	만들/VV+는/ETM
것이	것/NNB+이/JKS
목표”라고	목표/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


