# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.112
metadata : {}


# id : NWRW1800000040.112.1.1
ℓ당 111㎞ ‘연비 끝판왕’ XL1…친환경차 총출동

ℓ당	ℓ/SW+당/XSN
디트로이트(미국)·프랑크푸르트(독일)·파리(프랑스)	디트로이트/NNP+(/SS+미국/NNP+)/SS+·/SP+프랑크푸르트/NNP+(/SS+독일/NNP+)/SS+·/SP+파리/NNP+(/SS+프랑스/NNP+)/SS
모터쇼가	모터쇼/NNG+가/JKS
주최국에	주최국/NNG+에/JKB
기반을	기반/NNG+을/JKO
둔	두/VV+ㄴ/ETM
완성차	완성차/NNG
업체	업체/NNG
중심으로	중심/NNG+으로/JKB
행사를	행사/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
탓에	탓/NNG+에/JKB
빚어지는	빚어지/VV+는/ETM
왜곡	왜곡/NNG
현상이	현상/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
덜하다.	덜/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000040.112.6.3
제네바 모터쇼가 4대 모터쇼 가운데 하나로 꼽히는 이유도 자동차 시장의 흐름을 가장 객관적으로 보여준다는 평가 때문이다.

제네바	제네바/NNP
모터쇼가	모터쇼/NNG+가/JKS
4대	4/SN+대/NNG
모터쇼	모터쇼/NNG
가운데	가운데/NNG
하나로	하나/NR+로/JKB
꼽히는	꼽히/VV+는/ETM
이유도	이유/NNG+도/JX
자동차	자동차/NNG
시장의	시장/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
가장	가장/MAG
객관적으로	객관/NNG+적/XSN+으로/JKB
보여준다는	보이/VV+어/EC+주/VX+ㄴ다는/ETM
평가	평가/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.7.1
2000년대 후반 일본 도요타의 위기 이후 세계 완성차 시장 흐름의 주도자는 독일에 근거지를 둔 업체들이다.

2000년대	2000/SN+년대/NNB
후반	후반/NNG
일본	일본/NNP
도요타의	도요타/NNP+의/JKG
위기	위기/NNG
이후	이후/NNG
세계	세계/NNG
완성차	완성차/NNG
시장	시장/NNG
흐름의	흐름/NNG+의/JKG
주도자는	주도자/NNG+는/JX
독일에	독일/NNP+에/JKB
근거지를	근거지/NNG+를/JKO
둔	두/VV+ㄴ/ETM
업체들이다.	업체/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.7.2
판매량·디자인·첨단기술 등 모든 분야에서 벤치마킹 대상이 되고 있다.

판매량·디자인·첨단기술	판매량/NNG+·/SP+디자인/NNG+·/SP+첨단/NNG+기술/NNG
등	등/NNB
모든	모든/MMN
분야에서	분야/NNG+에서/JKB
벤치마킹	벤치마킹/NNG
대상이	대상/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.112.7.3
특히 대중 브랜드인 폴크스바겐의 주목도가 높다.

특히	특히/MAG
대중	대중/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
폴크스바겐의	폴크스바겐/NNP+의/JKG
주목도가	주목도/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000040.112.7.4
이번 전시회 개막 전에 폴크스바겐의 주력 차종 7세대 ‘골프’가 여타 경쟁 차종을 제치고 ‘유럽 올해의 차’에 선정된 것도 폴크스바겐의 승승장구를 보여주는 하나의 예로 볼 수 있다.

이번	이번/NNG
전시회	전시회/NNG
개막	개막/NNG
전에	전/NNG+에/JKB
폴크스바겐의	폴크스바겐/NNP+의/JKG
주력	주력/NNG
차종	차종/NNG
7세대	7/SN+세대/NNG
‘골프’가	‘/SS+골프/NNP+’/SS+가/JKS
여타	여타/NNG
경쟁	경쟁/NNG
차종을	차종/NNG+을/JKO
제치고	제치/VV+고/EC
‘유럽	‘/SS+유럽/NNP
올해의	올해/NNG+의/JKG
차’에	차/NNG+’/SS+에/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
승승장구를	승승장구/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
하나의	하나/NR+의/JKG
예로	예/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.112.8.1
폴크스바겐이 이번 모터쇼에 내민 빅 카드는 ‘엑스엘(XL)1’이다.

폴크스바겐이	폴크스바겐/NNP+이/JKS
이번	이번/NNG
모터쇼에	모터쇼/NNG+에/JKB
내민	내밀/VV+ㄴ/ETM
빅	빅/NNG
카드는	카드/NNG+는/JX
‘엑스엘(XL)1’이다.	‘/SS+엑스엘/NNG+(/SS+XL/SL+)/SS+1/SN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.8.2
디젤 엔진을 단 플러그인 하이브리드차로, 공인 연비(유럽 기준)가 111.1㎞/ℓ이다.

디젤	디젤/NNG
엔진을	엔진/NNG+을/JKO
단	달/VV+ㄴ/ETM
플러그인	플러그인/NNG
하이브리드차로,	하이브리드/NNG+차/NNG+로/JKB+,/SP
공인	공인/NNG
연비(유럽	연비/NNG+(/SS+유럽/NNP
기준)가	기준/NNG+)/SS+가/JKS
111.1㎞/ℓ이다.	111/SN+./SF+1/SN+㎞/SW+//SP+ℓ/SW+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.8.3
전기 충전식이기 때문에 화석연료로만 구동되는 가솔린·디젤차·하이브리드차와 동등 비교는 적절치 않다.

전기	전기/NNG
충전식이기	충전식/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
화석연료로만	화석/NNG+연료/NNG+로/JKB+만/JX
구동되는	구동/NNG+되/XSV+는/ETM
가솔린·디젤차·하이브리드차와	가솔린/NNG+·/SP+디젤차/NNG+·/SP+하이브리드/NNG+차/NNG+와/JKB
동등	동등/NNG
비교는	비교/NNG+는/JX
적절치	적절하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000040.112.8.4
하지만 이유 불문 ‘연비 끝판왕’이라는 수식어가 손색없어 보인다.

하지만	하지만/MAJ
이유	이유/NNG
불문	불문/NNG
‘연비	‘/SS+연비/NNG
끝판왕’이라는	끝판왕/NNG+’/SS+이/VCP+라는/ETM
수식어가	수식어/NNG+가/JKS
손색없어	손색없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.112.8.5
폴크스바겐이 완성차 업계에서 가지는 위상을 고려하면, “엑스엘1은 폴크스바겐의 미래를 보여주는 차”라는 마르틴 빈터코른 폴크스바겐그룹 회장의 발언은 겸손에 가깝다.

폴크스바겐이	폴크스바겐/NNP+이/JKS
완성차	완성차/NNG
업계에서	업계/NNG+에서/JKB
가지는	가지/VV+는/ETM
위상을	위상/NNG+을/JKO
고려하면,	고려/NNG+하/XSV+면/EC+,/SP
“엑스엘1은	“/SS+엑스엘1/NNG+은/JX
폴크스바겐의	폴크스바겐/NNP+의/JKG
미래를	미래/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
차”라는	차/NNG+”/SS+이/VCP+라는/ETM
마르틴	마르틴/NNP
빈터코른	빈터코른/NNP
폴크스바겐그룹	폴크스바겐그룹/NNP
회장의	회장/NNG+의/JKG
발언은	발언/NNG+은/JX
겸손에	겸손/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000040.112.8.6
폴크스바겐그룹 계열사인 아우디까지 공인 연비 79.9㎞/ℓ에 이르는 차(A3 E-트론)를 내놓은 것을 보면, 폴크스바겐그룹이 고급차 시장까지도 최소한 연비 영역에선 경쟁사를 짓누르는 듯한 모습이다.

폴크스바겐그룹	폴크스바겐그룹/NNP
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
아우디까지	아우디/NNP+까지/JX
공인	공인/NNG
연비	연비/NNG
79.9㎞/ℓ에	79/SN+./SF+9/SN+㎞/SW+//SP+ℓ/SW+에/JKB
이르는	이르/VV+는/ETM
차(A3	차/NNG+(/SS+A/SL+3/SN
E-트론)를	E-트론/NNP+)/SS+를/JKO
내놓은	내놓/VV+은/ETM
것을	것/NNB+을/JKO
보면,	보/VV+면/EC+,/SP
폴크스바겐그룹이	폴크스바겐그룹/NNP+이/JKS
고급차	고급차/NNG
시장까지도	시장/NNG+까지/JX+도/JX
최소한	최소한/MAG
영역에선	영역/NNG+에서/JKB+ㄴ/JX
경쟁사를	경쟁사/NNG+를/JKO
짓누르는	짓누르/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.9.1
2008·ONYX(푸조), 리프(닛산), 스파크(GM), IS300h(렉서스) 등의 차종도 고연비와 낮은 이산화탄소 배출량을 무기로 삼는 친환경차 범주에 든다.

2008·ONYX(푸조),	2008/SN+·/SP+ONYX/SL+(/SS+푸조/NNP+)/SS+,/SP
리프(닛산),	리프/NNP+(/SS+닛산/NNP+)/SS+,/SP
스파크(GM),	스파크/NNP+(/SS+GM/SL+)/SS+,/SP
IS300h(렉서스)	IS/SL+300/SN+h/SL+(/SS+렉서스/NNP+)/SS
등의	등/NNB+의/JKG
차종도	차종/NNG+도/JX
고연비와	고/XPN+연비/NNG+와/JC
낮은	낮/VA+은/ETM
이산화탄소	이산화/NNG+탄소/NNG
배출량을	배출량/NNG+을/JKO
무기로	무기/NNG+로/JKB
삼는	삼/VV+는/ETM
친환경차	친/XPN+환경/NNG+차/NNG
범주에	범주/NNG+에/JKB
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.112.9.2
여기에 페라리(F150)와 매클래런(P1) 등 슈퍼카를 만드는 업체들까지 전기모터를 집어넣은 차를 전시장 부스에 떡하니 내놓았다.

여기에	여기/NP+에/JKB
페라리(F150)와	페라리/NNP+(/SS+F/SL+150/SN+)/SS+와/JC
매클래런(P1)	매클래런/NNP+(/SS+P/SL+1/SN+)/SS
등	등/NNB
슈퍼카를	슈퍼카/NNG+를/JKO
만드는	만들/VV+는/ETM
업체들까지	업체/NNG+들/XSN+까지/JX
전기모터를	전기/NNG+모터/NNG+를/JKO
집어넣은	집어넣/VV+은/ETM
차를	차/NNG+를/JKO
전시장	전시장/NNG
부스에	부스/NNG+에/JKB
떡하니	떡하니/MAG
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.112.9.3
대중차-고급차, 유럽차-미국차 등 과거엔 견고해 보였던 각종 장벽이 ‘친환경’이라는 슈퍼 트렌드 앞에 일순간 무너지고 있다는 것을 실감하게 한다.

대중차-고급차,	대중/NNG+차/NNG+-/SO+고급차/NNG+,/SP
유럽차-미국차	유럽/NNP+차/NNG+-/SO+미국/NNP+차/NNG
등	등/NNB
과거엔	과거/NNG+에/JKB+ㄴ/JX
견고해	견고하/VA+아/EC
보였던	보이/VV+었/EP+던/ETM
각종	각종/NNG
장벽이	장벽/NNG+이/JKS
‘친환경’이라는	‘/SS+친/XPN+환경/NNG+’/SS+이/VCP+라는/ETM
슈퍼	슈퍼/NNG
트렌드	트렌드/NNG
앞에	앞/NNG+에/JKB
일순간	일순/NNG+간/XSN
무너지고	무너지/VV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
실감하게	실감/NNG+하/XSV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.112.10.1
100년 넘는 화석연료 자동차 시대가 빠르게 저무는 이유는 기술 혁신, 고유가 등 여러 요인이 꼽히지만, 무엇보다 각 나라의 환경 규제가 핵심이다.

100년	100/SN+년/NNB
넘는	넘/VV+는/ETM
화석연료	화석/NNG+연료/NNG
자동차	자동차/NNG
시대가	시대/NNG+가/JKS
빠르게	빠르/VA+게/EC
저무는	저물/VV+는/ETM
이유는	이유/NNG+는/JX
기술	기술/NNG
혁신,	혁신/NNG+,/SP
고유가	고/XPN+유가/NNG
등	등/NNB
여러	여러/MMN
요인이	요인/NNG+이/JKS
꼽히지만,	꼽히/VV+지만/EC+,/SP
무엇보다	무엇/NP+보다/JKB
각	각/MMD
나라의	나라/NNG+의/JKG
환경	환경/NNG
규제가	규제/NNG+가/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.10.2
한 예로, 유럽연합(EU)은 2008년에 이산화탄소 배출량 한도를 2015년까지 1㎞당 평균 130g으로, 2020년까지는 95g으로 제한하는 방안을 마련했다.

한	한/MMN
예로,	예/NNG+로/JKB+,/SP
유럽연합(EU)은	유럽연합/NNP+(/SS+EU/SL+)/SS+은/JX
2008년에	2008/SN+년/NNB+에/JKB
이산화탄소	이산화/NNG+탄소/NNG
배출량	배출량/NNG
한도를	한도/NNG+를/JKO
2015년까지	2015/SN+년/NNB+까지/JX
1㎞당	1/SN+㎞/SW+당/XSN
평균	평균/NNG
130g으로,	130/SN+g/SW+으로/JKB+,/SP
2020년까지는	2020/SN+년/NNB+까지/JX+는/JX
95g으로	95/SN+g/SW+으로/JKB
제한하는	제한/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.112.10.3
이 기준을 충족하기 위해선 각 업체들이 2020년까지 연비를 30% 이상 개선해야 한다.

이	이/MMD
기준을	기준/NNG+을/JKO
충족하기	충족/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
각	각/MMD
업체들이	업체/NNG+들/XSN+이/JKS
2020년까지	2020/SN+년/NNB+까지/JX
연비를	연비/NNG+를/JKO
30%	30/SN+%/SW
이상	이상/NNG
개선해야	개선/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.112.11.1
세계 5위 완성차인 현대·기아차를 비롯한 국내 완성차 업체들도 이번 모터쇼에 참가했지만, 눈에 두드러지는 친환경차를 출품하지는 않았다.

세계	세계/NNG
5위	5/SN+위/NNB
완성차인	완성차/NNG+이/VCP+ㄴ/ETM
현대·기아차를	현대/NNP+·/SP+기아차/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
국내	국내/NNG
완성차	완성차/NNG
업체들도	업체/NNG+들/XSN+도/JX
이번	이번/NNG
모터쇼에	모터쇼/NNG+에/JKB
참가했지만,	참가/NNG+하/XSV+았/EP+지만/EC+,/SP
눈에	눈/NNG+에/JKB
두드러지는	두드러지/VV+는/ETM
친환경차를	친/XPN+환경/NNG+차/NNG+를/JKO
출품하지는	출품/NNG+하/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.112.11.2
친환경차 기술을 유럽 업체가 주도하고 있다는 사실이 다시 한번 확인되는 대목이다.

친환경차	친/XPN+환경/NNG+차/NNG
기술을	기술/NNG+을/JKO
유럽	유럽/NNP
업체가	업체/NNG+가/JKS
주도하고	주도/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실이	사실/NNG+이/JKS
다시	다시/MAG
한번	한번/MAG
확인되는	확인/NNG+되/XSV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.112.12.1
현대차는 유럽에서 처음 선보이는 ‘그랜드 싼타페’와 ‘투산ix’를 내놨다.

현대차는	현대차/NNP+는/JX
유럽에서	유럽/NNP+에서/JKB
처음	처음/NNG
선보이는	선보이/VV+는/ETM
‘그랜드	‘/SS+그랜드/NNG
싼타페’와	싼타페/NNP+’/SS+와/JC
‘투산ix’를	‘/SS+투산ix/NNG+’/SS+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.112.12.2
폴크스바겐의 골프와 경쟁하는 준중형 해치백 ‘i30’은 유럽 올해의 차 수상을 기대했으나, 골프에 밀려 8위에 그쳤다.

폴크스바겐의	폴크스바겐/NNP+의/JKG
골프와	골프/NNP+와/JKB
경쟁하는	경쟁/NNG+하/XSV+는/ETM
준중형	준/XPN+중형/NNG
해치백	해치백/NNG
‘i30’은	‘/SS+i/SL+30/SN+’/SS+은/JX
유럽	유럽/NNP
올해의	올해/NNG+의/JKG
차	차/NNG
수상을	수상/NNG+을/JKO
기대했으나,	기대/NNG+하/XSV+았/EP+으나/EC+,/SP
골프에	골프/NNP+에/JKB
밀려	밀리/VV+어/EC
8위에	8/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.112.12.3
기아차는 유럽 현지 전략형 모델인 시드GT(3·5도어)와 콘셉트카 2도어 해치백인 ‘프로보 콘셉트’로 눈길을 끌었다.

기아차는	기아차/NNP+는/JX
유럽	유럽/NNP
현지	현지/NNG
전략형	전략/NNG+형/XSN
모델인	모델/NNG+이/VCP+ㄴ/ETM
시드GT(3·5도어)와	시드GT/NNG+(/SS+3/SN+·/SP+5/SN+도어/NNG+)/SS+와/JC
콘셉트카	콘셉트카/NNG
2도어	2/SN+도어/NNG
해치백인	해치백/NNG+이/VCP+ㄴ/ETM
‘프로보	‘/SS+프로보/NNG
콘셉트’로	콘셉트/NNG+’/SS+로/JKB
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.112.13.1
쌍용차는 콘셉트카 ‘SIV-1’을 공개했다.

쌍용차는	쌍용차/NNP+는/JX
콘셉트카	콘셉트카/NNG
‘SIV-1’을	‘/SS+SIV/SL+-/SO+1/SN+’/SS+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.112.13.2
중형 스포츠실용차(SUV)로, 2011년 프랑크푸르트 모터쇼에 첫선을 보였던 XIV 시리즈를 좀더 개선했다.

중형	중형/NNG
스포츠실용차(SUV)로,	스포츠/NNG+실용/NNG+차/NNG+(/SS+SUV/SL+)/SS+로/JKB+,/SP
2011년	2011/SN+년/NNB
프랑크푸르트	프랑크푸르트/NNP
모터쇼에	모터쇼/NNG+에/JKB
첫선을	첫선/NNG+을/JKO
보였던	보이/VV+었/EP+던/ETM
XIV	XIV/SL
시리즈를	시리즈/NNG+를/JKO
좀더	좀/MAG+더/MAG
개선했다.	개선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.112.13.3
르노삼성은 올 하반기 국내에 수입 판매할 소형 스포츠실용차 캡처를, 한국지엠(GM)은 최근 판매를 시작한 트랙스를 앞세웠다.

르노삼성은	르노삼성/NNP+은/JX
올	올/NNG
하반기	하반기/NNG
국내에	국내/NNG+에/JKB
수입	수입/NNG
판매할	판매/NNG+하/XSV+ㄹ/ETM
소형	소형/NNG
스포츠실용차	스포츠/NNG+실용/NNG+차/NNG
캡처를,	캡처/NNP+를/JKO+,/SP
한국지엠(GM)은	한국지엠/NNP+(/SS+GM/SL+)/SS+은/JX
최근	최근/NNG
판매를	판매/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
트랙스를	트랙스/NNG+를/JKO
앞세웠다.	앞세우/VV+었/EP+다/EF+./SF


