# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.5
metadata : {}


# id : NWRW1800000045.5.1.1
모바일-직구 열풍에… 백화점 11년만에 뒷걸음

모바일-직구	모바일/NNG+-/SO+직구/NNG
1979년 롯데백화점 본점 개관 이후 30여 년간 승승장구하던 백화점이란 유통 채널은 새로운 돌파구를 찾아야 할 만큼 생존의 위기에 처했다.

1979년	1979/SN+년/NNB
롯데백화점	롯데백화점/NNP
본점	본점/NNG
개관	개관/NNG
이후	이후/NNG
30여	30/SN+여/XSN
년간	년/NNB+간/XSN
승승장구하던	승승장구/NNG+하/XSV+던/ETM
백화점이란	백화점/NNG+이/VCP+란/ETM
유통	유통/NNG
채널은	채널/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
돌파구를	돌파구/NNG+를/JKO
찾아야	찾/VV+아야/EC
할	하/VX+ㄹ/ETM
만큼	만큼/NNB
생존의	생존/NNG+의/JKG
위기에	위기/NNG+에/JKB
처했다.	처하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.6.2
통계청에 따르면 지난해 백화점의 판매액은 29조2000억 원으로 2013년보다 1.9%(6000억 원) 감소했다.

통계청에	통계청/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
백화점의	백화점/NNG+의/JKG
판매액은	판매액/NNG+은/JX
29조2000억	29/SN+조/NR+2000/SN+억/NR
원으로	원/NNB+으로/JKB
2013년보다	2013/SN+년/NNB+보다/JKB
1.9%(6000억	1/SN+./SP+9/SN+%/SW+(/SS+6000/SN+억/NR
원)	원/NNB+)/SS
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.6.3
매출액은 3년째 30조 원 문턱을 넘지 못하고 있다.

매출액은	매출액/NNG+은/JX
3년째	3/SN+년/NNB+째/XSN
30조	30/SN+조/NR
원	원/NNB
문턱을	문턱/NNG+을/JKO
넘지	넘/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.5.7.1
신세계백화점은 2003년 카드 대란 이후 11년 만에 처음으로 지난해 매출액이 줄어들었다.

신세계백화점은	신세계백화점/NNP+은/JX
2003년	2003/SN+년/NNB
카드	카드/NNG
대란	대란/NNG
이후	이후/NNG
11년	11/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
지난해	지난해/NNG
매출액이	매출액/NNG+이/JKS
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.7.2
문제는 외환위기나 카드 사태 같은 외부 충격이 없었는데도 매출이 줄었다는 것.

문제는	문제/NNG+는/JX
외환위기나	외환/NNG+위기/NNG+나/JC
카드	카드/NNG
사태	사태/NNG
같은	같/VA+은/ETM
외부	외부/NNG
충격이	충격/NNG+이/JKS
없었는데도	없/VA+었/EP+는데/EC+도/JX
매출이	매출/NNG+이/JKS
줄었다는	줄/VV+었/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.5.7.3
합리적인 소비 성향이 강해진 기존 소비자들이 온라인과 모바일, 해외 직구로 돌아선 탓이다.

합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
소비	소비/NNG
성향이	성향/NNG+이/JKS
강해진	강하/VA+아/EC+지/VX+ㄴ/ETM
기존	기존/NNG
소비자들이	소비자/NNG+들/XSN+이/JKS
온라인과	온라인/NNG+과/JC
모바일,	모바일/NNG+,/SP
해외	해외/NNG
직구로	직구/NNG+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.5.8.1
백화점들은 이 같은 상황을 돌파하기 위해 온라인몰과 모바일 앱을 강화하는 한편 신규 사업 투자를 늘리는 정공법을 택하고 있다.

백화점들은	백화점/NNG+들/XSN+은/JX
이	이/NP
같은	같/VA+은/ETM
상황을	상황/NNG+을/JKO
돌파하기	돌파/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
온라인몰과	온라인/NNG+몰/NNG+과/JC
모바일	모바일/NNG
앱을	앱/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
한편	한편/NNG
신규	신규/NNG
사업	사업/NNG
투자를	투자/NNG+를/JKO
늘리는	늘리/VV+는/ETM
정공법을	정공법/NNG+을/JKO
택하고	택하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.5.8.2
신세계가 역대 최대 규모의 투자를 발표한 가운데 현대백화점도 올해 기존 백화점 증축, 복합쇼핑몰 투자 계획을 밝혔다.

신세계가	신세계/NNP+가/JKS
역대	역대/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
투자를	투자/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
현대백화점도	현대백화점/NNP+도/JX
올해	올해/NNG
기존	기존/NNG
백화점	백화점/NNG
증축,	증축/NNG+,/SP
복합쇼핑몰	복합/NNG+쇼핑몰/NNG
투자	투자/NNG
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.9.1
○ 대형마트 ‘비’

○	○/SW
대형마트	대형/NNG+마트/NNG
‘비’	‘/SS+비/NNG+’/SS


# id : NWRW1800000045.5.10.1
대형마트는 소비 침체와 정부 규제, 해외 사업 부진 등 각종 악재가 겹치며 매출과 영업이익 모두 크게 줄었다.

대형마트는	대형/NNG+마트/NNG+는/JX
소비	소비/NNG
침체와	침체/NNG+와/JC
정부	정부/NNG
규제,	규제/NNG+,/SP
해외	해외/NNG
사업	사업/NNG
부진	부진/NNG
등	등/NNB
각종	각종/NNG
악재가	악재/NNG+가/JKS
겹치며	겹치/VV+며/EC
매출과	매출/NNG+과/JC
영업이익	영업/NNG+이익/NNG
모두	모두/MAG
크게	크/VA+게/EC
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.10.2
이마트와 롯데마트의 지난해 영업이익은 전년보다 각각 20.7%, 64.3% 줄었다.

이마트와	이마트/NNP+와/JC
롯데마트의	롯데마트/NNP+의/JKG
지난해	지난해/NNG
영업이익은	영업/NNG+이익/NNG+은/JX
전년보다	전년/NNG+보다/JKB
각각	각각/MAG
20.7%,	20/SN+./SP+7/SN+%/SW+,/SP
64.3%	64/SN+./SP+3/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.10.3
특히 대량 구매보다 필요한 만큼만 구매하는 소비자가 늘며 대형마트는 업태 자체에 대한 근원적 고민에 빠졌다.

특히	특히/MAG
대량	대량/NNG
구매보다	구매/NNG+보다/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
만큼만	만큼/NNB+만/JX
구매하는	구매/NNG+하/XSV+는/ETM
소비자가	소비자/NNG+가/JKS
늘며	늘/VV+며/EC
대형마트는	대형/NNG+마트/NNG+는/JX
업태	업태/NNG
자체에	자체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
근원적	근원/NNG+적/XSN
고민에	고민/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.11.1
오프라인은 부진했지만 대형마트의 온라인 부문 매출은 크게 늘었다.

오프라인은	오프라인/NNG+은/JX
부진했지만	부진/NNG+하/XSA+았/EP+지만/EC
대형마트의	대형/NNG+마트/NNG+의/JKG
온라인	온라인/NNG
부문	부문/NNG
매출은	매출/NNG+은/JX
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.11.2
롯데마트의 모바일몰과 온라인몰 매출은 각각 201.6%, 19.6% 증가했다.

롯데마트의	롯데마트/NNP+의/JKG
모바일몰과	모바일/NNG+몰/NNG+과/JC
온라인몰	온라인/NNG+몰/NNG
매출은	매출/NNG+은/JX
각각	각각/MAG
201.6%,	201/SN+./SP+6/SN+%/SW+,/SP
19.6%	19/SN+./SP+6/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.11.3
올해 대형마트는 온라인과 오프라인을 결합한 ‘옴니채널’ 서비스에 박차를 가할 계획이다.

올해	올해/NNG
대형마트는	대형/NNG+마트/NNG+는/JX
온라인과	온라인/NNG+과/JC
오프라인을	오프라인/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
‘옴니채널’	‘/SS+옴니채널/NNG+’/SS
서비스에	서비스/NNG+에/JKB
박차를	박차/NNG+를/JKO
가할	가하/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.5.12.1
○ 홈쇼핑 ‘구름 많음’

○	○/SW
홈쇼핑	홈쇼핑/NNG
‘구름	‘/SS+구름/NNG
많음’	많/VA+음/ETN+’/SS


# id : NWRW1800000045.5.13.1
불황 속에서도 잘나갔던 홈쇼핑의 지난해 성적표는 기대 이하였다.

불황	불황/NNG
속에서도	속/NNG+에서/JKB+도/JX
잘나갔던	잘나가/VV+았/EP+던/ETM
홈쇼핑의	홈쇼핑/NNG+의/JKG
지난해	지난해/NNG
성적표는	성적표/NNG+는/JX
기대	기대/NNG
이하였다.	이하/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.5.13.2
통계청에 따르면 홈쇼핑의 지난해 판매액 경상지수는 0.8% 증가에 그쳤다.

통계청에	통계청/NNG+에/JKB
따르면	따르/VV+면/EC
홈쇼핑의	홈쇼핑/NNG+의/JKG
지난해	지난해/NNG
판매액	판매액/NNG
경상지수는	경상/NNG+지수/NNG+는/JX
0.8%	0/SN+./SP+8/SN+%/SW
증가에	증가/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.13.3
CJ오쇼핑의 지난해 취급액은 3조1761억 원으로 3.4% 늘었지만 영업이익은 2007년 이후 처음 적자(―9.6%)를 기록했다.

CJ오쇼핑의	CJ오쇼핑/NNP+의/JKG
지난해	지난해/NNG
취급액은	취급액/NNG+은/JX
3조1761억	3/SN+조/NR+1761/SN+억/NR
원으로	원/NNB+으로/JKB
3.4%	3/SN+./SP+4/SN+%/SW
늘었지만	늘/VV+었/EP+지만/EC
영업이익은	영업/NNG+이익/NNG+은/JX
2007년	2007/SN+년/NNB
이후	이후/NNG
처음	처음/NNG
적자(―9.6%)를	적자/NNG+(/SS+―/SS+9/SN+./SP+6/SN+%/SW+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.14.1
전문가들은 홈쇼핑이 TV 중심에서 모바일로 재편하는 과정에서 성장통을 겪고 있다고 진단했다.

전문가들은	전문가/NNG+들/XSN+은/JX
홈쇼핑이	홈쇼핑/NNG+이/JKS
TV	TV/SL
중심에서	중심/NNG+에서/JKB
모바일로	모바일/NNG+로/JKB
재편하는	재편/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
성장통을	성장통/NNG+을/JKO
겪고	겪/VV+고/EC
있다고	있/VX+다고/EC
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.14.2
TV홈쇼핑에서 번 돈을 모바일의 대대적 마케팅에 쏟아야 하는 상황에 처한 것이다.

TV홈쇼핑에서	TV/SL+홈쇼핑/NNG+에서/JKB
번	벌/VV+ㄴ/ETM
돈을	돈/NNG+을/JKO
모바일의	모바일/NNG+의/JKG
대대적	대대적/MMA
마케팅에	마케팅/NNG+에/JKB
쏟아야	쏟/VV+아야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.5.15.1
○ 편의점 ‘맑음’

○	○/SW
편의점	편의점/NNG
‘맑음’	‘/SS+맑음/NNG+’/SS


# id : NWRW1800000045.5.16.1
1인 가구 확산과 소량, 근거리 구매를 하는 소비자가 늘며 편의점은 지난해 나름대로 선전했다는 분위기다.

1인	1/SN+인/NNG
가구	가구/NNG
확산과	확산/NNG+과/JC
소량,	소량/NNG+,/SP
근거리	근거리/NNG
구매를	구매/NNG+를/JKO
하는	하/VV+는/ETM
소비자가	소비자/NNG+가/JKS
늘며	늘/VV+며/EC
편의점은	편의점/NNG+은/JX
지난해	지난해/NNG
나름대로	나름/NNB+대로/JX
선전했다는	선전/NNG+하/XSV+았/EP+다는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.5.16.2
통계청이 발표한 지난해 편의점의 판매액 경상지수는 7.4% 늘며 전년(7.7%) 수준의 증가율을 유지하고 있다.

통계청이	통계청/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
편의점의	편의점/NNG+의/JKG
판매액	판매액/NNG
경상지수는	경상/NNG+지수/NNG+는/JX
7.4%	7/SN+./SP+4/SN+%/SW
늘며	늘/VV+며/EC
전년(7.7%)	전년/NNG+(/SS+7/SN+./SP+7/SN+%/SW+)/SS
수준의	수준/NNG+의/JKG
증가율을	증가/NNG+율/XSN+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.5.16.3
업계 2위인 GS리테일이 운영하는 GS25의 경우 매출은 전년보다 8.8% 늘었다.

업계	업계/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
GS리테일이	GS리테일/NNP+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
GS25의	GS/SL+25/SN+의/JKG
경우	경우/NNG
매출은	매출/NNG+은/JX
전년보다	전년/NNG+보다/JKB
8.8%	8/SN+./SP+8/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.17.1
○ 면세점 ‘매우 맑음’

○	○/SW
면세점	면세점/NNG
‘매우	‘/SS+매우/MAG
맑음’	맑음/NNG+’/SS


# id : NWRW1800000045.5.18.1
유커 덕분에 지난해 면세점들은 사상 최대의 실적을 올렸다.

유커	유커/NNG
덕분에	덕분/NNG+에/JKB
지난해	지난해/NNG
면세점들은	면세점/NNG+들/XSN+은/JX
사상	사상/NNG
최대의	최대/NNG+의/JKG
실적을	실적/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.18.2
롯데면세점이 잠정 집계한 지난해 매출은 4조2000억 원가량으로 전년보다 약 16% 성장했다.

롯데면세점이	롯데면세점/NNP+이/JKS
잠정	잠정/NNG
집계한	집계/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
매출은	매출/NNG+은/JX
4조2000억	4/SN+조/NR+2000/SN+억/NR
원가량으로	원/NNB+가량/XSN+으로/JKB
전년보다	전년/NNG+보다/JKB
약	약/MMA
16%	16/SN+%/SW
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.18.3
신라면세점 역시 지난해 매출액이 2조6123억 원으로 전년보다 25.2% 늘었다.

신라면세점	신라면세점/NNP
역시	역시/MAG
지난해	지난해/NNG
매출액이	매출액/NNG+이/JKS
2조6123억	2/SN+조/NR+6123/SN+억/NR
원으로	원/NNB+으로/JKB
전년보다	전년/NNG+보다/JKB
25.2%	25/SN+./SP+2/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.18.4
지난해 전국 면세점 시장 규모는 약 8조3000억 원으로 해마다 두 자릿수 성장을 이어가고 있다.

지난해	지난해/NNG
전국	전국/NNG
면세점	면세점/NNG
시장	시장/NNG
규모는	규모/NNG+는/JX
약	약/MMA
8조3000억	8/SN+조/NR+3000/SN+억/NR
원으로	원/NNB+으로/JKB
해마다	해마다/MAG
두	두/MMN
자릿수	자릿수/NNG
성장을	성장/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


