# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.125
metadata : {}


# id : NWRW1800000045.125.1.1
자유학년제 고교생, 학원-과외 사교육 1년동안 못 받는다

자유학년제	자유/NNG+학년/NNG+제/XSN
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.125.4.1
① 입학생은 학원·과외 등 사교육 불허

①	①/SW
입학생은	입학/NNG+생/XSN+은/JX
학원·과외	학원/NNG+·/SP+과외/NNG
등	등/NNB
사교육	사교육/NNG
불허	불허/NNG


# id : NWRW1800000045.125.5.1
오디세이 학교에 입학할 학생들은 1년간 학원 수업이나 과외 등 사교육을 받을 수 없다.

오디세이	오디세이/NNG
학교에	학교/NNG+에/JKB
입학할	입학/NNG+하/XSV+ㄹ/ETM
학생들은	학생/NNG+들/XSN+은/JX
1년간	1/SN+년/NNB+간/XSN
학원	학원/NNG
수업이나	수업/NNG+이나/JC
과외	과외/NNG
등	등/NNB
사교육을	사교육/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.125.5.2
임유원 서울시교육청 중등교육과 장학관은 “입학이 확정된 학생들은 사교육 불참 서약서를 제출해야 한다”고 밝혔다.

임유원	임유원/NNP
서울시교육청	서울시교육청/NNP
중등교육과	중등/NNG+교육과/NNG
장학관은	장학관/NNG+은/JX
“입학이	“/SS+입학/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
학생들은	학생/NNG+들/XSN+은/JX
사교육	사교육/NNG
불참	불참/NNG
서약서를	서약서/NNG+를/JKO
제출해야	제출/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.125.5.3
임 장학관은 “창의교육과 진로 탐색이라는 오디세이 학교 취지에 사교육은 가장 크게 어긋나는 일”이라며 “학생과 학부모 모두 절대 사교육을 받지 않겠다는 마음을 갖고 지원해야 한다”고 말했다.

임	임/NNP
장학관은	장학관/NNG+은/JX
“창의교육과	“/SS+창의/NNG+교육/NNG+과/JC
진로	진로/NNG
탐색이라는	탐색/NNG+이/VCP+라는/ETM
오디세이	오디세이/NNG
학교	학교/NNG
취지에	취지/NNG+에/JKB
사교육은	사교육/NNG+은/JX
가장	가장/MAG
크게	크/VA+게/EC
어긋나는	어긋나/VV+는/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“학생과	“/SS+학생/NNG+과/JC
학부모	학부모/NNG
모두	모두/MAG
절대	절대/MAG
사교육을	사교육/NNG+을/JKO
받지	받/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
마음을	마음/NNG+을/JKO
갖고	갖/VV+고/EC
지원해야	지원/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.125.5.4
단, 사교육 불참 서약을 어겨도 교육 과정에서 배제하거나 징계하는 등의 강제 조치를 하는 것은 아니다.

단,	단/MAJ+,/SP
사교육	사교육/NNG
불참	불참/NNG
서약을	서약/NNG+을/JKO
어겨도	어기/VV+어도/EC
교육	교육/NNG
과정에서	과정/NNG+에서/JKB
배제하거나	배제/NNG+하/XSV+거나/EC
징계하는	징계/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
강제	강제/NNG
조치를	조치/NNG+를/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.125.5.5
임 장학관은 “양심적으로 학생과 학부모가 오디세이 학교의 운영 취지를 존중해주길 바란다”고 말했다.

임	임/NNP
장학관은	장학관/NNG+은/JX
“양심적으로	“/SS+양심/NNG+적/XSN+으로/JKB
학생과	학생/NNG+과/JC
학부모가	학부모/NNG+가/JKS
오디세이	오디세이/NNG
학교의	학교/NNG+의/JKG
운영	운영/NNG
취지를	취지/NNG+를/JKO
존중해주길	존중/NNG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.125.6.1
② 소규모 학생 상대평가, 내신 불리할 수도

②	②/SW
소규모	소/XPN+규모/NNG
학생	학생/NNG
상대평가,	상대/NNG+평가/NNG+,/SP
내신	내신/NNG
불리할	불리/NNG+하/XSA+ㄹ/ETM
수도	수/NNB+도/JX


# id : NWRW1800000045.125.7.1
수업 내용은 교과와 비교과로 나뉜다.

수업	수업/NNG
내용은	내용/NNG+은/JX
교과와	교과/NNG+와/JC
비교과로	비/XPN+교과/NNG+로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.125.7.2
교과는 국어, 영어, 수학, 사회, 과학, 한국사 과목으로 일반고와 똑같이 상대평가가 적용된다.

교과는	교과/NNG+는/JX
국어,	국어/NNG+,/SP
영어,	영어/NNP+,/SP
수학,	수학/NNG+,/SP
사회,	사회/NNG+,/SP
과학,	과학/NNG+,/SP
한국사	한국사/NNG
과목으로	과목/NNG+으로/JKB
일반고와	일반고/NNG+와/JKB
똑같이	똑같이/MAG
상대평가가	상대/NNG+평가/NNG+가/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.125.7.3
비교과인 직업교육과 인턴십 등은 이수 여부만 기록한다.

비교과인	비/XPN+교과/NNG+이/VCP+ㄴ/ETM
직업교육과	직업/NNG+교육/NNG+과/JC
인턴십	인턴십/NNG
등은	등/NNB+은/JX
이수	이수/NNG
여부만	여부/NNG+만/JX
기록한다.	기록/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.125.7.4
총 정원 40명(2개 반).

총	총/MMA
정원	정원/NNG
40명(2개	40/SN+명/NNB+(/SS+2/SN+개/NNB
반).	반/NNG+)/SS+./SF


# id : NWRW1800000045.125.7.5
일반고보다 훨씬 적은 수의 학생을 상대평가하게 되면 중상위권 학생들은 내신에서 불리할 수도 있다.

일반고보다	일반고/NNG+보다/JKB
훨씬	훨씬/MAG
적은	적/VA+은/ETM
수의	수/NNG+의/JKG
학생을	학생/NNG+을/JKO
상대평가하게	상대/NNG+평가/NNG+하/XSV+게/EC
되면	되/VV+면/EC
중상위권	중상위/NNG+권/XSN
학생들은	학생/NNG+들/XSN+은/JX
내신에서	내신/NNG+에서/JKB
불리할	불리/NNG+하/XSA+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.125.7.6
임 장학관은 “내신에서 매우 불리할 수 있다는 점은 감수해야 한다”며 “대입의 유불리를 따지고 오는 것은 오디세이 학교의 취지에 맞지 않다”고 말했다.

임	임/NNP
장학관은	장학관/NNG+은/JX
“내신에서	“/SS+내신/NNG+에서/JKB
매우	매우/MAG
불리할	불리/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점은	점/NNG+은/JX
감수해야	감수/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“대입의	“/SS+대입/NNG+의/JKG
유불리를	유불리/NNG+를/JKO
따지고	따지/VV+고/EC
오는	오/VX+는/ETM
것은	것/NNB+은/JX
오디세이	오디세이/NNG
학교의	학교/NNG+의/JKG
취지에	취지/NNG+에/JKB
맞지	맞/VV+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.125.8.1
③ 일반고·자공고만 지원가능

③	③/SW
일반고·자공고만	일반고/NNG+·/SP+자공고/NNG+만/JX
지원가능	지원/NNG+가능/NNG


# id : NWRW1800000045.125.9.1
오디세이 학교의 일과는 월∼금요일 오전 9시 반부터 오후 5시까지다.

오디세이	오디세이/NNG
학교의	학교/NNG+의/JKG
일과는	일과/NNG+는/JX
월∼금요일	월/NNG+∼/SO+금요일/NNG
오전	오전/NNG
9시	9/SN+시/NNB
반부터	반/NNG+부터/JX
오후	오후/NNG
5시까지다.	5/SN+시/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000045.125.9.2
이후에는 방과 후 프로그램이나 자율학습이 없다.

이후에는	이후/NNG+에/JKB+는/JX
방과	방과/NNG
후	후/NNG
프로그램이나	프로그램/NNG+이나/JC
자율학습이	자율/NNG+학습/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.125.9.3
사교육도 원칙적으로 금지하기 때문에 학생은 스스로 방과 후 시간을 활용해 학교 과제를 해결하고 학습해야 한다.

사교육도	사교육/NNG+도/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
금지하기	금지/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
학생은	학생/NNG+은/JX
스스로	스스로/MAG
방과	방과/NNG
후	후/NNG
시간을	시간/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
학교	학교/NNG
과제를	과제/NNG+를/JKO
해결하고	해결/NNG+하/XSV+고/EC
학습해야	학습/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.125.9.4
특히 맞벌이 가정의 학생들은 자칫하면 방치될 수도 있기 때문에 부모의 세심한 관심이 필요하다.

특히	특히/MAG
맞벌이	맞벌이/NNG
가정의	가정/NNG+의/JKG
학생들은	학생/NNG+들/XSN+은/JX
자칫하면	자칫/MAG+하/XSV+면/EC
방치될	방치/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
부모의	부모/NNG+의/JKG
세심한	세심하/VA+ㄴ/ETM
관심이	관심/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.125.10.1
지원 자격은 당초 ‘서울지역 고1이면 누구나’였으나 바뀌었다.

지원	지원/NNG
자격은	자격/NNG+은/JX
당초	당초/NNG
‘서울지역	‘/SS+서울지역/NNP
고1이면	고/NNG+1/SN+이/VCP+면/EC
누구나’였으나	누구/NP+나/JX+’/SS+이/VCP+었/EP+으나/EC
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.125.10.2
외국어고 등 특목고 학생들과 자율형사립고 학생은 지원할 수 없다.

외국어고	외국어고/NNG
등	등/NNB
특목고	특목고/NNG
학생들과	학생/NNG+들/XSN+과/JC
자율형사립고	자율/NNG+형/XSN+사립고/NNG
학생은	학생/NNG+은/JX
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.125.10.3
시교육청 관계자는 “특목고와 자사고 학생들은 이미 특수한 진로를 선택했다고 판단해 고민 끝에 입학을 허용하지 않기로 했다”고 이유를 밝혔다.

시교육청	시/NNG+교육청/NNG
관계자는	관계자/NNG+는/JX
“특목고와	“/SS+특목고/NNG+와/JC
자사고	자사고/NNG
학생들은	학생/NNG+들/XSN+은/JX
이미	이미/MAG
특수한	특수/NNG+하/XSA+ㄴ/ETM
진로를	진로/NNG+를/JKO
선택했다고	선택/NNG+하/XSV+았/EP+다고/EC
판단해	판단/NNG+하/XSV+아/EC
고민	고민/NNG
끝에	끝/NNG+에/JKB
입학을	입학/NNG+을/JKO
허용하지	허용/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.125.10.4
시교육청은 지원을 받아 학생과 부모 면접을 거쳐 최종 합격자를 뽑을 예정이다.

시교육청은	시/NNG+교육청/NNG+은/JX
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
학생과	학생/NNG+과/JC
부모	부모/NNG
면접을	면접/NNG+을/JKO
거쳐	거치/VV+어/EC
최종	최종/NNG
합격자를	합격자/NNG+를/JKO
뽑을	뽑/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.125.10.5
지원자가 많으면 남녀 성비를 고려하지 않고 ‘무작위 추첨’을 한다.

지원자가	지원자/NNG+가/JKS
많으면	많/VA+으면/EC
남녀	남녀/NNG
성비를	성비/NNG+를/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
‘무작위	‘/SS+무/XPN+작위/NNG
추첨’을	추첨/NNG+’/SS+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


