# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.94
metadata : {}


# id : NWRW1800000036.94.1.1
소득세율 75% 현실화 우려에 프랑스 부자들 “진짜 이민갈까요?”

소득세율	소득세/NNG+율/XSN
벨기에 브뤼셀에 본사를 둔 고급 부동산 에이전시 ‘리온’의 장 드 케르코브는 “최근 몇개월간 프랑스 부자들의 투자·이주 문의를 많이 받고 있다”며 “그들이 벨기에에서 일자리를 만들고, 집을 사고, 돈을 쓴다는 생각에 스릴을 느낀다”고 말했다.

벨기에	벨기에/NNP
브뤼셀에	브뤼셀/NNP+에/JKB
본사를	본사/NNG+를/JKO
둔	두/VV+ㄴ/ETM
고급	고급/NNG
부동산	부동산/NNG
에이전시	에이전시/NNG
‘리온’의	‘/SS+리온/NNP+’/SS+의/JKG
장	장/NNP
드	드/NNP
케르코브는	케르코브/NNP+는/JX
“최근	“/SS+최근/NNG
몇개월간	몇/NR+개월/NNB+간/XSN
프랑스	프랑스/NNP
부자들의	부자/NNG+들/XSN+의/JKG
투자·이주	투자/NNG+·/SP+이주/NNG
문의를	문의/NNG+를/JKO
많이	많이/MAG
받고	받/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“그들이	“/SS+그/NP+들/XSN+이/JKS
벨기에에서	벨기에/NNP+에서/JKB
일자리를	일자리/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
집을	집/NNG+을/JKO
사고,	사/VV+고/EC+,/SP
돈을	돈/NNG+을/JKO
쓴다는	쓰/VV+ㄴ다는/ETM
생각에	생각/NNG+에/JKB
스릴을	스릴/NNG+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


