# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.299
metadata : {}


# id : NWRW1800000026.299.1.1
女劍士, 한국 고유의 검법 세계에 선보이다;검도 6단 이은미 관장

女劍士,	女劍士/SH+,/SP
나온	나오/VV+ㄴ/ETM
것을	것/NNB+을/JKO
1980년대	1980/SN+년대/NNB
대한검도회에서	대한검도회/NNP+에서/JKB
발굴해	발굴/NNG+하/XSV+아/EC
복원	복원/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.299.6.1
이 관장은 조선세법 수련 3년 만에 3단에 올랐다.

이	이/NNP
관장은	관장/NNG+은/JX
조선세법	조선세법/NNG
수련	수련/NNG
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
3단에	3/SN+단/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.299.6.2
이번 시연을 위해서는 몇 달 전부터 아예 거의 종일 실제 연습과 이미지 트레이닝을 반복하면서 정열을 쏟아붓고 있다.

이번	이번/NNG
시연을	시연/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
몇	몇/NR
달	달/NNB
전부터	전/NNG+부터/JX
아예	아예/MAG
거의	거의/MAG
종일	종일/MAG
실제	실제/NNG
연습과	연습/NNG+과/JC
이미지	이미지/NNG
트레이닝을	트레이닝/NNG+을/JKO
반복하면서	반복/NNG+하/XSV+면서/EC
정열을	정열/NNG+을/JKO
쏟아붓고	쏟아붓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.299.7.1
"조선세법은 실전용입니다.

"조선세법은	"/SS+조선세법/NNG+은/JX
실전용입니다.	실전/NNG+용/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.299.7.2
대개의 검도가 많은 규칙을 가진 경기용인 것과 크게 달라요.

대개의	대개/NNG+의/JKG
검도가	검도/NNG+가/JKS
많은	많/VA+은/ETM
규칙을	규칙/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
경기용인	경기/NNG+용/XSN+이/VCP+ㄴ/ETM
것과	것/NNB+과/JKB
크게	크/VA+게/EC
달라요.	다르/VA+아요/EF+./SF


# id : NWRW1800000026.299.7.3
검(劍) 역시 허리에 차지 않고, 끈을 어깨에 묶어 차지요."

검(劍)	검/NNG+(/SS+劍/SH+)/SS
역시	역시/MAG
허리에	허리/NNG+에/JKB
차지	차/VV+지/EC
않고,	않/VX+고/EC+,/SP
끈을	끈/NNG+을/JKO
어깨에	어깨/NNG+에/JKB
묶어	묶/VV+어/EC
차지요."	차/VV+지요/EF+./SF+"/SS


# id : NWRW1800000026.299.8.1
그는 원래 효성여대(현 대구가톨릭대)와 대학원에서 피아노를 전공한 음악도였다.

그는	그/NP+는/JX
원래	원래/MAG
효성여대(현	효성여대/NNP+(/SS+현/MMD
대구가톨릭대)와	대구가톨릭대/NNP+)/SS+와/JC
대학원에서	대학원/NNG+에서/JKB
피아노를	피아노/NNG+를/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
음악도였다.	음악도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.299.8.2
그러다가 대학원 시절 우연히 접한 검도의 매력에 빠져 음악의 길을 접었다고 한다.

그러다가	그러/VV+다가/EC
대학원	대학원/NNG
시절	시절/NNG
우연히	우연히/MAG
접한	접하/VV+ㄴ/ETM
검도의	검도/NNG+의/JKG
매력에	매력/NNG+에/JKB
빠져	빠지/VV+어/EC
음악의	음악/NNG+의/JKG
길을	길/NNG+을/JKO
접었다고	접/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.299.8.3
국내 여성 검도인 가운데 최고수인 6단 가운데 한 사람이기도 하다.

국내	국내/NNG
여성	여성/NNG
검도인	검도인/NNG
가운데	가운데/NNG
최고수인	최/XPN+고수/NNG+이/VCP+ㄴ/ETM
6단	6/SN+단/NNG
한	한/MMN
사람이기도	사람/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


