# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.235
metadata : {}


# id : NWRW1800000049.235.1.1
2m대 거인 잡는 197cm 이승현

2m대	2/SN+m/SW+대/NNG
2m	2/SN+m/SW
이상의	이상/NNG+의/JKG
장신	장신/NNG
선수가	선수/NNG+가/JKS
8명이나	8/SN+명/NNB+이나/JX
포진한	포진/NNG+하/XSV+ㄴ/ETM
튀니지를	튀니지/NNP+를/JKO
상대로	상대/NNG+로/JKB
양	양/MMN
팀	팀/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
14개의	14/SN+개/NNB+의/JKG
리바운드를	리바운드/NNG+를/JKO
잡아냈다.	잡아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.235.5.2
공격 리바운드도 6개나 걷어냈다.

공격	공격/NNG
리바운드도	리바운드/NNG+도/JX
6개나	6/SN+개/NNB+나/JX
걷어냈다.	걷/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.235.5.3
그동안 공격 리바운드 열세로 고심하던 허재 대표팀 감독은 이승현의 활약에 웃음을 보였다.

그동안	그동안/NNG
공격	공격/NNG
리바운드	리바운드/NNG
열세로	열세/NNG+로/JKB
고심하던	고심/NNG+하/XSV+던/ETM
허재	허재/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
이승현의	이승현/NNP+의/JKG
활약에	활약/NNG+에/JKB
웃음을	웃음/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.235.6.1
용산고와 고려대에서 이승현을 지도한 이효상 고려대 코치는 “이승현은 체격이 큰 상대를 만나면 리바운드가 떨어지는 지점을 빠르게 예측하고, 상대의 중심을 무너뜨려 다음 동작을 지연시키는 집중력이 살아난다”고 말했다.

용산고와	용산고/NNP+와/JC
고려대에서	고려대/NNP+에서/JKB
이승현을	이승현/NNP+을/JKO
지도한	지도/NNG+하/XSV+ㄴ/ETM
이효상	이효상/NNP
고려대	고려대/NNP
코치는	코치/NNG+는/JX
“이승현은	“/SS+이승현/NNP+은/JX
체격이	체격/NNG+이/JKS
큰	크/VA+ㄴ/ETM
상대를	상대/NNG+를/JKO
만나면	만나/VV+면/EC
리바운드가	리바운드/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
지점을	지점/NNG+을/JKO
빠르게	빠르/VA+게/EC
예측하고,	예측/NNG+하/XSV+고/EC+,/SP
상대의	상대/NNG+의/JKG
중심을	중심/NNG+을/JKO
무너뜨려	무너뜨리/VV+어/EC
다음	다음/NNG
동작을	동작/NNG+을/JKO
지연시키는	지연/NNG+시키/XSV+는/ETM
집중력이	집중력/NNG+이/JKS
살아난다”고	살아나/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.235.6.2
오리온 김병철 코치도 “이승현은 자신보다 키가 큰 상대를 만나면 근성이 폭발한다.

오리온	오리온/NNP
김병철	김병철/NNP
코치도	코치/NNG+도/JX
“이승현은	“/SS+이승현/NNP+은/JX
자신보다	자신/NNG+보다/JKB
키가	키/NNG+가/JKS
큰	크/VA+ㄴ/ETM
상대를	상대/NNG+를/JKO
만나면	만나/VV+면/EC
근성이	근성/NNG+이/JKS
폭발한다.	폭발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.235.6.3
이 근성이 상대의 골밑 득점과 리바운드를 평균 이하로 낮춘다”고 말했다.

이	이/MMD
근성이	근성/NNG+이/JKS
상대의	상대/NNG+의/JKG
골밑	골/NNG+밑/NNG
득점과	득점/NNG+과/JC
리바운드를	리바운드/NNG+를/JKO
평균	평균/NNG
이하로	이하/NNG+로/JKB
낮춘다”고	낮추/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.235.6.4
이승현은 “하다디를 막으면서 장신 선수를 상대하는 요령이 생겼다.

이승현은	이승현/NNP+은/JX
“하다디를	“/SS+하다디/NNP+를/JKO
막으면서	막/VV+으면서/EC
장신	장신/NNG
선수를	선수/NNG+를/JKO
상대하는	상대/NNG+하/XSV+는/ETM
요령이	요령/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.235.6.5
전부 공개할 수는 없지만 일단 수비에서는 몸자세를 최대한 낮추고 다양한 상황에 대비한다”며 “앞으로 어떠한 거구든 악으로 깡으로 막겠다”고 말했다.

전부	전부/MAG
공개할	공개/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
일단	일단/MAG
수비에서는	수비/NNG+에서/JKB+는/JX
몸자세를	몸자세/NNG+를/JKO
최대한	최대한/MAG
낮추고	낮추/VV+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
대비한다”며	대비/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
어떠한	어떠하/VA+ㄴ/ETM
거구든	거구/NNG+든/JX
악으로	악/NNG+으로/JKB
깡으로	깡/NNG+으로/JKB
막겠다”고	막/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


