# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.330
metadata : {}


# id : NWRW1800000037.330.1.1
[北 3차 핵실험 후폭풍]새누리 중진들 “우리도 핵무장 필요”

[北	[/SS+北/SH
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.330.4.2
또 결의안은 북한의 모든 핵프로그램 폐기와 핵확산금지조약(NPT) 체제로의 복귀를 강력히 촉구했다.

또	또/MAG
결의안은	결의안/NNG+은/JX
북한의	북한/NNP+의/JKG
모든	모든/MMN
핵프로그램	핵/NNG+프로그램/NNG
폐기와	폐기/NNG+와/JC
핵확산금지조약(NPT)	핵/NNG+확산/NNG+금지/NNG+조약/NNG+(/SS+NPT/SL+)/SS
체제로의	체제/NNG+로/JKB+의/JKG
복귀를	복귀/NNG+를/JKO
강력히	강력히/MAG
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.5.1
결의안 채택에 의기투합한 여야는 북핵 대응 방향에 대해서는 이견을 보였다.

결의안	결의안/NNG
채택에	채택/NNG+에/JKB
의기투합한	의기투합/NNG+하/XSV+ㄴ/ETM
여야는	여야/NNG+는/JX
북핵	북핵/NNG
대응	대응/NNG
방향에	방향/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
이견을	이견/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.330.6.1
새누리당은 이날 핵무장 필요성 등을 언급하며 ‘군사적 균형’을 주장했다.

새누리당은	새누리당/NNP+은/JX
이날	이날/NNG
핵무장	핵무장/NNG
필요성	필요/NNG+성/XSN
등을	등/NNB+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
‘군사적	‘/SS+군사/NNG+적/XSN
균형’을	균형/NNG+’/SS+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.6.2
황우여 대표는 최고중진연석회의에서 “단순히 대화에만 매달릴 수는 없다.

황우여	황우여/NNP
대표는	대표/NNG+는/JX
최고중진연석회의에서	최고/NNG+중진/NNG+연석회의/NNG+에서/JKB
“단순히	“/SS+단순히/MAG
대화에만	대화/NNG+에/JKB+만/JX
매달릴	매달리/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.330.6.3
무엇보다 한반도에서의 군사적 균형이 중요해졌다”고 밝혔다.

무엇보다	무엇/NP+보다/JKB
한반도에서의	한반도/NNP+에서/JKB+의/JKG
군사적	군사/NNG+적/XSN
균형이	균형/NNG+이/JKS
중요해졌다”고	중요/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.330.6.4
정몽준 전 대표도 “북한이 핵무장을 하면 우리도 최소한의 자위력을 확보할 수밖에 없다는 것을 미국에 설득해야 한다”며 “이웃집 깡패가 최신형 기관총을 구입했는데 돌멩이 하나 들고서 집을 지킨다고 할 수는 없으며 핵 억제력이 필요하다”고 강조했다.

정몽준	정몽준/NNP
전	전/MMD
대표도	대표/NNG+도/JX
“북한이	“/SS+북한/NNP+이/JKS
핵무장을	핵무장/NNG+을/JKO
하면	하/VV+면/EC
우리도	우리/NP+도/JX
최소한의	최소한/NNG+의/JKG
자위력을	자위력/NNG+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
미국에	미국/NNP+에/JKB
설득해야	설득/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“이웃집	“/SS+이웃집/NNG
깡패가	깡패/NNG+가/JKS
최신형	최신/NNG+형/XSN
기관총을	기관총/NNG+을/JKO
구입했는데	구입/NNG+하/XSV+았/EP+는데/EC
돌멩이	돌멩이/NNG
하나	하나/NR
들고서	들/VV+고서/EC
집을	집/NNG+을/JKO
지킨다고	지키/VV+ㄴ다고/EC
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없으며	없/VA+으며/EC
핵	핵/NNG
억제력이	억제력/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.6.5
원유철 의원도 “최소한의 자위책 마련 차원에서 북핵 (문제) 해결 시 즉각 폐기를 전제로 대한민국의 핵무장 선언 필요성이 있다”고 말했다.

원유철	원유철/NNP
의원도	의원/NNG+도/JX
“최소한의	“/SS+최소한/NNG+의/JKG
자위책	자위책/NNG
마련	마련/NNG
차원에서	차원/NNG+에서/JKB
북핵	북핵/NNG
(문제)	(/SS+문제/NNG+)/SS
해결	해결/NNG
시	시/NNB
즉각	즉각/MAG
폐기를	폐기/NNG+를/JKO
전제로	전제/NNG+로/JKB
대한민국의	대한민국/NNP+의/JKG
핵무장	핵무장/NNG
선언	선언/NNG
필요성이	필요/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.6.6
새누리당은 북핵 위협에 대비해 당내에 가칭 ‘북핵안보전략특별위원회’를 구성하기로 했다.

새누리당은	새누리당/NNP+은/JX
북핵	북핵/NNG
위협에	위협/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
당내에	당내/NNG+에/JKB
가칭	가칭/NNG
‘북핵안보전략특별위원회’를	‘/SS+북핵/NNG+안보/NNG+전략/NNG+특별/NNG+위원회/NNG+’/SS+를/JKO
구성하기로	구성/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.7.1
민주당은 북한의 핵 도발을 규탄하면서도 박근혜 대통령 당선인에게 남북대화 재개를 촉구했다.

민주당은	민주당/NNP+은/JX
북한의	북한/NNP+의/JKG
핵	핵/NNG
도발을	도발/NNG+을/JKO
규탄하면서도	규탄/NNG+하/XSV+면서/EC+도/JX
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인에게	당선인/NNG+에게/JKB
남북대화	남북/NNP+대화/NNG
재개를	재개/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.7.2
문희상 비상대책위원장은 비대위 회의에서 “박 당선인은 북한 핵 도발을 전화위복의 계기로 삼는 지혜를 발휘해 달라”며 “대북 특사 파견, 남북대화 즉각 재개 등 가능한 모든 방법을 강구해 주기를 바란다”고 밝혔다.

문희상	문희상/NNP
비상대책위원장은	비상/NNG+대책/NNG+위원장/NNG+은/JX
비대위	비대위/NNG
회의에서	회의/NNG+에서/JKB
“박	“/SS+박/NNP
당선인은	당선인/NNG+은/JX
북한	북한/NNP
핵	핵/NNG
도발을	도발/NNG+을/JKO
전화위복의	전화위복/NNG+의/JKG
계기로	계기/NNG+로/JKB
삼는	삼/VV+는/ETM
지혜를	지혜/NNG+를/JKO
발휘해	발휘/NNG+하/XSV+아/EC
달라”며	달/VX+라/EF+”/SS+며/EC
“대북	“/SS+대북/NNG
특사	특사/NNG
파견,	파견/NNG+,/SP
남북대화	남북/NNP+대화/NNG
즉각	즉각/MAG
재개	재개/NNG
등	등/NNB
가능한	가능/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
방법을	방법/NNG+을/JKO
강구해	강구/NNG+하/XSV+아/EC
주기를	주/VX+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.330.7.3
박기춘 원내대표도 “긴박한 안보상황을 감안해 공백을 최소화하기 위해 안보외교 장관 청문회는 신속하게 검증하는 방안을 모색하도록 하겠다”고 말했다.

박기춘	박기춘/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
“긴박한	“/SS+긴박/NNG+하/XSA+ㄴ/ETM
안보상황을	안보/NNG+상황/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
공백을	공백/NNG+을/JKO
최소화하기	최소/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
안보외교	안보/NNG+외교/NNG
장관	장관/NNG
청문회는	청문회/NNG+는/JX
신속하게	신속/NNG+하/XSA+게/EC
검증하는	검증/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
모색하도록	모색/NNG+하/XSV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.7.4
문병호 비대위원은 “북핵 위기의 해결을 위해서는 압박과 제재만으로는 부족하며, 대화와 협상을 병행할 수밖에 없다”고 말했다.

문병호	문병호/NNP
비대위원은	비대위원/NNG+은/JX
“북핵	“/SS+북핵/NNG
위기의	위기/NNG+의/JKG
해결을	해결/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
압박과	압박/NNG+과/JC
제재만으로는	제재/NNG+만/JX+으로/JKB+는/JX
부족하며,	부족/NNG+하/XSA+며/EC+,/SP
대화와	대화/NNG+와/JC
협상을	협상/NNG+을/JKO
병행할	병행/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


