# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.205
metadata : {}


# id : NWRW1800000037.205.1.1
종합병원도 수술 정찰제… 환자부담 21% 줄어

종합병원도	종합/NNG+병원/NNG+도/JX
반대된다.	반대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.205.6.3
현재 7개 질환군에 대해서 실시되고 있다.

현재	현재/MAG
7개	7/SN+개/NNB
질환군에	질환군/NNG+에/JKB
대해서	대하/VV+아서/EC
실시되고	실시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.205.7.1
Q. 이번 시행이 갖는 의미는….

Q.	Q/SL+./SF
이번	이번/NNG
시행이	시행/NNG+이/JKS
갖는	갖/VV+는/ETM
의미는….	의미/NNG+는/JX+…/SE+./SF


# id : NWRW1800000037.205.8.1
A. 규모가 작은 병의원 급은 이미 지난해 7월 1일 이 제도를 시행했다.

A.	A/SL+./SF
규모가	규모/NNG+가/JKS
작은	작/VA+은/ETM
병의원	병의원/NNG
급은	급/NNG+은/JX
이미	이미/MAG
지난해	지난해/NNG
7월	7/SN+월/NNB
1일	1/SN+일/NNB
이	이/MMD
제도를	제도/NNG+를/JKO
시행했다.	시행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.8.2
이번에 상급종합병원(대형 대학병원)까지 확대한 것이다.

이번에	이번/NNG+에/JKB
상급종합병원(대형	상급/NNG+종합/NNG+병원/NNG+(/SS+대형/NNG
대학병원)까지	대학/NNG+병원/NNG+)/SS+까지/JX
확대한	확대/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.205.8.3
따라서 7개 질병군에 대해서는 국내 모든 의료기관에서 포괄수가제가 시행되는 것이다.

따라서	따라서/MAJ
7개	7/SN+개/NNB
질병군에	질병군/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
국내	국내/NNG
모든	모든/MMN
의료기관에서	의료/NNG+기관/NNG+에서/JKB
포괄수가제가	포괄/NNG+수가/NNG+제/XSN+가/JKS
시행되는	시행/NNG+되/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.205.8.4
단, 발생 빈도가 낮고 진료편차가 큰 신생아 탈장 수술, 제왕절개 분만 후 출혈로 말미암은 혈관색전술 등은 대상에서 제외했다.

단,	단/MAJ+,/SP
발생	발생/NNG
빈도가	빈도/NNG+가/JKS
낮고	낮/VA+고/EC
진료편차가	진료/NNG+편차/NNG+가/JKS
큰	크/VA+ㄴ/ETM
신생아	신생아/NNG
탈장	탈장/NNG
수술,	수술/NNG+,/SP
제왕절개	제왕/NNG+절개/NNG
분만	분만/NNG
후	후/NNG
출혈로	출혈/NNG+로/JKB
말미암은	말미암/VV+은/ETM
혈관색전술	혈관/NNG+색전술/NNG
등은	등/NNB+은/JX
대상에서	대상/NNG+에서/JKB
제외했다.	제외/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.9.1
Q. 환자 부담은 줄어드나.

Q.	Q/SL+./SF
환자	환자/NNG
부담은	부담/NNG+은/JX
줄어드나.	줄어들/VV+나/EF+./SF


# id : NWRW1800000037.205.10.1
A. 보건당국에 따르면 포괄수가제 시행으로 인해 환자 부담이 평균 21% 정도 줄어든다.

A.	A/SL+./SF
보건당국에	보건/NNG+당국/NNG+에/JKB
따르면	따르/VV+면/EC
포괄수가제	포괄/NNG+수가/NNG+제/XSN
시행으로	시행/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
환자	환자/NNG
부담이	부담/NNG+이/JKS
평균	평균/NNG
21%	21/SN+%/SW
정도	정도/NNG
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.205.10.2
대학병원의 경우 비급여 진료가 많아 환자가 부담하는 총 진료비가 얼마인지 가늠할 수 없었다.

대학병원의	대학/NNG+병원/NNG+의/JKG
경우	경우/NNG
비급여	비/XPN+급여/NNG
진료가	진료/NNG+가/JKS
많아	많/VA+아/EC
환자가	환자/NNG+가/JKS
부담하는	부담/NNG+하/XSV+는/ETM
총	총/MMA
진료비가	진료비/NNG+가/JKS
얼마인지	얼마/NNG+이/VCP+ㄴ지/EF
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.205.10.3
가령 백내장 수술만 보더라도 병원에 따라 수십만∼1백만 원으로 천차만별이다.

가령	가령/MAG
백내장	백내장/NNG
수술만	수술/NNG+만/JX
보더라도	보/VV+더라도/EC
병원에	병원/NNG+에/JKB
따라	따르/VV+아/EC
수십만∼1백만	수십만/NR+∼/SO+1/SN+백만/NR
원으로	원/NNB+으로/JKB
천차만별이다.	천차만별/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.205.10.4
하지만 앞으로는 선택진료비와 같은 일부 비급여 진료를 빼고는 18만6000여 원으로 똑같아진다.

하지만	하지만/MAJ
앞으로는	앞/NNG+으로/JKB+는/JX
선택진료비와	선택/NNG+진료비/NNG+와/JKB
같은	같/VA+은/ETM
일부	일부/NNG
비급여	비/XPN+급여/NNG
진료를	진료/NNG+를/JKO
빼고는	빼/VV+고/EC+는/JX
18만6000여	18/SN+만/NR+6000/SN+여/XSN
원으로	원/NNB+으로/JKB
똑같아진다.	똑같/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.205.11.1
Q. 의료계 반발이 있는데….

Q.	Q/SL+./SF
의료계	의료/NNG+계/XSN
반발이	반발/NNG+이/JKS
있는데….	있/VA+는데/EC+…/SE+./SF


# id : NWRW1800000037.205.12.1
A. 지난해 7월 포괄수가제가 도입될 때도 대한의사협회 차원에서 반발이 심했다.

A.	A/SL+./SF
지난해	지난해/NNG
7월	7/SN+월/NNB
포괄수가제가	포괄/NNG+수가/NNG+제/XSN+가/JKS
도입될	도입/NNG+되/XSV+ㄹ/ETM
때도	때/NNG+도/JX
대한의사협회	대한의사협회/NNP
차원에서	차원/NNG+에서/JKB
반발이	반발/NNG+이/JKS
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.205.12.2
이번에는 산부인과 의사들이 복강경 수술을 거부하겠다고 했다.

이번에는	이번/NNG+에/JKB+는/JX
산부인과	산부인과/NNG
의사들이	의사/NNG+들/XSN+이/JKS
복강경	복강경/NNG
수술을	수술/NNG+을/JKO
거부하겠다고	거부/NNG+하/XSV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.12.3
자궁이나 난소가 환자 상태에 따라 다른데 정부가 획일적으로 비용을 매긴다는 것이다.

자궁이나	자궁/NNG+이나/JC
난소가	난소/NNG+가/JKS
환자	환자/NNG
상태에	상태/NNG+에/JKB
따라	따르/VV+아/EC
다른데	다르/VA+ㄴ데/EC
정부가	정부/NNG+가/JKS
획일적으로	획일적/NNG+으로/JKB
비용을	비용/NNG+을/JKO
매긴다는	매기/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.205.12.4
보건 당국은 제도 시행 이전까지 건정심 소위원회와 실무협의체를 통해 의료계와 협의를 지속할 방침이다.

보건	보건/NNG
당국은	당국/NNG+은/JX
제도	제도/NNG
시행	시행/NNG
이전까지	이전/NNG+까지/JX
건정심	건정심/NNG
소위원회와	소/XPN+위원회/NNG+와/JC
실무협의체를	실무/NNG+협의체/NNG+를/JKO
통해	통하/VV+아/EC
의료계와	의료/NNG+계/XSN+와/JKB
협의를	협의/NNG+를/JKO
지속할	지속/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.205.13.1
Q. 의료 품질이 떨어진다는 지적이 있다.

Q.	Q/SL+./SF
의료	의료/NNG
품질이	품질/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.205.14.1
A. 보건당국이 1년간 이 제도를 시행한 병의원을 상대로 분석한 결과 환자의 99.93%가 정상 퇴원했다.

A.	A/SL+./SF
보건당국이	보건/NNG+당국/NNG+이/JKS
1년간	1/SN+년/NNB+간/XSN
이	이/MMD
제도를	제도/NNG+를/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
병의원을	병의원/NNG+을/JKO
상대로	상대/NNG+로/JKB
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
환자의	환자/NNG+의/JKG
99.93%가	99/SN+./SP+93/SN+%/SW+가/JKS
정상	정상/NNG
퇴원했다.	퇴원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.14.2
입원 중 사고율은 0.04%, 감염률은 0.02%로 아주 낮았다.

입원	입원/NNG
중	중/NNB
사고율은	사고/NNG+율/XSN+은/JX
0.04%,	0/SN+./SP+04/SN+%/SW+,/SP
감염률은	감염/NNG+률/XSN+은/JX
0.02%로	0/SN+./SP+02/SN+%/SW+로/JKB
아주	아주/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.205.14.3
퇴원했다가 다시 입원하는 사례는 제도 시행 전과 큰 차이가 없었다.

퇴원했다가	퇴원/NNG+하/XSV+았/EP+다가/EC
다시	다시/MAG
입원하는	입원/NNG+하/XSV+는/ETM
사례는	사례/NNG+는/JX
제도	제도/NNG
시행	시행/NNG
전과	전/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.205.14.4
일각에서 우려한 의료품질 저하 현상은 나타나지 않았다.

일각에서	일각/NNG+에서/JKB
우려한	우려/NNG+하/XSV+ㄴ/ETM
의료품질	의료/NNG+품질/NNG
저하	저하/NNG
현상은	현상/NNG+은/JX
나타나지	나타나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


