# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.401
metadata : {}


# id : NWRW1800000040.401.1.1
꼬일대로 꼬인 국정원 대치 정국 “박 대통령이 직접 나서야” 목소리

꼬일대로	꼬이/VV+ㄹ/ETM+대로/NNB
대비하고	대비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.8.6
비교적 온건한 성향인 민주당 지도부가 이처럼 선명 투쟁의 깃발을 높이 든 것은 여권의 비합리적인 대응과 독선 때문이라는 분석이 많다.

비교적	비교/NNG+적/XSN
온건한	온건/NNG+하/XSA+ㄴ/ETM
성향인	성향/NNG+이/VCP+ㄴ/ETM
민주당	민주당/NNP
지도부가	지도부/NNG+가/JKS
이처럼	이/NP+처럼/JKB
선명	선명/NNG
투쟁의	투쟁/NNG+의/JKG
깃발을	깃발/NNG+을/JKO
높이	높이/MAG
든	들/VV+ㄴ/ETM
것은	것/NNB+은/JX
여권의	여권/NNG+의/JKG
비합리적인	비/XPN+합리/NNG+적/XSN+이/VCP+ㄴ/ETM
대응과	대응/NNG+과/JC
독선	독선/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000040.401.9.1
새누리당의 한 핵심 관계자는 “국정조사에서 인정할 것은 하고 대안을 제시하면서 출구를 모색해야 하는데 국정조사특위 위원들이 청와대 눈치만 보면서 검찰의 수사 내용까지 모조리 부인하는 태도로 일관했으니 야당이 원내로 들어오고 싶어도 명분이 없는 것 아니냐”고 했다.

새누리당의	새누리당/NNP+의/JKG
한	한/MMN
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“국정조사에서	“/SS+국정/NNG+조사/NNG+에서/JKB
인정할	인정/NNG+하/XSV+ㄹ/ETM
것은	것/NNB+은/JX
하고	하/VV+고/EC
대안을	대안/NNG+을/JKO
제시하면서	제시/NNG+하/XSV+면서/EC
출구를	출구/NNG+를/JKO
모색해야	모색/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
국정조사특위	국정/NNG+조사/NNG+특위/NNG
위원들이	위원/NNG+들/XSN+이/JKS
청와대	청와대/NNP
눈치만	눈치/NNG+만/JX
보면서	보/VV+면서/EC
검찰의	검찰/NNG+의/JKG
수사	수사/NNG
내용까지	내용/NNG+까지/JX
모조리	모조리/MAG
부인하는	부인/NNG+하/XSV+는/ETM
태도로	태도/NNG+로/JKB
일관했으니	일관/NNG+하/XSV+았/EP+으니/EC
야당이	야당/NNG+이/JKS
원내로	원내/NNG+로/JKB
들어오고	들어오/VV+고/EC
싶어도	싶/VX+어도/EC
명분이	명분/NNG+이/JKS
없는	없/VA+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.10.1
정치권 안팎에선 막힌 정국을 풀기 위해선 박 대통령이 직접 나서야 한다는 목소리가 커지고 있다.

정치권	정치/NNG+권/XSN
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
막힌	막히/VV+ㄴ/ETM
정국을	정국/NNG+을/JKO
풀기	풀/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
나서야	나서/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.401.10.2
김형준 명지대 교수는 “국정원의 대선 개입과 관련해 검찰이 기소한 내용을 대통령이 무거운 마음으로 수용했어야 하는데 셀프개혁으로 가면서 국정원 개혁이 실종됐다”며 “국정 최고책임자인 박 대통령이 3자회동을 통해 국정을 풀어가야 한다”고 말했다.

김형준	김형준/NNP
명지대	명지대/NNP
교수는	교수/NNG+는/JX
“국정원의	“/SS+국정원/NNG+의/JKG
대선	대선/NNG
개입과	개입/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
검찰이	검찰/NNG+이/JKS
기소한	기소/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
대통령이	대통령/NNG+이/JKS
무거운	무겁/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
수용했어야	수용/NNG+하/XSV+았/EP+어야/EC
하는데	하/VX+는데/EC
셀프개혁으로	셀프/NNG+개혁/NNG+으로/JKB
가면서	가/VV+면서/EC
국정원	국정원/NNG
개혁이	개혁/NNG+이/JKS
실종됐다”며	실종/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“국정	“/SS+국정/NNG
최고책임자인	최고/NNG+책임자/NNG+이/VCP+ㄴ/ETM
박	박/NNP
3자회동을	3/SN+자/NNB+회동/NNG+을/JKO
통해	통하/VV+아/EC
국정을	국정/NNG+을/JKO
풀어가야	풀/VV+어/EC+가/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.10.3
강원택 서울대 교수도 “현 정부가 임기 중에 성과를 내기 위해서라도 국정원 등 과거사 문제는 정기국회 이전에 푸는 게 마땅하다.

강원택	강원택/NNP
서울대	서울대/NNP
교수도	교수/NNG+도/JX
“현	“/SS+현/MMD
정부가	정부/NNG+가/JKS
임기	임기/NNG
중에	중/NNB+에/JKB
성과를	성과/NNG+를/JKO
내기	내/VV+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
국정원	국정원/NNG
등	등/NNB
과거사	과거사/NNG
문제는	문제/NNG+는/JX
정기국회	정기/NNG+국회/NNG
이전에	이전/NNG+에/JKB
푸는	풀/VV+는/ETM
게	거/NNB+이/JKS
마땅하다.	마땅하/VA+다/EF+./SF


# id : NWRW1800000040.401.10.4
그러려면 박 대통령이 의사 표명을 하는 등 직접 나서야 한다”고 했다.

그러려면	그러/VV+려면/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
의사	의사/NNG
표명을	표명/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
직접	직접/MAG
나서야	나서/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.11.1
문재인 민주당 의원도 이날 기자들과 만난 자리에서 “박 대통령이 지금 상황에 대해 사과하고 남재준 국정원장을 해임하고, 무너진 민주주의를 되살려야 한다”며 김한길 대표와의 단독회담 수용을 촉구했다.

문재인	문재인/NNP
민주당	민주당/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“박	“/SS+박/NNP
대통령이	대통령/NNG+이/JKS
지금	지금/MAG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
사과하고	사과/NNG+하/XSV+고/EC
남재준	남재준/NNP
국정원장을	국정원장/NNG+을/JKO
해임하고,	해임/NNG+하/XSV+고/EC+,/SP
무너진	무너지/VV+ㄴ/ETM
민주주의를	민주주의/NNG+를/JKO
되살려야	되살리/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
김한길	김한길/NNP
대표와의	대표/NNG+와/JKB+의/JKG
단독회담	단독/NNG+회담/NNG
수용을	수용/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.12.1
하지만 청와대는 여전히 박 대통령이 나설 상황이 아니라는 태도를 고수하고 있다.

하지만	하지만/MAJ
청와대는	청와대/NNP+는/JX
여전히	여전히/MAG
박	박/NNP
대통령이	대통령/NNG+이/JKS
나설	나서/VV+ㄹ/ETM
상황이	상황/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
태도를	태도/NNG+를/JKO
고수하고	고수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.401.12.2
청와대의 한 관계자는 “현재로선 청와대와 여야가 상생할 수 있는 합의점을 찾기 어려워 보인다.

청와대의	청와대/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“현재로선	“/SS+현재/NNG+로서/JKB+ㄴ/JX
청와대와	청와대/NNP+와/JC
여야가	여야/NNG+가/JKS
상생할	상생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
합의점을	합의점/NNG+을/JKO
찾기	찾/VV+기/ETN
어려워	어렵/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.401.12.3
야당이 원외투쟁을 하고 있고 촛불집회 등에서 강경한 발언을 쏟아내고 있는 상황에서 대화의 자리를 마련하기는 쉽지 않을 것 같다”고 말했다.

야당이	야당/NNG+이/JKS
원외투쟁을	원외/NNG+투쟁/NNG+을/JKO
하고	하/VV+고/EC
있고	있/VX+고/EC
촛불집회	촛불/NNG+집회/NNG
등에서	등/NNB+에서/JKB
강경한	강경/NNG+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
대화의	대화/NNG+의/JKG
자리를	자리/NNG+를/JKO
마련하기는	마련/NNG+하/XSV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


